,0,1,2,3,4,5
4658,,81.96,82.28,81.96,82.28,14395
4659,1.0,82.06,82.06,82.06,82.06,100
4660,2.0,82.03,82.12,82.03,82.09,3438
4661,3.0,82.01,82.11,82.01,82.09,600
4662,4.0,81.91,81.99,81.91,81.97,1150
4663,5.0,81.93,82.03,81.91,81.9571,2700
4664,6.0,81.84,81.98,81.8,81.92,8550
4665,7.0,81.88,81.92,81.81,81.86,8220
4666,8.0,81.91,81.91,81.88,81.88,2699
4667,9.0,81.9,81.91,81.85,81.895,4268
4668,10.0,81.91,81.91,81.88,81.9,2300
4669,11.0,82.02,82.02,81.87,81.91,2523
4670,12.0,81.94,82.11,81.94,82.08,7000
4671,13.0,82.125,82.16,82.01,82.01,5400
4672,14.0,82.03,82.1464,82.03,82.1464,3537
4673,15.0,82.14,82.14,82.08,82.08,1138
4674,16.0,82.05,82.14,82.04,82.14,2000
4675,17.0,82.13,82.13,82.05,82.05,1778
4676,18.0,82.1,82.13,82.03,82.13,25690
4677,19.0,82.12,82.12,82.0848,82.1199,3761
4678,20.0,82.12,82.12,82.09,82.1,3100
4679,21.0,82.125,82.14,82.125,82.14,500
4680,22.0,82.21,82.21,82.16,82.17,900
4681,23.0,82.22,82.24,82.19,82.24,5200
4682,24.0,82.19,82.25,82.19,82.25,1500
4683,25.0,82.32,82.32,82.22,82.22,1940
4684,26.0,82.28,82.35,82.28,82.32,4811
4685,27.0,82.33,82.34,82.31,82.31,2537
4686,28.0,82.29,82.36,82.29,82.3125,3176
4687,30.0,82.46,82.5,82.3,82.31,11200
4688,31.0,82.425,82.49,82.41,82.49,10190
4689,32.0,82.35,82.44,82.35,82.4328,2165
4690,33.0,82.37,82.38,82.34,82.38,2700
4691,34.0,82.4,82.44,82.32,82.36,6400
4692,35.0,82.45,82.45,82.38,82.39,4942
4693,36.0,82.5,82.5,82.45,82.46,4532
4694,37.0,82.47,82.5,82.46,82.5,1900
4695,38.0,82.43,82.47,82.43,82.4633,3267
4696,39.0,82.45,82.45,82.41,82.41,2900
4697,40.0,82.45,82.48,82.43,82.45,3700
4698,41.0,82.47,82.48,82.45,82.48,2900
4699,42.0,82.475,82.49,82.42,82.48,2200
4700,43.0,82.48,82.49,82.47,82.48,1300
4701,44.0,82.49,82.49,82.45,82.4825,3908
4702,45.0,82.47,82.49,82.47,82.49,2200
4703,46.0,82.47,82.485,82.45,82.455,9114
4704,47.0,82.47,82.47,82.45,82.47,15335
4705,48.0,82.48,82.495,82.45,82.47,7500
4706,49.0,82.47,82.48,82.46,82.48,1600
4707,50.0,82.52,82.52,82.47,82.47,4000
4708,51.0,82.48,82.5,82.47,82.5,3610
4709,52.0,82.48,82.495,82.48,82.49,3586
4710,53.0,82.47,82.48,82.47,82.47,700
4711,54.0,82.45,82.48,82.45,82.48,5809
4712,55.0,82.455,82.48,82.45,82.46,5484
4713,56.0,82.45,82.465,82.45,82.45,7000
4714,57.0,82.48,82.48,82.45,82.45,2372
4715,58.0,82.5,82.51,82.48,82.48,3868
4716,59.0,82.53,82.53,82.5,82.5,3050
4717,60.0,82.49,82.53,82.48,82.53,5813
4718,61.0,82.45,82.5,82.45,82.5,3800
4719,62.0,82.46,82.47,82.45,82.45,1200
4720,63.0,82.47,82.47,82.45,82.46,2400
4721,64.0,82.43,82.49,82.43,82.49,3300
4722,65.0,82.42,82.4443,82.42,82.43,1587
4723,66.0,82.39,82.43,82.39,82.43,2200
4724,67.0,82.41,82.41,82.34,82.41,20298
4725,68.0,82.54,82.54,82.41,82.41,10976
4726,69.0,82.54,82.545,82.48,82.545,15599
4727,70.0,82.65,82.66,82.55,82.55,19436
4728,71.0,82.66,82.68,82.64,82.65,3648
4729,72.0,82.59,82.65,82.59,82.65,1673
4730,73.0,82.56,82.59,82.56,82.59,1800
4731,74.0,82.54,82.54,82.5,82.535,3800
4732,75.0,82.58,82.58,82.53,82.53,4200
4733,76.0,82.6,82.6,82.58,82.58,2100
4734,77.0,82.63,82.64,82.61,82.61,3900
4735,78.0,82.61,82.63,82.61,82.62,1000
4736,79.0,82.57,82.6,82.57,82.59,3500
4737,80.0,82.61,82.61,82.58,82.58,10302
4738,81.0,82.7,82.7,82.62,82.62,12482
4739,82.0,82.62,82.74,82.62,82.71,6100
4740,83.0,82.59,82.63,82.59,82.63,2700
4741,84.0,82.63,82.64,82.57,82.575,7437
4742,85.0,82.635,82.655,82.63,82.63,3250
4743,86.0,82.62,82.64,82.58,82.64,6702
4744,87.0,82.69,82.73,82.62,82.62,6700
4745,88.0,82.64,82.71,82.64,82.69,19196
4746,89.0,82.63,82.64,82.61,82.64,5500
4747,90.0,82.68,82.68,82.64,82.64,4900
4748,91.0,82.7,82.71,82.66,82.68,6635
4749,92.0,82.77,82.8,82.7,82.7,7072
4750,93.0,82.82,82.83,82.76,82.78,10621
4751,94.0,82.7988,82.85,82.78,82.83,13342
4752,95.0,82.78,82.8,82.77,82.8,3700
4753,96.0,82.76,82.78,82.76,82.78,500
4754,97.0,82.8,82.8,82.76,82.76,9495
4755,98.0,82.82,82.82,82.78,82.79,3900
4756,99.0,82.85,82.85,82.83,82.85,3270
4757,100.0,82.86,82.91,82.85,82.85,9144
4758,101.0,82.96,82.96,82.87,82.87,6600
4759,102.0,82.91,83.0,82.91,82.95,25731
4760,103.0,82.92,82.92,82.855,82.91,10300
4761,104.0,82.98,82.98,82.91,82.91,6100
4762,105.0,82.94,82.99,82.93,82.98,20151
4763,106.0,82.93,82.98,82.93,82.94,13843
4764,107.0,83.0,83.01,82.925,82.93,9901
4765,108.0,83.05,83.05,82.99,83.01,13622
4766,109.0,83.08,83.08,83.02,83.05,8792
4767,110.0,83.145,83.15,83.08,83.1,17088
4768,111.0,83.16,83.18,83.1,83.15,26788
4769,112.0,83.23,83.23,83.17,83.18,17325
4770,113.0,83.18,83.28,83.18,83.22,26518
4771,114.0,83.23,83.26,83.19,83.2,9242
4772,115.0,83.12,83.22,83.12,83.1984,12010
4773,116.0,83.11,83.17,83.11,83.12,25500
4774,117.0,83.15,83.16,83.11,83.12,19294
4775,118.0,83.06,83.15,83.05,83.15,40016
4776,119.0,83.0,83.06,82.99,83.05,12000
4777,120.0,82.95,83.03,82.93,83.0,16904
4778,121.0,82.83,82.95,82.75,82.95,18569
4779,122.0,82.88,82.91,82.82,82.83,11878
4780,123.0,82.74,82.96,82.74,82.92,22390
4781,124.0,82.83,82.83,82.73,82.79,4936
4782,125.0,82.85,82.88,82.84,82.84,1400
4783,126.0,82.86,82.86,82.83,82.85,1800
4784,127.0,82.82,82.83,82.76,82.83,3600
4785,128.0,82.75,82.83,82.73,82.823,10517
4786,129.0,82.79,82.81,82.74,82.74,3880
4787,130.0,82.87,82.87,82.81,82.82,2700
4788,131.0,82.86,82.86,82.82,82.86,1200
4789,132.0,82.9,82.9,82.81,82.86,3800
4790,133.0,82.89,82.9,82.89,82.9,200
4791,134.0,82.9,82.93,82.85,82.9,3301
4792,135.0,82.92,82.93,82.89,82.9,800
4793,136.0,83.01,83.02,82.93,82.93,19819
4794,137.0,82.97,83.0,82.95,82.99,5900
4795,138.0,82.99,83.04,82.97,82.98,9900
4796,139.0,83.01,83.01,82.93,82.98,18400
4797,140.0,83.1,83.1,83.0,83.01,23571
4798,141.0,83.1,83.175,83.08,83.1,45081
4799,142.0,83.17,83.17,83.12,83.12,6400
4800,143.0,83.11,83.2,83.09,83.17,7250
4801,144.0,83.15,83.16,83.11,83.11,7362
4802,145.0,83.26,83.29,83.12,83.15,12976
4803,146.0,83.24,83.265,83.2,83.265,13000
4804,147.0,83.26,83.28,83.2,83.21,13842
4805,148.0,83.28,83.33,83.21,83.27,15000
4806,149.0,83.32,83.32,83.22,83.26,6922
4807,150.0,83.39,83.42,83.3,83.32,15054
4808,151.0,83.29,83.36,83.2,83.36,18053
4809,152.0,83.25,83.3,83.22,83.27,10500
4810,153.0,83.275,83.29,83.24,83.25,15942
4811,154.0,83.24,83.27,83.24,83.26,5089
4812,155.0,83.21,83.24,83.18,83.21,8000
4813,156.0,83.23,83.25,83.18,83.23,74238
4814,157.0,83.25,83.25,83.21,83.22,3699
4815,158.0,83.16,83.26,83.16,83.25,14110
4816,159.0,83.1,83.16,83.08,83.16,3600
4817,160.0,83.19,83.2,83.1,83.1,14300
4818,161.0,83.16,83.195,83.13,83.195,17852
4819,162.0,83.1,83.16,83.1,83.16,2089
4820,163.0,83.05,83.08,83.04,83.08,2100
4821,164.0,82.865,83.07,82.82,83.06,25243
4822,165.0,82.9,82.94,82.88,82.885,10847
4823,166.0,82.91,82.94,82.89,82.92,4534
4824,167.0,82.89,82.915,82.89,82.915,2200
4825,168.0,82.82,82.86,82.8,82.86,3391
4826,169.0,82.83,82.85,82.82,82.82,3200
4827,170.0,82.85,82.88,82.82,82.82,8233
4828,171.0,82.75,82.87,82.75,82.85,12756
4829,172.0,82.745,82.76,82.73,82.73,4600
4830,173.0,82.75,82.76,82.7,82.75,14800
4831,174.0,82.81,82.88,82.74,82.75,11358
4832,175.0,82.86,82.88,82.82,82.83,13500
4833,176.0,82.92,82.94,82.8575,82.865,8519
4834,177.0,82.94,82.95,82.9,82.93,3496
4835,178.0,82.98,83.0,82.959,82.959,3113
4836,179.0,82.98,83.01,82.97,82.97,3570
4837,180.0,82.98,82.98,82.98,82.98,200
4838,181.0,83.0019,83.04,83.0,83.02,2800
4839,182.0,82.93,83.0,82.93,83.0,2100
4840,183.0,82.91,82.94,82.91,82.935,1700
4841,184.0,82.85,82.91,82.85,82.91,2667
4842,185.0,82.76,82.85,82.76,82.85,1900
4843,186.0,82.7601,82.8118,82.7601,82.77,4600
4844,187.0,82.81,82.83,82.79,82.8,3400
4845,188.0,82.82,82.84,82.82,82.84,1300
4846,189.0,82.84,82.84,82.82,82.83,3136
4847,190.0,82.86,82.88,82.84,82.84,2850
4848,191.0,82.8,82.83,82.79,82.83,1635
4849,192.0,82.75,82.75,82.72,82.72,200
4850,193.0,82.72,82.72,82.72,82.72,200
4851,194.0,82.7,82.72,82.68,82.72,5000
4852,195.0,82.72,82.75,82.71,82.72,3450
4853,196.0,82.685,82.73,82.685,82.73,1400
4854,197.0,82.66,82.67,82.65,82.67,1800
4855,198.0,82.67,82.67,82.66,82.665,1200
4856,199.0,82.69,82.69,82.65,82.67,3000
4857,200.0,82.71,82.72,82.66,82.68,3246
4858,201.0,82.72,82.72,82.67,82.68,1500
4859,202.0,82.72,82.72,82.7,82.71,2200
4860,203.0,82.69,82.7,82.69,82.7,1000
4861,204.0,82.67,82.69,82.66,82.69,1200
4862,205.0,82.66,82.69,82.66,82.67,2900
4863,206.0,82.68,82.69,82.66,82.67,3500
4864,207.0,82.67,82.69,82.67,82.6734,2500
4865,208.0,82.69,82.69,82.68,82.68,900
4866,209.0,82.74,82.74,82.68,82.68,3450
4867,210.0,82.73,82.7348,82.7,82.73,2435
4868,211.0,82.765,82.765,82.74,82.74,800
4869,212.0,82.765,82.78,82.76,82.78,800
4870,213.0,82.74,82.765,82.72,82.76,7600
4871,214.0,82.74,82.76,82.74,82.74,3448
4872,215.0,82.75,82.75,82.72,82.735,3700
4873,216.0,82.8,82.83,82.74,82.74,7442
4874,217.0,82.77,82.81,82.755,82.795,2342
4875,218.0,82.79,82.81,82.765,82.765,1896
4876,219.0,82.77,82.79,82.76,82.79,1800
4877,220.0,82.77,82.81,82.77,82.775,1845
4878,221.0,82.72,82.79,82.715,82.77,2200
4879,222.0,82.675,82.695,82.64,82.68,1950
4880,223.0,82.71,82.72,82.68,82.68,1612
4881,224.0,82.75,82.75,82.7075,82.7075,1000
4882,225.0,82.75,82.75,82.75,82.75,100
4883,226.0,82.74,82.76,82.725,82.75,4890
4884,227.0,82.75,82.75,82.73,82.74,2942
4885,228.0,82.75,82.76,82.73,82.73,2800
4886,229.0,82.73,82.77,82.73,82.75,3400
4887,230.0,82.78,82.79,82.74,82.74,1200
4888,231.0,82.77,82.78,82.75,82.78,1300
4889,232.0,82.76,82.76,82.75,82.76,2600
4890,233.0,82.74,82.76,82.73,82.76,5894
4891,234.0,82.74,82.77,82.71,82.735,6490
4892,235.0,82.73,82.74,82.72,82.74,1900
4893,236.0,82.69,82.73,82.67,82.73,2600
4894,237.0,82.61,82.69,82.605,82.69,4098
4895,238.0,82.62,82.635,82.62,82.62,500
4896,239.0,82.6,82.62,82.58,82.62,4100
4897,240.0,82.64,82.67,82.61,82.61,2314
4898,241.0,82.65,82.65,82.65,82.65,100
4899,242.0,82.7,82.72,82.65,82.66,6172
4900,243.0,82.66,82.72,82.65,82.715,2600
4901,244.0,82.68,82.68,82.66,82.66,1100
4902,245.0,82.73,82.73,82.675,82.675,2000
4903,246.0,82.75,82.78,82.72,82.72,4600
4904,247.0,82.79,82.81,82.75,82.76,3000
4905,248.0,82.88,82.89,82.775,82.79,4340
4906,249.0,82.84,82.89,82.84,82.88,1800
4907,250.0,82.86,82.885,82.83,82.84,2900
4908,251.0,82.84,82.89,82.84,82.875,4578
4909,252.0,82.85,82.86,82.83,82.83,3500
4910,253.0,82.83,82.85,82.8,82.85,3100
4911,254.0,82.78,82.82,82.78,82.815,2239
4912,255.0,82.84,82.84,82.755,82.78,3900
4913,256.0,82.87,82.87,82.85,82.86,1400
4914,257.0,82.86,82.88,82.8367,82.87,6050
4915,258.0,82.79,82.83,82.79,82.83,1791
4916,259.0,82.77,82.78,82.75,82.78,4900
4917,260.0,82.8,82.82,82.76,82.77,3600
4918,261.0,82.81,82.8302,82.79,82.8,5200
4919,262.0,82.82,82.82,82.79,82.82,5300
