,0,1,2,3,4,5
1374,,32.28,32.28,32.28,32.28,22677
1375,1.0,32.33,32.35,32.28,32.3,11670
1376,2.0,32.27,32.34,32.27,32.34,1100
1377,3.0,32.335,32.39,32.22,32.25,36600
1378,4.0,32.28,32.335,32.265,32.335,33100
1379,5.0,32.25,32.3,32.21,32.28,5795
1380,6.0,32.24,32.25,32.19,32.24,3900
1381,7.0,32.205,32.25,32.2,32.23,11092
1382,8.0,32.21,32.21,32.16,32.19,14711
1383,9.0,32.195,32.22,32.19,32.2,42574
1384,10.0,32.12,32.2,32.09,32.18,6262
1385,11.0,32.13,32.14,32.1,32.12,15000
1386,12.0,32.165,32.17,32.13,32.13,4700
1387,13.0,32.18,32.2,32.15,32.17,11436
1388,14.0,32.19,32.19,32.17,32.17,6400
1389,15.0,32.195,32.2,32.19,32.2,2800
1390,16.0,32.2,32.2,32.17,32.2,43424
1391,17.0,32.19,32.2,32.19,32.195,1646
1392,18.0,32.23,32.26,32.18,32.195,16592
1393,19.0,32.24,32.27,32.23,32.235,4300
1394,20.0,32.24,32.25,32.22,32.24,8038
1395,21.0,32.21,32.27,32.2,32.25,8600
1396,22.0,32.2001,32.215,32.19,32.2,4700
1397,23.0,32.23,32.24,32.2,32.205,36670
1398,24.0,32.27,32.27,32.23,32.23,7320
1399,25.0,32.33,32.34,32.27,32.27,12899
1400,26.0,32.33,32.33,32.3,32.33,6312
1401,27.0,32.34,32.34,32.325,32.325,4100
1402,28.0,32.33,32.35,32.315,32.34,4506
1403,29.0,32.3,32.325,32.2949,32.325,12650
1404,30.0,32.3,32.31,32.29,32.295,5599
1405,31.0,32.3,32.3,32.28,32.3,6400
1406,32.0,32.24,32.305,32.23,32.305,11300
1407,33.0,32.195,32.25,32.195,32.245,5503
1408,34.0,32.19,32.22,32.19,32.1935,5723
1409,35.0,32.215,32.22,32.19,32.2,5073
1410,36.0,32.2,32.215,32.2,32.21,4499
1411,37.0,32.2,32.21,32.2,32.2,700
1412,38.0,32.18,32.2,32.17,32.2,8614
1413,39.0,32.2,32.2,32.19,32.19,1537
1414,40.0,32.2,32.2,32.2,32.2,500
1415,41.0,32.17,32.2,32.17,32.2,3100
1416,42.0,32.17,32.18,32.16,32.16,9046
1417,43.0,32.16,32.18,32.16,32.16,2880
1418,44.0,32.16,32.17,32.15,32.16,5500
1419,45.0,32.135,32.155,32.13,32.155,7966
1420,46.0,32.095,32.13,32.08,32.13,8397
1421,47.0,32.105,32.11,32.1,32.1,1300
1422,48.0,32.09,32.11,32.08,32.1,2100
1423,49.0,32.065,32.1,32.065,32.08,3819
1424,50.0,32.05,32.08,32.04,32.07,11106
1425,51.0,32.05,32.05,32.04,32.04,7376
1426,52.0,32.0456,32.06,32.04,32.05,3500
1427,53.0,32.045,32.05,32.03,32.05,3500
1428,54.0,32.05,32.05,32.04,32.04,800
1429,55.0,32.005,32.06,31.99,32.045,25774
1430,56.0,32.0,32.01,31.99,32.01,57410
1431,57.0,32.0,32.01,31.985,32.005,6389
1432,58.0,31.985,31.995,31.975,31.995,3127
1433,59.0,31.98,31.985,31.9764,31.985,2100
1434,60.0,31.99,31.99,31.975,31.98,7028
1435,61.0,32.005,32.01,31.985,31.985,18688
