,0,1,2,3,4,5
0,,60.3,60.5,60.3,60.5,15517
1,1.0,60.46,60.46,60.3,60.3,1000
2,2.0,60.26,60.41,60.22,60.41,1300
3,3.0,60.1,60.12,60.1,60.12,400
4,4.0,60.25,60.25,60.1075,60.1075,600
5,5.0,60.205,60.205,60.205,60.205,100
6,6.0,60.3,60.3,60.21,60.21,800
7,7.0,60.29,60.3,60.24,60.27,2705
8,8.0,60.2229,60.26,60.2229,60.26,850
9,9.0,60.33,60.34,60.26,60.27,2738
10,10.0,60.32,60.32,60.25,60.305,2900
11,11.0,60.31,60.31,60.24,60.26,4018
12,12.0,60.315,60.34,60.26,60.3,4258
13,13.0,60.25,60.3,60.25,60.3,300
14,14.0,60.25,60.28,60.21,60.28,600
15,15.0,60.17,60.215,60.17,60.215,300
16,16.0,60.16,60.18,60.13,60.17,1100
17,17.0,60.25,60.25,60.15,60.18,675
18,18.0,60.25,60.26,60.25,60.25,300
19,20.0,60.36,60.36,60.3,60.3,1550
20,21.0,60.36,60.36,60.36,60.36,300
21,22.0,60.39,60.41,60.38,60.41,1200
22,23.0,60.39,60.43,60.39,60.43,300
23,24.0,60.38,60.42,60.36,60.42,1800
24,25.0,60.37,60.37,60.36,60.37,400
25,26.0,60.4,60.43,60.39,60.39,418
26,27.0,60.33,60.38,60.33,60.38,600
27,28.0,60.36,60.4,60.36,60.37,700
28,29.0,60.35,60.39,60.35,60.39,200
29,30.0,60.33,60.36,60.33,60.34,511
30,31.0,60.37,60.37,60.35,60.35,1526
31,32.0,60.33,60.35,60.33,60.34,875
32,33.0,60.32,60.32,60.3,60.3,200
33,34.0,60.33,60.34,60.33,60.33,1300
34,35.0,60.37,60.37,60.34,60.34,1200
35,36.0,60.4,60.4,60.39,60.39,500
36,37.0,60.43,60.43,60.42,60.42,1300
37,38.0,60.41,60.43,60.41,60.43,600
38,39.0,60.4,60.4,60.39,60.4,1100
39,40.0,60.41,60.42,60.41,60.41,915
40,41.0,60.42,60.43,60.42,60.43,800
41,42.0,60.44,60.44,60.43,60.43,710
42,43.0,60.485,60.485,60.4595,60.4595,360
43,44.0,60.49,60.51,60.46,60.49,4669
44,45.0,60.54,60.57,60.49,60.49,5734
45,46.0,60.49,60.53,60.49,60.53,880
46,47.0,60.47,60.47,60.47,60.47,200
47,48.0,60.48,60.48,60.44,60.45,1700
48,49.0,60.48,60.5,60.45,60.5,8643
49,52.0,60.48,60.5,60.48,60.4952,700
50,53.0,60.48,60.48,60.46,60.46,600
51,54.0,60.45,60.45,60.45,60.45,200
52,55.0,60.48,60.48,60.44,60.44,500
53,56.0,60.47,60.47,60.44,60.46,805
54,57.0,60.48,60.5,60.47,60.49,2493
55,58.0,60.5,60.52,60.4999,60.4999,9252
56,59.0,60.49,60.51,60.49,60.49,4870
57,60.0,60.47,60.47,60.46,60.47,400
58,61.0,60.49,60.5099,60.49,60.5099,381
59,62.0,60.53,60.53,60.51,60.51,1287
60,63.0,60.53,60.53,60.49,60.49,700
61,64.0,60.54,60.54,60.51,60.51,2708
62,65.0,60.56,60.565,60.55,60.55,2616
63,66.0,60.58,60.58,60.58,60.58,100
64,67.0,60.65,60.65,60.58,60.58,1000
65,68.0,60.64,60.66,60.63,60.66,3839
