,0,1,2,3,4,5
0,,44.15,44.2,44.15,44.2,75665
1,1.0,44.16,44.245,44.155,44.155,8013
2,2.0,44.195,44.2,44.13,44.16,14500
3,3.0,44.2,44.21,44.15,44.15,11835
4,4.0,44.17,44.21,44.15,44.21,12501
5,5.0,44.235,44.25,44.18,44.19,19769
6,6.0,44.215,44.24,44.19,44.23,28376
7,7.0,44.18,44.23,44.16,44.215,28846
8,8.0,44.17,44.23,44.17,44.185,34593
9,9.0,44.2,44.2,44.16,44.16,9892
10,10.0,44.255,44.27,44.215,44.22,36100
11,11.0,44.24,44.26,44.22,44.255,40658
12,12.0,44.24,44.25,44.21,44.24,15531
13,13.0,44.25,44.265,44.2266,44.24,8969
14,14.0,44.235,44.255,44.23,44.25,10455
15,15.0,44.24,44.25,44.22,44.235,13477
16,16.0,44.2475,44.255,44.23,44.23,14037
17,17.0,44.245,44.25,44.235,44.245,8509
18,18.0,44.24,44.27,44.24,44.245,12800
19,19.0,44.22,44.25,44.21,44.235,9890
20,20.0,44.215,44.225,44.21,44.22,5133
21,21.0,44.205,44.23,44.205,44.215,8367
22,22.0,44.215,44.22,44.2,44.2,8934
23,23.0,44.215,44.225,44.215,44.215,11011
24,24.0,44.215,44.215,44.215,44.215,1200
25,25.0,44.215,44.23,44.21,44.215,21036
26,26.0,44.23,44.23,44.21,44.215,20619
27,27.0,44.225,44.23,44.21,44.23,48273
28,28.0,44.225,44.23,44.22,44.22,11447
29,29.0,44.3399,44.3399,44.225,44.23,41779
30,30.0,44.305,44.335,44.3,44.33,11207
31,31.0,44.34,44.35,44.28,44.3,21734
32,32.0,44.325,44.33,44.321000000000005,44.33,4048
33,33.0,44.38,44.38,44.325,44.325,11990
34,34.0,44.4,44.405,44.385,44.385,6876
35,35.0,44.42,44.45,44.405,44.41,18065
36,36.0,44.47,44.47,44.42,44.43,23093
37,37.0,44.44,44.475,44.44,44.47,15600
38,38.0,44.45,44.45,44.43,44.44,7700
39,39.0,44.39,44.45,44.39,44.45,18196
40,40.0,44.38,44.405,44.38,44.395,55883
41,41.0,44.395,44.41,44.385,44.385,14525
42,42.0,44.42,44.43,44.395,44.4,61326
43,43.0,44.45,44.45,44.42,44.42,18667
44,44.0,44.45,44.45,44.44,44.445,16819
45,45.0,44.48,44.48,44.44,44.445,13276
46,46.0,44.4336,44.48,44.43,44.48,20049
47,47.0,44.4,44.43,44.4,44.43,37404
48,48.0,44.4001,44.415,44.375,44.39,15777
49,49.0,44.4,44.42,44.4,44.4064,55112
50,50.0,44.41,44.415,44.4,44.405,23379
51,51.0,44.4,44.41,44.4,44.41,6304
52,52.0,44.38,44.42,44.375,44.41,52553
53,53.0,44.35,44.38,44.35,44.38,42120
54,54.0,44.37,44.385,44.355,44.355,10395
55,55.0,44.37,44.39,44.37,44.37,11927
56,56.0,44.385,44.385,44.37,44.38,9100
57,57.0,44.39,44.4,44.385,44.39,17962
58,58.0,44.36,44.4,44.36,44.4,30683
59,59.0,44.34,44.36,44.34,44.36,7049
60,60.0,44.34,44.35,44.34,44.3436,7281
61,61.0,44.345,44.35,44.33,44.34,36682
62,62.0,44.35,44.36,44.345,44.35,16270
63,63.0,44.34,44.36,44.34,44.355,22482
64,64.0,44.335,44.35,44.3327,44.34,6536
65,65.0,44.3466,44.35,44.33,44.33,32479
66,66.0,44.345,44.3518,44.34,44.345,35038
67,67.0,44.355,44.355,44.34,44.345,61877
68,68.0,44.4,44.4,44.355,44.36,40415
69,69.0,44.455,44.455,44.38,44.395,73782
70,70.0,44.5031,44.5031,44.45,44.465,43858
71,71.0,44.555,44.56,44.5,44.5,6570
72,72.0,44.575,44.58,44.55,44.56,16793
73,73.0,44.59,44.6,44.57,44.58,38349
74,74.0,44.6,44.61,44.5899,44.5899,6861
75,75.0,44.62,44.62,44.61,44.61,5967
76,76.0,44.61,44.62,44.6,44.62,9000
77,77.0,44.64,44.64,44.62,44.63,5603
78,78.0,44.645,44.66,44.64,44.65,8852
79,79.0,44.655,44.66,44.645,44.65,4855
80,80.0,44.665,44.665,44.65,44.655,5149
81,81.0,44.6768,44.69,44.66,44.66,28010
82,82.0,44.69,44.695,44.67,44.67,5997
83,83.0,44.7,44.7,44.6932,44.6932,1200
84,84.0,44.695,44.695,44.69,44.6943,20202
85,85.0,44.69,44.7,44.69,44.69,2100
86,86.0,44.7,44.7099,44.69,44.69,14373
87,87.0,44.685,44.71,44.675,44.705,15448
88,88.0,44.68,44.69,44.675,44.69,15726
89,89.0,44.67,44.68,44.66,44.675,19912
90,90.0,44.685,44.69,44.66,44.67,35172
91,91.0,44.685,44.69,44.68,44.685,3238
92,92.0,44.7132,44.73,44.69,44.69,12592
93,93.0,44.71,44.72,44.705,44.72,10596
94,94.0,44.73,44.74,44.705,44.71,12813
95,95.0,44.74,44.74,44.725,44.725,4526
96,96.0,44.78,44.78,44.74,44.74,23006
97,97.0,44.795,44.795,44.775,44.78,3000
98,98.0,44.85,44.85,44.79,44.7999,37317
99,99.0,44.855,44.86,44.84,44.84,14286
100,100.0,44.85,44.87,44.825,44.86,58432
101,101.0,44.87,44.87,44.84,44.84,12158
102,102.0,44.88,44.88,44.86,44.869,17878
103,103.0,44.88,44.89,44.87,44.88,47510
104,104.0,44.88,44.89,44.875,44.89,34966
105,105.0,44.81,44.88,44.81,44.88,55510
106,106.0,44.85,44.87,44.81,44.815,17746
107,107.0,44.89,44.89,44.855,44.86,6292
108,108.0,44.89,44.9,44.89,44.89,9063
109,109.0,44.88,44.895,44.88,44.89,8342
110,110.0,44.8553,44.89,44.85,44.89,14375
111,111.0,44.835,44.85,44.83,44.85,8608
112,112.0,44.8,44.83,44.8,44.83,12471
113,113.0,44.8,44.805,44.8,44.805,3140
114,114.0,44.825,44.83,44.8038,44.805,16890
115,115.0,44.8252,44.83,44.82,44.83,8911
116,116.0,44.81,44.8252,44.805,44.8201,19944
117,117.0,44.81,44.82,44.8,44.815,32110
118,118.0,44.82,44.82,44.8,44.81,14462
119,119.0,44.82,44.83,44.815,44.82,13512
120,120.0,44.795,44.82,44.785,44.815,34472
121,121.0,44.79,44.7969,44.79,44.7969,1750
122,122.0,44.79,44.8,44.78,44.7935,9226
123,123.0,44.79,44.8,44.79,44.79,13859
124,124.0,44.818999999999996,44.818999999999996,44.79,44.795,33404
125,125.0,44.795,44.83,44.795,44.82,30558
126,126.0,44.78,44.8,44.765,44.79,12591
127,127.0,44.8,44.81,44.77,44.78,32024
128,128.0,44.805,44.82,44.8,44.8,11422
129,129.0,44.8275,44.83,44.8,44.81,19082
130,130.0,44.825,44.835,44.815,44.83,12314
131,131.0,44.81,44.82,44.81,44.82,7762
132,132.0,44.815,44.82,44.8,44.81,9900
133,133.0,44.81,44.825,44.805,44.82,9500
134,134.0,44.795,44.81,44.79,44.81,18154
135,135.0,44.79,44.8,44.78,44.7969,9200
136,136.0,44.78,44.79,44.775,44.785,15600
137,137.0,44.79,44.79,44.78,44.78,4300
138,138.0,44.795,44.8,44.79,44.7925,3448
139,139.0,44.795,44.8,44.79,44.795,5542
140,140.0,44.8,44.8,44.79,44.795,9841
141,141.0,44.79,44.805,44.79,44.8,14783
142,142.0,44.775,44.795,44.77,44.7942,15219
143,143.0,44.795,44.8,44.78,44.78,9730
144,144.0,44.795,44.81,44.795,44.8,12132
145,145.0,44.82,44.82,44.795,44.795,8425
146,146.0,44.79,44.84,44.79,44.82,24125
147,147.0,44.775,44.8,44.775,44.79,10370
148,148.0,44.79,44.79,44.77,44.78,6900
149,149.0,44.785,44.825,44.785,44.79,20358
150,150.0,44.78,44.79,44.78,44.79,1400
151,151.0,44.765,44.78,44.755,44.78,10220
152,152.0,44.69,44.76,44.685,44.76,19273
153,153.0,44.72,44.72,44.69,44.69,6628
154,154.0,44.75,44.75,44.725,44.7253,4672
155,155.0,44.76,44.77,44.75,44.75,6108
156,156.0,44.715,44.7553,44.715,44.755,13496
157,157.0,44.73,44.73,44.71,44.725,5026
158,158.0,44.74,44.74,44.73,44.73,2124
159,159.0,44.74,44.745,44.74,44.745,4500
160,161.0,44.73,44.75,44.73,44.74,7095
161,162.0,44.73,44.735,44.73,44.73,3051
162,163.0,44.7352,44.7352,44.73,44.735,952
163,164.0,44.73,44.735,44.71,44.73,14448
164,165.0,44.71,44.75,44.71,44.73,30820
165,166.0,44.69,44.71,44.68,44.71,6150
166,167.0,44.69,44.69,44.67,44.68,13343
167,168.0,44.68,44.69,44.68,44.69,2435
168,169.0,44.675,44.685,44.67,44.68,7400
169,170.0,44.7,44.7,44.67,44.67,14598
170,171.0,44.725,44.73,44.69,44.69,15322
171,172.0,44.72,44.745,44.71,44.725,26101
172,173.0,44.72,44.72,44.7,44.715,9267
173,174.0,44.7,44.72,44.7,44.72,5300
174,175.0,44.71,44.71,44.7,44.705,5720
175,176.0,44.7063,44.71,44.7,44.71,1578
176,177.0,44.7,44.7199,44.7,44.71,7250
177,178.0,44.68,44.7,44.68,44.7,3715
178,179.0,44.675,44.68,44.67,44.68,2407
179,180.0,44.6682,44.705,44.6682,44.68,16444
180,181.0,44.65,44.665,44.65,44.66,3180
181,182.0,44.68,44.68,44.65,44.65,8839
182,183.0,44.63,44.68,44.63,44.67,10890
183,184.0,44.64,44.65,44.61,44.62,17919
184,185.0,44.645,44.65,44.64,44.645,1753
185,186.0,44.645,44.65,44.64,44.65,6323
186,187.0,44.63,44.65,44.63,44.645,10027
187,188.0,44.64,44.65,44.63,44.6301,8549
188,189.0,44.62,44.645,44.62,44.645,6308
189,190.0,44.62,44.635,44.62,44.62,8213
190,191.0,44.61,44.62,44.6,44.62,6890
191,192.0,44.59,44.62,44.585,44.61,25591
192,193.0,44.63,44.63,44.59,44.59,11700
193,194.0,44.64,44.65,44.63,44.64,11507
194,195.0,44.6469,44.66,44.635,44.64,16490
195,196.0,44.645,44.645,44.6426,44.645,3395
196,197.0,44.645,44.645,44.64,44.645,3100
197,198.0,44.645,44.645,44.64,44.64,700
198,199.0,44.65,44.65,44.64,44.64,2485
199,200.0,44.64,44.6469,44.64,44.64,4295
200,201.0,44.6275,44.64,44.6275,44.64,12849
201,202.0,44.625,44.6256,44.62,44.62,2149
202,203.0,44.64,44.64,44.62,44.63,11975
203,204.0,44.64,44.64,44.63,44.64,1700
204,205.0,44.62,44.64,44.62,44.64,12954
205,206.0,44.62,44.64,44.62,44.62,102674
206,207.0,44.63,44.63,44.62,44.62,6125
207,208.0,44.635,44.635,44.625,44.625,3769
208,209.0,44.66,44.66,44.635,44.6364,14734
209,210.0,44.665,44.68,44.655,44.66,44498
210,211.0,44.6247,44.675,44.62,44.665,47967
211,212.0,44.635,44.64,44.6299,44.63,18846
212,213.0,44.635,44.635,44.63,44.63,300
