,0,1,2,3,4,5
1160,,42.58,42.58,42.58,42.58,12152
1161,1.0,42.37,42.57,42.36,42.57,3273
1162,2.0,42.46,42.46,42.43,42.43,300
1163,4.0,42.53,42.53,42.42,42.46,600
1164,5.0,42.63,42.68,42.46,42.54,1930
1165,6.0,42.5,42.63,42.47,42.6,9100
1166,7.0,42.38,42.49,42.37,42.49,5400
1167,8.0,42.38,42.38,42.38,42.38,400
1168,9.0,42.39,42.4113,42.38,42.4113,1307
1169,10.0,42.47,42.47,42.39,42.41,1959
1170,11.0,42.39,42.45,42.38,42.45,2600
1171,12.0,42.44,42.45,42.41,42.41,1200
1172,13.0,42.46,42.46,42.43,42.45,700
1173,14.0,42.5108,42.52,42.46,42.46,4727
1174,15.0,42.54,42.54,42.47,42.5036,3064
1175,16.0,42.56,42.58,42.52,42.5775,3692
1176,17.0,42.55,42.56,42.54,42.56,1500
1177,19.0,42.48,42.57,42.48,42.57,2400
1178,20.0,42.45,42.46,42.43,42.45,1669
1179,22.0,42.5,42.52,42.47,42.47,2400
1180,23.0,42.51,42.51,42.51,42.51,300
1181,24.0,42.48,42.53,42.47,42.52,2300
1182,25.0,42.55,42.55,42.49,42.49,1225
1183,26.0,42.51,42.55,42.51,42.55,1600
1184,27.0,42.48,42.51,42.48,42.51,1600
1185,28.0,42.49,42.51,42.48,42.49,1900
1186,29.0,42.47,42.49,42.47,42.49,800
1187,30.0,42.49,42.5,42.46,42.46,1600
1188,31.0,42.47,42.495,42.47,42.495,600
1189,32.0,42.4599,42.47,42.44,42.47,1380
1190,33.0,42.41,42.46,42.41,42.46,9295
1191,34.0,42.42,42.43,42.41,42.43,1200
1192,35.0,42.41,42.46,42.41,42.43,5946
1193,36.0,42.43,42.43,42.415,42.415,1700
1194,37.0,42.41,42.42,42.405,42.42,3400
1195,38.0,42.47,42.475,42.415,42.42,6608
1196,39.0,42.43,42.465,42.43,42.4612,4599
1197,40.0,42.425,42.425,42.42100000000001,42.425,532
1198,41.0,42.465,42.48,42.425,42.43,4200
1199,42.0,42.46,42.47,42.46,42.46,1200
1200,43.0,42.478,42.48,42.465,42.47,1950
1201,44.0,42.54,42.56,42.47,42.47,7992
1202,45.0,42.5225,42.535,42.52,42.535,1700
1203,46.0,42.52,42.53,42.52,42.52,1900
1204,47.0,42.48,42.53,42.46,42.53,7800
1205,48.0,42.5265,42.53,42.49,42.49,3550
1206,49.0,42.53,42.53,42.53,42.53,300
1207,50.0,42.555,42.555,42.555,42.555,100
1208,51.0,42.59,42.6,42.56,42.56,2528
1209,52.0,42.57,42.59,42.565,42.59,3000
1210,53.0,42.57,42.57,42.555,42.57,2776
1211,54.0,42.57,42.57,42.57,42.57,500
1212,55.0,42.57,42.6,42.55,42.56,5729
1213,56.0,42.6,42.6,42.57,42.58,2500
1214,57.0,42.57,42.6,42.57,42.6,4900
1215,58.0,42.57,42.577,42.55,42.57,7646
1216,59.0,42.59,42.59,42.59,42.59,100
1217,60.0,42.55,42.59,42.55,42.59,3850
1218,61.0,42.58,42.58,42.565,42.57,4208
1219,62.0,42.58,42.58,42.58,42.58,100
1220,63.0,42.56,42.58,42.55,42.58,1700
1221,64.0,42.58,42.58,42.58,42.58,200
1222,65.0,42.59,42.59,42.58,42.58,1600
1223,66.0,42.61,42.61,42.59,42.6,3918
1224,67.0,42.6,42.62,42.6,42.62,2010
1225,68.0,42.59,42.5966,42.57,42.5966,1650
1226,69.0,42.59,42.6,42.59,42.6,400
1227,70.0,42.58,42.59,42.58,42.59,200
1228,71.0,42.59,42.6,42.59,42.6,900
1229,72.0,42.6,42.6,42.59,42.6,700
1230,73.0,42.6,42.6,42.6,42.6,204
1231,74.0,42.61,42.64,42.61,42.61,2100
1232,75.0,42.61,42.63,42.61,42.62,1400
1233,76.0,42.6101,42.6101,42.61,42.61,979
1234,77.0,42.63,42.635,42.62,42.62,1100
1235,78.0,42.64,42.64,42.63,42.63,1000
1236,79.0,42.63,42.64,42.62,42.63,3100
1237,80.0,42.615,42.63,42.61,42.63,1309
1238,81.0,42.6189,42.62,42.6189,42.62,300
1239,82.0,42.63,42.63,42.62,42.62,921
1240,83.0,42.64,42.64,42.63,42.63,1138
1241,84.0,42.635,42.64,42.63,42.635,3195
1242,85.0,42.63,42.63,42.63,42.63,319
1243,86.0,42.665,42.665,42.64,42.64,2561
1244,87.0,42.68,42.69,42.67,42.67,2253
1245,88.0,42.6614,42.68,42.6614,42.68,1320
1246,89.0,42.6663,42.6663,42.6663,42.6663,150
1247,90.0,42.65,42.66,42.64,42.66,800
1248,91.0,42.66,42.67,42.65,42.65,3135
1249,92.0,42.7,42.7,42.67,42.67,2386
1250,93.0,42.71,42.72,42.7,42.7,4700
1251,94.0,42.74,42.74,42.71,42.71,3801
1252,95.0,42.745,42.76,42.74,42.74,1200
1253,96.0,42.75,42.75,42.75,42.75,500
1254,97.0,42.74,42.75,42.74,42.75,2100
1255,98.0,42.74,42.75,42.73,42.73,1727
1256,99.0,42.75,42.75,42.735,42.735,2396
1257,100.0,42.74,42.75,42.73,42.75,1100
1258,101.0,42.745,42.745,42.74,42.74,400
1259,102.0,42.75,42.75,42.74,42.74,400
1260,103.0,42.755,42.755,42.73,42.74,3865
1261,104.0,42.7725,42.775,42.75,42.76,3975
1262,105.0,42.79,42.79,42.77,42.77,2261
1263,106.0,42.78,42.78,42.76,42.77,900
1264,107.0,42.76,42.7825,42.76,42.7825,2100
1265,108.0,42.755,42.765,42.75,42.76,1100
1266,109.0,42.78,42.7825,42.755,42.755,4906
1267,110.0,42.8,42.8,42.79,42.79,1610
1268,111.0,42.78,42.8,42.78,42.79,1517
1269,112.0,42.8,42.8,42.785,42.785,875
1270,113.0,42.8,42.805,42.79,42.805,1200
1271,114.0,42.76,42.8,42.76,42.8,3878
1272,115.0,42.755,42.77,42.75,42.77,2049
1273,116.0,42.775,42.78,42.76,42.76,9570
1274,117.0,42.77,42.775,42.76,42.775,3599
1275,118.0,42.79,42.79,42.77,42.77,7722
1276,119.0,42.81,42.815,42.795,42.795,3827
1277,120.0,42.85,42.85,42.81,42.81,4944
1278,121.0,42.84,42.84,42.82,42.84,3600
1279,122.0,42.825,42.84,42.82,42.84,2674
1280,123.0,42.83,42.83,42.821000000000005,42.821000000000005,994
1281,124.0,42.8365,42.8365,42.83,42.83,935
1282,125.0,42.84,42.84,42.83,42.83,200
1283,126.0,42.82,42.835,42.815,42.83,2900
1284,127.0,42.8,42.826,42.8,42.82,2503
1285,128.0,42.795,42.805,42.79,42.8,5648
1286,129.0,42.8,42.8,42.79,42.79,1752
1287,130.0,42.805,42.805,42.805,42.805,100
1288,131.0,42.82,42.82,42.81,42.81,2031
1289,132.0,42.82,42.83,42.82,42.82,2852
1290,133.0,42.8,42.82,42.8,42.82,2656
1291,134.0,42.82,42.82,42.79,42.8,4000
1292,135.0,42.8207,42.83,42.8207,42.83,1100
1293,136.0,42.8,42.825,42.8,42.82,3200
1294,137.0,42.8033,42.81,42.8001,42.81,1350
1295,138.0,42.7833,42.8,42.78,42.8,4000
1296,139.0,42.78,42.8,42.78,42.79,2097
1297,140.0,42.78,42.785,42.78,42.785,1153
1298,141.0,42.775,42.7762,42.7738,42.775,5262
1299,142.0,42.76,42.775,42.76,42.775,2200
1300,143.0,42.75,42.76,42.75,42.76,600
1301,144.0,42.745,42.755,42.7301,42.755,1200
1302,145.0,42.745,42.745,42.74,42.74,416
1303,146.0,42.78,42.78,42.74,42.74,3274
1304,147.0,42.72,42.77,42.72,42.77,8608
1305,148.0,42.71,42.72,42.71,42.715,2700
1306,149.0,42.71,42.71,42.68,42.705,14580
1307,150.0,42.72,42.72,42.71,42.71,506
1308,151.0,42.735,42.735,42.73,42.73,200
1309,152.0,42.76,42.76,42.73,42.73,4427
1310,153.0,42.76,42.76,42.75,42.76,1701
1311,154.0,42.76,42.77,42.76,42.77,500
1312,155.0,42.78,42.78,42.75,42.76,3794
1313,156.0,42.8,42.8,42.77,42.79,3099
1314,157.0,42.81,42.81,42.79,42.8,2753
1315,158.0,42.8,42.8099,42.8,42.8099,1622
1316,159.0,42.79,42.81,42.781000000000006,42.8,2000
1317,160.0,42.7938,42.8,42.79,42.8,1027
1318,161.0,42.79,42.8,42.79,42.8,300
1319,162.0,42.7999,42.7999,42.78,42.79,2009
1320,164.0,42.79,42.79,42.78,42.79,300
1321,165.0,42.795,42.795,42.78,42.78,1202
1322,166.0,42.79,42.7947,42.7801,42.7947,2300
1323,167.0,42.7801,42.8,42.7801,42.79,900
1324,168.0,42.78,42.79,42.77,42.79,2699
1325,169.0,42.78,42.78,42.775,42.775,2039
1326,170.0,42.8,42.82,42.775,42.775,37847
1327,171.0,42.8,42.8,42.7966,42.8,512
1328,172.0,42.81,42.81,42.81,42.81,100
1329,173.0,42.8,42.81,42.8,42.8,500
