,0,1,2,3,4,5
4692,,58.09,58.09,58.03,58.03,329787
4693,1.0,58.28,58.32,58.0668,58.09,198612
4694,2.0,58.27,58.328,58.23,58.27,49376
4695,3.0,58.23,58.27,58.195,58.27,82814
4696,4.0,58.32,58.32,58.2301,58.24,44367
4697,5.0,58.31,58.32,58.28,58.32,39847
4698,6.0,58.2824,58.32,58.25,58.32,115466
4699,7.0,58.28,58.31,58.28,58.29,58834
4700,8.0,58.24,58.3,58.2,58.29,105096
4701,9.0,58.27,58.28,58.25,58.25,38799
4702,10.0,58.27,58.31,58.26,58.269,78306
4703,11.0,58.3144,58.33,58.275,58.28,102635
4704,12.0,58.28,58.31,58.28,58.31,48819
4705,13.0,58.285,58.3,58.28,58.28,19189
4706,14.0,58.32,58.32,58.29,58.295,71770
4707,15.0,58.32,58.33,58.3,58.32,42228
4708,16.0,58.3052,58.37,58.3,58.315,79188
4709,17.0,58.32,58.32,58.2901,58.3063,44795
4710,18.0,58.315,58.33,58.31,58.32,26115
4711,19.0,58.295,58.32,58.295,58.32,36374
4712,20.0,58.325,58.33,58.3,58.305,40946
4713,21.0,58.38,58.38,58.325,58.33,39570
4714,22.0,58.345,58.39,58.345,58.375,83324
4715,23.0,58.37,58.37,58.34,58.34,22152
4716,24.0,58.39,58.4,58.37,58.38,70014
4717,25.0,58.42,58.425,58.39,58.39,129121
4718,26.0,58.38,58.415,58.38,58.415,71722
4719,27.0,58.415,58.44,58.385,58.39,54414
4720,28.0,58.42,58.44,58.4,58.4142,46755
4721,29.0,58.42,58.45,58.41,58.4199,44190
4722,30.0,58.34,58.4344,58.25,58.43,176570
4723,31.0,58.32,58.36,58.32,58.34,68509
4724,32.0,58.36,58.37,58.315,58.3199,49859
4725,33.0,58.395,58.4,58.355,58.355,45323
4726,34.0,58.38,58.4,58.37,58.39,34977
4727,35.0,58.38,58.4,58.37,58.38,20018
4728,36.0,58.3999,58.4,58.38,58.38,11656
4729,37.0,58.4,58.4,58.39,58.4,20858
4730,38.0,58.4099,58.41,58.395,58.4,37648
4731,39.0,58.335,58.41,58.3335,58.4018,83570
4732,40.0,58.3,58.34,58.3,58.3331,54184
4733,41.0,58.2969,58.31,58.285,58.3,53848
4734,42.0,58.29,58.31,58.285,58.3,27146
4735,43.0,58.21,58.3,58.205,58.29,113623
4736,44.0,58.2234,58.23,58.21,58.21,36545
4737,45.0,58.25,58.26,58.22,58.23,37842
4738,46.0,58.23,58.26,58.22,58.25,21130
4739,47.0,58.24,58.24,58.22,58.2267,20276
4740,48.0,58.23,58.24,58.22,58.24,24483
