,0,1,2,3,4,5
4625,,41.1,41.1,41.1,41.1,13611
4626,2.0,40.95,41.0999,40.95,41.0999,400
4627,3.0,40.94,41.07,40.94,41.07,200
4628,4.0,40.96,41.05,40.895,40.97,1400
4629,5.0,40.82,40.84,40.78,40.84,300
4630,6.0,40.89,40.92,40.86,40.86,4800
4631,7.0,40.95,40.95,40.94,40.94,200
4632,8.0,40.96,40.99,40.95,40.99,2000
4633,9.0,40.9,40.935,40.9,40.92,1634
4634,10.0,40.88,40.93,40.88,40.88,3616
4635,11.0,40.93,40.945,40.92,40.92,2400
4636,12.0,40.98,41.0,40.94,40.94,6221
4637,13.0,40.92,40.99,40.92,40.97,28388
4638,14.0,40.87,40.925,40.86,40.92,14400
4639,15.0,40.855,40.89,40.855,40.88,5200
4640,16.0,40.87,40.88,40.85,40.855,3665
4641,17.0,40.84,40.88,40.8399,40.88,3700
4642,18.0,40.83,40.85,40.82,40.82,2600
4643,19.0,40.81,40.825,40.81,40.82,3500
4644,20.0,40.85,40.85,40.81,40.82,3200
4645,21.0,40.88,40.89,40.85,40.85,6095
4646,22.0,40.9,40.92,40.88,40.88,1651
4647,23.0,40.92,40.93,40.89,40.89,2100
4648,24.0,40.915,40.93,40.9,40.92,9800
4649,25.0,40.91,40.91,40.91,40.91,1500
4650,26.0,40.91,40.925,40.91,40.91,6800
4651,27.0,40.925,40.925,40.91,40.91,700
4652,28.0,40.93,40.95,40.9201,40.925,8851
4653,29.0,40.93,40.94,40.92,40.94,4400
4654,30.0,40.89,40.92,40.89,40.92,4000
4655,31.0,40.9,40.915,40.89,40.89,5737
4656,32.0,40.93,40.93,40.9,40.9,3700
4657,33.0,40.91,40.93,40.9,40.93,2548
4658,34.0,40.9,40.91,40.9,40.9,2000
4659,35.0,40.91,40.93,40.91,40.91,2500
4660,36.0,40.92,40.92,40.9,40.91,3642
4661,37.0,40.9174,40.92,40.91,40.92,639
4662,38.0,40.915,40.92,40.91,40.915,1700
4663,39.0,40.88,40.92,40.88,40.91,4751
4664,40.0,40.88,40.89,40.88,40.885,1171
4665,41.0,40.9199,40.9199,40.885,40.885,3797
4666,42.0,40.935,40.935,40.92,40.92,1900
4667,43.0,40.88,40.95,40.88,40.9389,4703
4668,44.0,40.89,40.89,40.88,40.89,5799
4669,45.0,40.88,40.88,40.87,40.88,5265
4670,46.0,40.88,40.88,40.87,40.875,5008
4671,47.0,40.88,40.895,40.88,40.88,2000
4672,48.0,40.89,40.89,40.88,40.88,1100
4673,49.0,40.88,40.89,40.88,40.89,2400
4674,50.0,40.89,40.897,40.88,40.88,1636
4675,51.0,40.89,40.9,40.89,40.89,2800
4676,52.0,40.86,40.89,40.86,40.89,1800
4677,53.0,40.85,40.86,40.85,40.86,1400
4678,54.0,40.87,40.87,40.85,40.8501,1000
4679,55.0,40.86,40.89,40.86,40.87,1300
4680,56.0,40.86,40.86,40.85,40.86,1529
4681,57.0,40.87,40.87,40.84,40.85,5268
4682,58.0,40.9,40.9,40.87,40.87,1500
4683,59.0,40.9,40.9,40.895,40.895,500
4684,60.0,40.885,40.895,40.87,40.89,3100
4685,61.0,40.88,40.89,40.88,40.88,1700
4686,62.0,40.88,40.91,40.88,40.89,56495
4687,63.0,40.87,40.88,40.86,40.88,1492
4688,64.0,40.875,40.9,40.86,40.86,9508
4689,65.0,40.87,40.87,40.87,40.87,300
4690,66.0,40.855,40.865,40.84,40.865,4800
4691,67.0,40.9,40.9,40.86,40.86,9100
4692,68.0,40.88,40.9,40.88,40.89,3300
4693,69.0,40.885,40.885,40.88,40.885,1675
4694,70.0,40.9,40.9,40.89,40.89,4700
4695,71.0,40.89,40.9,40.89,40.9,2700
4696,72.0,40.875,40.89,40.87,40.88,26300
4697,73.0,40.8699,40.876,40.86,40.876,1835
4698,74.0,40.86,40.86,40.85,40.86,1729
4699,75.0,40.88,40.88,40.86,40.86,3833
4700,76.0,40.88,40.885,40.88,40.88,1100
4701,77.0,40.88,40.88,40.86,40.88,3100
4702,78.0,40.87,40.89,40.86,40.88,1700
4703,79.0,40.86,40.89,40.86,40.87,6515
4704,80.0,40.86,40.86,40.85,40.85,200
4705,81.0,40.865,40.865,40.855,40.86,1000
4706,82.0,40.855,40.86,40.85,40.86,2195
4707,83.0,40.845,40.86,40.84,40.85,2000
4708,84.0,40.835,40.86,40.835,40.85,3500
4709,85.0,40.84,40.84,40.83,40.83,4186
4710,86.0,40.84,40.85,40.84,40.84,28726
4711,87.0,40.84,40.84,40.83,40.84,1700
4712,88.0,40.85,40.85,40.84,40.84,6100
