,0,1,2,3,4,5
3516,,39.75,39.75,39.75,39.75,51359
3517,1.0,39.79,39.79,39.705,39.75,7800
3518,2.0,39.86,39.87,39.73,39.73,14208
3519,3.0,39.9,39.9,39.84,39.85,6530
3520,4.0,39.84,39.9,39.84,39.885,7864
3521,5.0,39.97,40.07,39.83,39.8504,42396
3522,6.0,39.9786,39.99,39.93,39.97,11691
3523,7.0,39.9365,40.0,39.9365,39.96,16014
3524,8.0,39.92,39.94,39.895,39.94,7725
3525,9.0,39.86,39.91,39.86,39.91,5874
3526,10.0,39.89,39.9,39.83,39.865,11221
3527,11.0,39.93,39.94,39.8902,39.9,7581
3528,12.0,39.92,39.95,39.905,39.93,6363
3529,13.0,39.81,39.92,39.81,39.915,10772
3530,14.0,39.826,39.83,39.8,39.8157,6682
3531,15.0,39.77,39.83,39.7599,39.825,6830
3532,16.0,39.765,39.785,39.75,39.78,8340
3533,17.0,39.79,39.795,39.77,39.77,7694
3534,18.0,39.83,39.84,39.8,39.8,7850
3535,19.0,39.74,39.82,39.74,39.82,7600
3536,20.0,39.75,39.75,39.69,39.7316,9452
3537,21.0,39.725,39.795,39.725,39.76,10124
3538,22.0,39.82,39.83,39.725,39.725,51785
3539,23.0,39.81,39.82,39.795,39.815,13797
3540,24.0,39.83,39.85,39.75,39.805,15492
3541,25.0,39.8,39.825,39.79,39.825,8510
3542,26.0,39.78,39.81,39.77,39.795,12126
3543,27.0,39.82,39.82,39.7928,39.7928,2478
3544,28.0,39.935,39.96,39.82,39.82,26016
3545,29.0,39.94,39.94,39.89,39.94,21178
3546,30.0,39.92,39.97,39.92,39.955,12814
3547,31.0,39.9276,39.93,39.88,39.915,6900
3548,32.0,39.94,39.94,39.92,39.93,5472
3549,33.0,39.92,39.9354,39.91,39.9354,3865
3550,34.0,39.93,39.93,39.88,39.91,26563
3551,35.0,39.93,39.93,39.9,39.925,3031
3552,36.0,39.93,39.94,39.92,39.92,7070
3553,37.0,39.97,40.01,39.93,39.93,15990
3554,38.0,39.97,39.975,39.95,39.975,10422
3555,39.0,39.92,39.97,39.91,39.97,8100
