,0,1,2,3,4,5
780,,5153.567,5154.299,5152.61,5153.611,0
781,1.0,5154.06,5154.704000000001,5152.748,5153.443,0
782,2.0,5154.305,5155.87,5153.219,5153.428,0
783,3.0,5152.753,5155.318,5151.307,5154.363,0
784,4.0,5154.038,5154.1140000000005,5150.931,5152.848,0
785,5.0,5155.016,5155.827,5151.835,5154.1140000000005,0
786,6.0,5158.853,5158.853,5154.969,5154.969,0
787,7.0,5157.624,5159.57,5157.265,5158.851,0
788,8.0,5157.032999999999,5159.214,5156.3009999999995,5157.675,0
789,9.0,5158.35,5159.344,5157.182,5157.182,0
790,10.0,5158.609,5160.128,5158.148,5158.425,0
791,11.0,5154.866,5159.281,5154.866,5158.657,0
792,12.0,5154.642,5156.022,5154.109,5154.749,0
793,13.0,5151.974,5155.01,5151.974,5154.946,0
794,14.0,5151.43,5152.001,5150.482,5151.888,0
795,15.0,5152.588,5153.992,5151.718,5151.718,0
796,16.0,5154.48,5154.48,5152.254,5152.602,0
797,17.0,5155.907,5156.148,5154.178,5154.178,0
798,18.0,5154.969,5157.298,5154.958,5155.856,0
799,19.0,5155.12,5156.524,5154.845,5154.918,0
800,20.0,5156.509,5156.509,5155.0070000000005,5155.0070000000005,0
801,21.0,5153.812,5156.579000000001,5153.545999999999,5156.5470000000005,0
802,22.0,5154.281,5155.655,5154.181,5154.181,0
803,23.0,5154.901,5154.919,5153.627,5154.0509999999995,0
804,24.0,5155.202,5155.5070000000005,5153.608,5155.016,0
805,25.0,5155.022,5155.717000000001,5154.871,5155.222,0
806,26.0,5153.795999999999,5155.528,5153.795999999999,5155.183,0
807,27.0,5154.295,5154.741,5153.594,5153.77,0
808,28.0,5154.744000000001,5154.976,5154.042,5154.242,0
809,29.0,5155.642,5155.642,5153.771,5154.768,0
810,30.0,5154.012,5155.829000000001,5153.960999999999,5155.592000000001,0
811,31.0,5156.834,5156.854,5153.983,5153.998,0
812,32.0,5156.749,5157.4259999999995,5156.289000000001,5156.7390000000005,0
813,33.0,5158.263,5158.896,5156.42,5156.778,0
814,34.0,5156.329000000001,5158.405,5156.329000000001,5158.342000000001,0
815,35.0,5155.460999999999,5156.562,5155.215999999999,5156.371,0
816,36.0,5156.253,5157.009,5155.213,5155.403,0
817,37.0,5155.342000000001,5157.09,5155.342000000001,5156.2,0
818,38.0,5152.433,5155.343,5151.955,5155.343,0
819,39.0,5154.169,5154.242,5152.417,5152.417,0
820,40.0,5154.112,5155.035,5154.112,5154.38,0
821,41.0,5154.536,5154.67,5153.615,5154.056,0
822,42.0,5154.279,5154.602,5153.753,5154.602,0
823,43.0,5155.588,5155.986,5154.355,5154.380999999999,0
824,44.0,5156.779,5157.208,5155.481,5155.486,0
825,45.0,5156.35,5157.278,5156.299,5156.599,0
826,46.0,5157.137,5157.137,5155.771,5156.3820000000005,0
827,47.0,5153.948,5157.525,5153.948,5157.157999999999,0
828,48.0,5154.31,5154.616,5153.036,5153.7390000000005,0
829,49.0,5156.983,5156.983,5154.287,5154.287,0
830,50.0,5155.577,5157.295999999999,5155.577,5157.178,0
831,51.0,5157.144,5157.192,5155.167,5155.3859999999995,0
832,52.0,5156.838,5157.417,5156.47,5157.249,0
833,53.0,5154.582,5156.853,5154.44,5156.816,0
834,54.0,5156.497,5156.534000000001,5154.648,5154.648,0
835,55.0,5164.83,5165.156,5156.643,5156.643,0
836,56.0,5162.526,5165.473,5162.005,5165.11,0
837,57.0,5161.31,5162.5109999999995,5161.016,5162.380999999999,0
838,58.0,5160.624,5161.564,5160.323,5161.378,0
839,59.0,5160.354,5161.1179999999995,5159.307,5160.633,0
840,60.0,5161.034000000001,5161.7390000000005,5160.444,5160.444,0
841,61.0,5160.608,5161.059,5160.305,5161.048,0
842,62.0,5159.706,5160.621,5158.979,5160.621,0
843,63.0,5159.463,5159.734,5158.59,5159.710999999999,0
844,64.0,5156.612,5159.509,5156.612,5159.492,0
845,65.0,5157.322,5158.116,5156.031,5156.433,0
846,66.0,5156.823,5157.7609999999995,5156.532999999999,5157.29,0
847,67.0,5157.532,5157.537,5156.273,5156.8240000000005,0
848,68.0,5157.652,5158.228,5157.569,5157.569,0
849,69.0,5156.186,5158.066,5155.8640000000005,5157.681,0
850,70.0,5157.3240000000005,5157.361,5156.138,5156.138,0
851,71.0,5156.587,5157.438,5156.541,5157.353,0
852,72.0,5156.279,5156.792,5156.279,5156.682,0
853,73.0,5155.832,5156.734,5155.754,5156.196,0
854,74.0,5157.968,5157.987,5155.895,5155.897,0
855,75.0,5157.247,5157.931,5157.01,5157.931,0
856,76.0,5157.809,5158.085,5157.11,5157.333,0
857,77.0,5157.481,5157.871,5157.26,5157.818,0
858,78.0,5158.518,5158.518,5156.697,5157.385,0
859,79.0,5160.349,5160.349,5158.457,5158.518,0
860,80.0,5159.609,5160.822,5159.535,5160.377,0
861,81.0,5158.464,5159.6,5158.179,5159.6,0
862,82.0,5158.686,5158.701,5157.901,5158.464,0
863,83.0,5157.789000000001,5158.712,5157.789000000001,5158.684,0
864,84.0,5157.229,5158.005,5157.101,5157.782,0
865,85.0,5157.01,5157.272,5156.972,5157.272,0
866,86.0,5156.865,5157.034000000001,5156.571,5157.029,0
867,87.0,5157.809,5157.931,5156.879,5156.879,0
868,88.0,5158.092000000001,5158.505999999999,5157.754,5157.814,0
869,89.0,5157.061,5158.089,5157.02,5158.089,0
870,90.0,5158.771,5158.8640000000005,5157.108,5157.108,0
871,91.0,5159.613,5159.67,5158.664000000001,5158.742,0
872,92.0,5160.045,5160.359,5159.197,5159.584,0
873,93.0,5159.878,5160.509,5159.719,5160.023,0
874,94.0,5160.2029999999995,5160.456,5159.584,5159.876,0
875,95.0,5160.905,5161.28,5160.096,5160.185,0
876,96.0,5162.017,5162.017,5160.638,5160.9220000000005,0
877,97.0,5162.581,5162.581,5161.706,5162.015,0
878,98.0,5161.438,5162.649,5161.404,5162.589,0
879,99.0,5162.236,5162.236,5161.187,5161.415,0
880,100.0,5160.818,5162.298,5160.536,5162.298,0
881,101.0,5161.026,5161.026,5159.791,5160.8240000000005,0
882,102.0,5162.167,5162.221,5161.028,5161.028,0
883,103.0,5160.054,5162.156,5160.021,5162.156,0
884,104.0,5159.456,5160.144,5159.435,5159.91,0
885,105.0,5159.247,5159.454000000001,5159.186,5159.409000000001,0
886,106.0,5159.170999999999,5159.338,5158.335999999999,5159.264,0
887,107.0,5159.371,5159.457,5159.17,5159.2570000000005,0
888,108.0,5158.597,5159.442,5158.582,5159.417,0
889,109.0,5157.401,5158.524,5157.142,5158.524,0
890,110.0,5158.735,5158.735,5157.475,5157.475,0
891,111.0,5158.308,5159.247,5158.26,5158.706,0
892,112.0,5156.479,5158.182,5156.479,5158.175,0
893,113.0,5154.455,5156.284000000001,5154.45,5156.037,0
894,114.0,5152.4259999999995,5154.448,5151.4,5154.448,0
895,115.0,5152.637,5152.806,5151.8009999999995,5152.419,0
896,116.0,5153.23,5153.467000000001,5152.697,5152.697,0
897,117.0,5154.142,5154.181,5153.117,5153.313,0
898,118.0,5154.346,5154.5070000000005,5153.955,5154.129,0
899,119.0,5153.79,5154.362,5153.742,5154.326,0
900,120.0,5153.532999999999,5153.768,5152.567,5153.768,0
901,121.0,5154.417,5154.554,5153.543,5153.543,0
902,122.0,5154.420999999999,5154.87,5154.271,5154.487,0
903,123.0,5153.473,5154.444,5153.206,5154.444,0
904,124.0,5152.784000000001,5153.558,5152.784000000001,5153.497,0
905,125.0,5152.268,5152.82,5152.127,5152.754,0
906,126.0,5150.318,5152.27,5150.318,5152.27,0
907,127.0,5150.433,5150.82,5150.147,5150.291,0
908,128.0,5150.202,5150.5070000000005,5149.638,5150.436,0
909,129.0,5151.471,5151.471,5150.099,5150.159000000001,0
910,130.0,5151.254,5151.479,5150.763,5151.469,0
911,131.0,5151.067,5151.254,5150.89,5151.254,0
912,132.0,5149.941,5151.071,5149.553,5151.069,0
913,133.0,5147.7429999999995,5150.0070000000005,5147.581,5149.941,0
914,134.0,5148.794,5149.002,5147.733,5147.733,0
915,135.0,5149.214,5149.232,5148.562,5148.7609999999995,0
916,136.0,5148.201,5149.273,5148.201,5149.259,0
917,137.0,5148.053,5148.224,5147.766,5148.201,0
918,138.0,5149.514,5149.627,5148.041,5148.042,0
919,139.0,5150.068,5150.068,5149.197,5149.555,0
920,140.0,5150.788,5151.126,5150.087,5150.098,0
921,141.0,5151.262,5151.262,5150.409000000001,5150.7970000000005,0
922,142.0,5150.362,5151.282,5150.362,5151.265,0
923,143.0,5150.282,5150.589,5150.1140000000005,5150.369000000001,0
924,144.0,5150.884,5151.277,5150.2,5150.2,0
925,145.0,5150.701,5151.058,5150.701,5150.8820000000005,0
926,146.0,5151.306,5151.306,5150.107,5150.688,0
927,147.0,5150.365,5151.268,5150.365,5151.247,0
928,148.0,5150.384,5150.488,5149.621,5150.362,0
929,149.0,5151.789000000001,5151.789000000001,5150.321,5150.373,0
930,150.0,5151.432,5152.343,5151.399,5151.932,0
931,151.0,5153.861,5153.998,5151.459,5151.459,0
