,0,1,2,3,4,5
391,,95.94,95.94,95.75,95.91,102814
392,1.0,96.4531,96.49,95.71,95.85,85145
393,2.0,96.85,96.99,96.38,96.45,80096
394,3.0,97.19,97.36,96.97,96.995,51200
395,4.0,97.461,97.51299999999999,97.12,97.26,82450
396,5.0,97.29,97.69,97.2516,97.4733,60212
397,6.0,97.5,97.565,97.29,97.3,33941
398,7.0,97.58,97.59,97.41,97.5,33546
399,8.0,97.57,97.65,97.5,97.56,83665
400,9.0,97.52,97.61,97.46,97.5301,39208
401,10.0,97.73,97.8,97.51,97.53,70124
402,11.0,97.73,97.76,97.492,97.74,50172
403,12.0,97.8199,97.83,97.68,97.77,37398
404,13.0,97.635,97.78,97.59,97.78,16764
405,14.0,97.58,97.7294,97.521,97.61,19774
406,15.0,97.35,97.62,97.35,97.535,45208
407,16.0,97.26,97.41,97.2,97.34,52626
408,17.0,97.2888,97.31,97.1225,97.29,37074
409,18.0,97.23,97.37,97.22,97.27,20890
410,19.0,97.35,97.44,97.24,97.24,34493
411,20.0,97.33,97.38,97.16,97.34,41962
412,21.0,97.2219,97.36,97.17,97.33,56883
413,22.0,97.32,97.33,97.15,97.21,36234
414,23.0,97.18,97.32,97.1698,97.32,24930
415,24.0,97.23,97.275,97.14,97.19,15478
416,25.0,97.12,97.23,97.0501,97.21,20438
417,26.0,97.3362,97.37,97.11,97.1266,29063
418,27.0,97.455,97.53,97.3,97.33,38667
419,28.0,97.5227,97.53,97.42,97.45,35247
420,29.0,97.54,97.56,97.46,97.53,21233
421,30.0,97.58,97.6077,97.49,97.54,18046
422,31.0,97.61,97.67,97.571,97.59,16458
423,32.0,97.68,97.76,97.59100000000001,97.59100000000001,29974
424,33.0,97.68,97.7476,97.6714,97.68,15775
425,34.0,97.7653,97.85,97.6499,97.69,26746
426,35.0,97.9466,97.98,97.78,97.78,41456
427,36.0,97.89,97.95,97.84,97.94,23887
428,37.0,97.9,97.94,97.89,97.9,24995
429,38.0,97.99,97.99,97.9037,97.9148,25983
430,39.0,97.93,97.99,97.9,97.99,22215
431,40.0,97.93,98.0,97.89,97.93,25804
432,41.0,97.8,97.92,97.79,97.92,15604
433,42.0,97.802,97.88,97.8,97.81,30234
434,43.0,97.92,97.92,97.81,97.81,14016
435,44.0,97.9568,98.01,97.9008,97.93,36522
436,45.0,97.78,97.975,97.78,97.9675,22571
437,46.0,97.7701,97.82,97.75,97.78,8198
438,47.0,97.84,97.94,97.82,97.82,12117
439,48.0,97.71600000000001,97.89,97.71600000000001,97.83,14152
440,49.0,97.86,97.86,97.72,97.72,12555
441,50.0,97.94,97.98,97.86,97.86,14765
442,51.0,97.86,97.96,97.86,97.93,8508
443,52.0,97.91,97.98,97.8757,97.89,18996
444,53.0,97.8199,97.98,97.81,97.92,24500
445,54.0,97.77,97.87,97.73,97.84,31056
446,55.0,97.765,97.8,97.71,97.79,11663
447,56.0,97.92,97.928,97.76,97.7712,17146
448,57.0,97.88,97.99,97.88,97.93,33737
449,58.0,98.03,98.04,97.83,97.885,39634
450,59.0,98.17,98.2,98.04,98.04,54093
451,60.0,98.14,98.18,98.0,98.175,36888
452,61.0,98.11,98.15,98.08,98.14,14571
453,62.0,98.14,98.19,98.1108,98.1108,14967
454,63.0,98.03,98.1401,98.02,98.135,22189
455,64.0,98.06,98.06,98.01,98.04,4538
456,65.0,98.0369,98.08,98.02,98.06,8371
457,66.0,98.02,98.0501,98.01,98.03,9763
458,67.0,98.11,98.12,98.04,98.04,13400
459,68.0,98.0601,98.15,98.05,98.1,28428
460,69.0,98.03,98.07,98.02,98.0514,25561
461,70.0,98.06,98.07,98.0,98.03,15479
462,71.0,98.04,98.09,98.04,98.07,9263
463,72.0,98.02,98.07,98.0174,98.04,7259
464,73.0,98.05,98.06,98.02,98.02,4500
465,74.0,98.06,98.08,98.03,98.06,9915
466,75.0,98.025,98.1,98.025,98.065,15725
467,76.0,97.9,98.06,97.9,98.02,27119
468,77.0,97.72,97.92,97.72,97.9,32714
469,78.0,97.63,97.7799,97.63,97.71,22074
470,79.0,97.62,97.68,97.61,97.64,39117
471,80.0,97.6212,97.6599,97.61,97.6182,11673
472,81.0,97.57,97.63,97.57,97.6223,16233
473,82.0,97.54,97.61,97.5348,97.57,12882
474,83.0,97.53,97.55,97.5,97.53,20308
475,84.0,97.62,97.62,97.53,97.53,17403
476,85.0,97.53,97.61,97.53,97.6,9183
477,86.0,97.59,97.5958,97.52,97.53,21941
478,87.0,97.8,97.8,97.59,97.59,31006
479,88.0,97.74,97.8,97.72,97.8,6400
480,89.0,97.83,97.85,97.734,97.77,24103
481,90.0,97.9,97.9226,97.83,97.83,22617
482,91.0,97.89,97.98,97.89,97.91,25386
483,92.0,97.87,97.92,97.86,97.88,10755
484,93.0,97.94,97.94,97.84,97.8699,13271
485,94.0,97.91,97.96,97.89,97.945,12252
486,95.0,97.95,97.96,97.851,97.91,15137
487,96.0,97.91,97.95,97.885,97.95,11602
488,97.0,97.9,97.92,97.89,97.9,5817
489,98.0,97.86,97.94,97.86,97.895,11354
490,99.0,97.76,97.88,97.71,97.88,29666
491,100.0,97.78,97.8123,97.76,97.76,15002
492,101.0,97.64,97.82,97.61,97.79,17261
493,102.0,97.57,97.61,97.53,97.61,18185
494,103.0,97.6,97.62,97.57,97.61,16790
495,104.0,97.5968,97.61,97.55,97.57,11487
496,105.0,97.58,97.61,97.55,97.6,14891
497,106.0,97.6,97.63,97.55,97.585,25400
498,107.0,97.5795,97.62,97.552,97.605,9582
499,108.0,97.66,97.7,97.59,97.59,15401
500,109.0,97.69,97.69,97.62,97.65,9200
501,110.0,97.86,97.86,97.69,97.69,14134
502,111.0,97.77,97.88,97.77,97.85,24342
503,112.0,97.78,97.8,97.72,97.78,16607
504,113.0,97.75,97.79,97.75,97.77,8233
505,114.0,97.79,97.8,97.75,97.755,22945
506,115.0,97.83,97.84,97.71,97.79,14337
507,116.0,97.73,97.83,97.71,97.83,12549
508,117.0,97.82,97.8395,97.74,97.7775,7874
509,118.0,97.81,97.85,97.8,97.835,4201
510,119.0,97.88,97.89,97.82,97.82,8285
511,120.0,97.96,97.96,97.88,97.9,14163
512,121.0,97.95,97.95,97.92,97.95,12073
513,122.0,97.92,97.96,97.92,97.96,8276
514,123.0,97.81,97.92,97.79,97.92,8323
515,124.0,97.8733,97.8733,97.76,97.81,6439
516,125.0,97.9896,98.01,97.84,97.85,19587
517,126.0,97.9889,98.0,97.93,98.0,11800
518,127.0,98.01,98.01,97.95,97.97,6000
519,128.0,98.16,98.18,97.99,97.99,31326
520,129.0,98.1,98.16,98.07,98.15,21238
521,130.0,98.13,98.1334,98.09,98.12,5405
522,131.0,98.11,98.13,98.1,98.12,4818
523,132.0,98.11,98.14,98.11,98.13,4600
524,133.0,98.15,98.16,98.11,98.11,13072
525,134.0,98.19,98.2,98.15,98.17,14408
526,135.0,98.19,98.25,98.19,98.2,21880
527,136.0,98.1975,98.2,98.14,98.19,9656
528,137.0,98.17,98.2164,98.16,98.2,5403
529,138.0,98.14,98.19,98.14,98.17,7240
530,139.0,98.09,98.149,98.06,98.14,16522
531,140.0,98.08,98.09,98.07,98.09,9740
532,141.0,98.1,98.11,98.08,98.09,6730
533,142.0,98.131,98.19,98.1,98.1,15143
534,143.0,98.11,98.14,98.1,98.13,8123
535,144.0,98.17,98.18,98.12,98.13,7400
536,145.0,98.18,98.19,98.17,98.18,6200
537,146.0,98.21,98.21,98.16,98.17,4590
538,147.0,98.17,98.21,98.15,98.21,8700
539,148.0,98.06,98.18,98.05,98.17,5387
540,149.0,97.98,98.06,97.97,98.06,19605
541,150.0,98.0,98.0,97.93,97.9996,3738
542,151.0,97.95,98.0,97.93,98.0,7054
543,152.0,97.93,97.95700000000001,97.91,97.95,8500
544,153.0,97.95,97.95,97.9,97.91,6362
545,154.0,97.96,97.98,97.96,97.9743,2415
546,155.0,97.98,97.98,97.96,97.963,1333
547,156.0,98.01,98.01,97.971,97.971,5342
548,157.0,97.99,98.04,97.99,98.01,15890
549,158.0,98.0,98.0,97.98,97.99,2599
550,159.0,97.94,98.0,97.92,97.9999,9957
551,160.0,97.94,98.02,97.94,97.94,7050
552,161.0,97.94,97.95100000000001,97.93,97.95,4000
553,162.0,98.0,98.02,97.95,97.95,13402
554,163.0,97.9,98.01,97.9,98.0,9553
555,164.0,97.8499,97.94,97.8499,97.88,6545
556,165.0,97.92,97.92,97.85,97.85,4657
557,166.0,97.94,97.94,97.91,97.91,8875
558,167.0,97.9,97.95,97.88,97.93,18088
