,0,1,2,3,4,5
0,,217.13,217.51,216.63,217.51,14785
1,1.0,217.23,217.515,216.66,216.66,20286
2,2.0,217.1,217.2715,217.1,217.23,2700
3,3.0,217.22,217.27,217.1,217.1,1439
4,4.0,217.22,217.26,216.8801,216.8801,1804
5,5.0,217.285,217.5099,217.192,217.2,3600
6,6.0,217.9,218.0,217.2,217.2,4881
7,7.0,218.1656,218.37,217.98,218.0,8035
8,8.0,219.45,219.45,218.39,218.39,5150
9,9.0,220.47,220.49,218.99,219.3484,32790
10,10.0,220.39,220.72,220.19,220.42,10350
11,11.0,220.295,220.39,220.0,220.39,15471
12,12.0,221.09,221.13,220.38,220.38,16553
13,13.0,221.48,221.87,221.09099999999998,221.09099999999998,14540
14,14.0,221.7135,221.7135,221.26,221.408,5548
15,15.0,221.67,221.98,221.475,221.97,14846
16,16.0,222.27,222.27,221.59,221.59,4900
17,17.0,222.875,222.88,222.16,222.3,9416
18,18.0,222.84,222.91,222.45,222.72,5600
19,19.0,223.02,223.16,222.58,222.58,3620
20,20.0,223.205,223.35,223.14,223.18,3410
21,21.0,223.32,223.35,223.06,223.24,3000
22,22.0,223.49,223.51,223.118,223.51,7390
23,23.0,223.59,223.72,223.51,223.51,4200
24,24.0,224.0,224.0,223.65,223.68,9490
25,25.0,223.5672,224.18,223.4901,223.975,14134
26,26.0,223.55,223.67,223.1605,223.5,19378
27,27.0,223.525,223.58,223.4,223.544,29106
28,28.0,223.53,223.64,223.52,223.535,6200
29,29.0,223.4648,223.7,223.39,223.53,4595
30,30.0,223.39,223.58,223.39,223.55,7100
31,31.0,223.11,223.43,223.11,223.41,9113
32,32.0,222.6501,223.27,222.6501,223.1715,8620
33,33.0,222.25,222.72,222.23,222.65,2400
34,34.0,222.9,222.9,222.33,222.38,7600
35,35.0,222.8,222.9,222.66,222.9,1200
36,36.0,222.48,222.82,222.4,222.76,22083
37,37.0,222.39,222.6,222.33,222.495,18879
38,38.0,222.4,222.5116,222.22,222.41,5000
39,39.0,221.6801,222.34,221.68,222.34,5500
40,40.0,221.73,222.0,221.73,221.75,6545
41,41.0,221.87,221.98,221.74,221.87,8284
42,42.0,221.825,221.96,221.69,221.87,2420
43,43.0,221.68,221.87,221.145,221.82,29882
44,44.0,221.59,221.9,221.47,221.77,6100
45,45.0,221.28,221.75,220.73,221.33,66225
46,46.0,221.165,221.49,221.08,221.31,7300
47,47.0,220.9,221.34,220.9,221.07,18393
48,48.0,220.69,220.97,220.623,220.97,700
49,49.0,220.79,220.94,220.665,220.68,3200
50,50.0,220.69,220.94,219.37,220.92,64836
51,51.0,220.01,220.77,219.99,220.6,3100
52,52.0,220.67,220.75,220.25,220.31400000000002,1369
53,54.0,220.66,220.97,220.66,220.88,3500
54,55.0,220.94,220.94,220.8192,220.8192,3300
55,56.0,220.85,220.87,220.77,220.78,600
56,57.0,220.9,220.99,220.77,220.81,1307
57,58.0,220.9,220.905,220.85,220.905,800
58,59.0,220.8,220.86,220.7,220.86,5298
59,60.0,221.5,221.76,220.7,220.81,11000
60,61.0,221.45,221.59,221.36,221.5436,3800
61,62.0,221.52,221.899,221.44,221.45,8900
62,63.0,221.73,221.875,221.57,221.875,1928
63,64.0,221.6,221.79,221.56599999999997,221.675,5680
64,65.0,221.75,221.75,221.58,221.6,2800
65,66.0,221.3,221.75,221.3,221.75,5088
66,67.0,221.1,221.51,221.00099999999998,221.11,2700
67,68.0,221.25,221.34900000000002,221.05,221.34900000000002,1812
68,69.0,220.98,221.35,220.91,221.0,3800
69,70.0,221.26,221.42,221.0687,221.0687,1750
70,71.0,221.06,221.24,221.06,221.21,900
71,72.0,221.1225,221.3,220.96,221.19,1350
72,73.0,221.19,221.2,221.09,221.19,700
