,0,1,2,3,4,5
391,,62.6,62.6,62.6,62.6,68796
392,1.0,62.5562,62.74,62.5206,62.63,35425
393,2.0,62.37,62.54,62.35,62.52,34708
394,3.0,62.27,62.37,62.24100000000001,62.36,35378
395,4.0,62.19,62.2485,62.14,62.24,61894
396,5.0,62.21,62.24,62.15,62.2,17904
397,6.0,62.04,62.2302,62.0,62.2111,96108
398,7.0,61.9501,62.04,61.928999999999995,62.04,89318
399,8.0,61.978,62.0692,61.93,61.99,36420
400,9.0,62.0,62.0,61.93,61.96,33441
401,10.0,62.03,62.0511,61.98,62.005,42162
402,11.0,62.0,62.14,61.98,62.05,75029
403,12.0,61.99,62.02,61.97,62.005,32307
404,13.0,62.03,62.04,61.98,62.0192,27750
405,14.0,62.06,62.06,61.99,62.0258,22536
406,15.0,62.211999999999996,62.2286,62.07,62.07,19421
407,16.0,62.2882,62.2882,62.208999999999996,62.2101,28671
408,17.0,62.3,62.34,62.2401,62.2852,47806
409,18.0,62.26,62.33,62.26,62.31100000000001,30819
410,19.0,62.29,62.29,62.21,62.2699,29476
411,20.0,62.29,62.31,62.25,62.28,34464
412,21.0,62.34,62.388999999999996,62.29,62.29,40224
413,22.0,62.35,62.36,62.315,62.33,6100
414,23.0,62.32,62.41,62.32,62.36,17910
415,24.0,62.33,62.33,62.25,62.31,24588
416,25.0,62.335,62.345,62.2875,62.32,13596
417,26.0,62.31,62.35,62.28,62.3375,24140
418,27.0,62.3248,62.3248,62.29,62.3,24496
419,28.0,62.25,62.33,62.25,62.33,36275
420,29.0,62.2039,62.26,62.16,62.24100000000001,62162
421,30.0,62.07,62.2,62.055,62.2,23250
422,31.0,62.1,62.17,62.08,62.08,30218
423,32.0,62.04,62.1,62.03,62.1,35256
424,33.0,61.97,62.045,61.96,62.0442,27197
425,34.0,62.0014,62.0265,61.9765,61.9765,16876
426,35.0,61.92,62.01,61.91,62.0052,38224
427,36.0,61.9692,61.98,61.92,61.92,18100
428,37.0,62.01,62.03,61.961000000000006,61.975,18457
429,38.0,62.01,62.02,61.99,62.01,16497
430,39.0,62.0,62.02,61.98,62.01,14040
431,40.0,61.98,62.0,61.95,62.0,21980
432,41.0,61.99,61.99,61.965,61.97,9952
433,42.0,62.07,62.07,61.985,61.99,23210
434,43.0,62.03,62.07,62.02,62.06,21630
435,44.0,62.01,62.04,62.01,62.0301,16494
436,45.0,62.04,62.04,62.01,62.011,14881
437,46.0,62.0201,62.04,62.02,62.0374,18237
438,47.0,62.025,62.04,62.02,62.02,12756
439,48.0,62.03,62.04,62.02,62.03,13311
440,49.0,62.095,62.1,62.02,62.0298,39529
441,50.0,62.11,62.14,62.09,62.09,18582
442,51.0,62.12,62.14,62.1,62.1,14119
443,52.0,62.09,62.115,62.09,62.11,10374
444,53.0,62.1,62.1,62.055,62.09,32455
445,54.0,62.18,62.19,62.1001,62.1001,16153
446,55.0,62.135,62.1829,62.13,62.1829,13647
447,56.0,62.06,62.13,62.05,62.13,24457
448,57.0,62.06,62.09,62.05,62.05,12096
449,58.0,62.04,62.07,62.04,62.065,23639
450,59.0,62.055,62.06,62.0,62.04,65003
451,60.0,62.06,62.07,62.0475,62.0527,11166
452,61.0,62.01,62.06,62.01,62.06,38036
453,62.0,61.98,62.0183,61.97,62.0183,22089
454,63.0,61.98,61.99,61.98,61.98,4394
455,64.0,62.0411,62.0411,61.95,61.98,43696
456,65.0,62.0,62.06,62.0,62.045,11300
457,66.0,61.95,61.99,61.95,61.99,24335
458,67.0,61.901,61.96,61.9,61.96,35609
459,68.0,61.85,61.9,61.85,61.9,48569
460,69.0,61.89,61.897,61.83,61.84,57286
461,70.0,61.8,61.89,61.8,61.885,20339
462,71.0,61.73,61.8,61.71,61.8,59559
463,72.0,61.67,61.735,61.67,61.73,25668
464,73.0,61.67,61.69,61.65,61.67,44958
465,74.0,61.63,61.67,61.62,61.67,49638
466,75.0,61.57,61.63,61.56,61.62,57058
467,76.0,61.53,61.59,61.53,61.5646,73688
468,77.0,61.46,61.54,61.46,61.53,87315
469,78.0,61.43,61.46,61.43,61.46,39471
470,79.0,61.42,61.45,61.41,61.43,49112
471,80.0,61.567,61.59,61.42,61.42,70632
472,81.0,61.47,61.57,61.4625,61.57,33194
473,82.0,61.49,61.536,61.47,61.47,62633
474,83.0,61.41,61.496,61.41,61.49,56643
475,84.0,61.56,61.56,61.41,61.41,77086
476,85.0,61.6513,61.6795,61.55,61.565,31769
477,86.0,61.645,61.69,61.645,61.65,20517
478,87.0,61.6697,61.675,61.6,61.645,21289
479,88.0,61.71,61.715,61.665,61.665,24767
480,89.0,61.68,61.74,61.68,61.7198,17469
481,90.0,61.72,61.75,61.6507,61.68,18201
482,91.0,61.795,61.8,61.715,61.72,17546
483,92.0,61.795,61.81,61.785,61.8,25308
484,93.0,61.7599,61.799,61.75,61.7901,22247
485,94.0,61.7,61.755,61.7,61.751000000000005,23188
486,95.0,61.7,61.72,61.67,61.7,21295
487,96.0,61.74,61.75,61.665,61.7,15869
488,97.0,61.7,61.7499,61.69,61.735,13556
489,98.0,61.695,61.7,61.68,61.6999,11817
490,99.0,61.71,61.71,61.66,61.7,20160
491,100.0,61.75,61.75,61.7,61.7064,17383
492,101.0,61.74,61.75,61.735,61.75,17870
493,102.0,61.7058,61.7464,61.7058,61.7464,22439
494,103.0,61.68,61.705,61.675,61.705,41495
495,104.0,61.695,61.7,61.685,61.69,13788
496,105.0,61.66,61.69,61.66,61.69,19257
497,106.0,61.6837,61.69,61.665,61.67,13544
498,107.0,61.67,61.69,61.66,61.69,9694
499,108.0,61.699,61.705,61.67,61.67100000000001,15549
500,109.0,61.685,61.6952,61.67,61.6952,15464
501,110.0,61.675,61.6999,61.67,61.69,17750
502,111.0,61.645,61.68,61.6307,61.67,18454
503,112.0,61.61,61.655,61.61,61.645,11972
504,113.0,61.645,61.66,61.59,61.61,41334
505,114.0,61.63,61.65,61.61600000000001,61.645,29629
506,115.0,61.62,61.64,61.605,61.63,24348
507,116.0,61.58,61.62,61.555,61.62,41623
508,117.0,61.5896,61.59,61.565,61.58,22215
509,118.0,61.565,61.6,61.565,61.58,22399
510,119.0,61.55,61.62,61.55,61.57,30765
511,120.0,61.51,61.5473,61.47,61.545,86739
512,121.0,61.49,61.51,61.4736,61.505,49333
513,122.0,61.505,61.52,61.49,61.4927,24850
514,123.0,61.458999999999996,61.51,61.445,61.5,17967
515,124.0,61.41,61.45,61.4,61.45,57528
516,125.0,61.342,61.4065,61.33,61.4065,27028
517,126.0,61.345,61.36,61.34,61.35,18332
518,127.0,61.3599,61.37,61.34,61.34,51500
519,128.0,61.35,61.36,61.34,61.357,7500
520,129.0,61.24,61.355,61.235,61.354,96864
521,130.0,61.3389,61.34,61.25,61.25,48736
522,131.0,61.251000000000005,61.3811,61.25,61.3599,55184
523,132.0,61.211000000000006,61.27,61.21,61.25,58980
524,133.0,61.19,61.216,61.19,61.214,64923
525,134.0,61.16,61.22,61.15,61.19,36526
526,135.0,61.19,61.206,61.14,61.155,42404
527,136.0,61.159,61.19,61.15,61.19,32139
528,137.0,61.1459,61.16,61.14,61.15,26282
529,138.0,61.11,61.1498,61.11,61.1464,39506
530,139.0,61.085,61.12,61.08,61.11,52927
531,140.0,61.085,61.1,61.07,61.08,59552
532,141.0,61.2,61.22,61.085,61.09,88923
533,142.0,61.09,61.195,61.0801,61.19,41131
534,143.0,61.14,61.14,61.07,61.09,94326
535,144.0,61.0,61.16,61.0,61.1599,100574
536,145.0,61.0,61.03,60.9901,61.0,139538
537,146.0,61.103,61.1299,61.0,61.0052,58155
538,147.0,61.04,61.1137,61.025,61.1,22691
539,148.0,61.01,61.04,61.01,61.03,20857
540,149.0,61.0,61.06,60.975,61.01,74978
541,150.0,61.035,61.04,60.981,61.01,67152
542,151.0,61.0454,61.07,61.03,61.03,36630
543,152.0,61.0001,61.05,61.0,61.0442,44079
544,153.0,60.995,61.005,60.98,61.0011,32253
545,154.0,61.025,61.05,60.995,60.995,33634
546,155.0,61.01,61.0262,61.0,61.02,30995
547,156.0,60.92,61.01,60.911,61.01,76901
548,157.0,60.9,60.93,60.9,60.92,44636
549,158.0,60.8575,60.91,60.8033,60.9001,92080
550,159.0,60.8893,60.95,60.855,60.86,53999
551,160.0,60.9793,60.99,60.89,60.89,40441
552,161.0,61.005,61.01,60.975,60.975,47672
553,162.0,60.93,61.02,60.925,61.00899999999999,46124
554,163.0,60.865,60.9298,60.865,60.9298,43365
555,164.0,60.86,60.8954,60.86,60.87,34597
556,165.0,60.8142,60.87,60.81,60.87,27213
557,166.0,60.84,60.84,60.81,60.815,30174
558,167.0,60.82,60.84,60.81,60.839,17576
559,168.0,60.8,60.83,60.8,60.82,21490
560,169.0,60.78,60.82,60.78,60.8,73992
561,170.0,60.765,60.78,60.75,60.78,34415
562,171.0,60.76,60.81,60.755,60.76,54872
563,172.0,60.71,60.77,60.71,60.7685,47177
564,173.0,60.67,60.72,60.655,60.7137,64892
565,174.0,60.7442,60.75,60.66,60.6642,89413
566,175.0,60.8193,60.83,60.74,60.74,48360
567,176.0,60.77,60.8199,60.77,60.8199,33940
568,177.0,60.77,60.79,60.76,60.77,28079
569,178.0,60.77,60.7852,60.76,60.77,22507
570,179.0,60.725,60.79,60.72,60.77,42299
571,180.0,60.715,60.74,60.705,60.73,21814
572,181.0,60.75899999999999,60.77,60.71,60.71,41474
573,182.0,60.7468,60.77,60.74,60.75,35106
574,183.0,60.765,60.77,60.75,60.75,23745
575,184.0,60.77,60.775,60.75,60.7698,41042
576,185.0,60.78,60.79,60.77,60.7742,25200
577,186.0,60.7998,60.8,60.78,60.781000000000006,19433
578,187.0,60.73,60.79,60.73,60.79,39427
579,188.0,60.755,60.76,60.73,60.735,30354
580,189.0,60.815,60.83,60.75,60.75,32035
581,190.0,60.8,60.82,60.79,60.815,27302
582,191.0,60.8137,60.835,60.805,60.81,29315
583,192.0,60.81,60.82,60.8,60.815,30290
584,193.0,60.81,60.815,60.8,60.81,19396
585,194.0,60.815,60.82,60.8,60.805,8845
586,195.0,60.815,60.85,60.81,60.815,71608
587,196.0,60.915,60.9199,60.82,60.82,48602
588,197.0,60.94,60.96,60.905,60.915,43356
589,198.0,60.965,60.97,60.93,60.9398,48974
590,199.0,61.03,61.03,60.97,60.97,43385
591,200.0,61.08,61.08,61.03,61.03,51665
592,201.0,61.1,61.17,61.085,61.085,51925
593,202.0,61.15,61.15,61.08,61.11,51705
594,203.0,61.1082,61.155,61.105,61.15,27719
595,204.0,61.08,61.1199,61.03,61.11,47858
596,205.0,61.1299,61.135,61.07,61.07,25996
597,206.0,61.125,61.15,61.125,61.14,26119
598,207.0,61.095,61.13,61.075,61.13,32654
599,208.0,61.125,61.15,61.1,61.1,22049
600,209.0,61.1101,61.135,61.1,61.13,16957
601,210.0,61.16,61.19,61.12,61.12,35393
602,211.0,61.13,61.16,61.125,61.16,21067
603,212.0,61.12,61.14,61.12,61.135,17068
604,213.0,61.12,61.13,61.12,61.12,9854
605,214.0,61.145,61.15,61.12,61.13,32262
606,215.0,61.2193,61.225,61.14,61.14,32409
607,216.0,61.23,61.235,61.21,61.215,13444
608,217.0,61.299,61.3,61.2357,61.2357,44147
609,218.0,61.26,61.305,61.25,61.3,47781
610,219.0,61.25,61.27,61.25,61.265,33045
611,220.0,61.29,61.295,61.26,61.26,12226
612,221.0,61.29,61.3,61.27,61.3,26951
613,222.0,61.32,61.3299,61.285,61.288999999999994,21880
614,223.0,61.35,61.35,61.31,61.31,18826
615,224.0,61.365,61.37,61.34,61.345,6734
616,225.0,61.37,61.39,61.36,61.37,27610
617,226.0,61.37,61.3883,61.36,61.36,7472
618,227.0,61.3548,61.38,61.343999999999994,61.37,43753
619,228.0,61.381,61.4,61.355,61.3596,26109
620,229.0,61.415,61.445,61.38,61.385,41602
621,230.0,61.4,61.43,61.395,61.415,30648
622,231.0,61.345,61.401,61.345,61.4,48734
623,232.0,61.355,61.355,61.32,61.34,21517
624,233.0,61.325,61.35,61.32,61.35,9716
625,234.0,61.2501,61.33,61.25,61.33,22268
626,235.0,61.2,61.2653,61.19,61.251000000000005,67037
627,236.0,61.1918,61.201,61.19,61.2,33642
628,237.0,61.1801,61.22,61.17,61.19,68437
629,238.0,61.195,61.199,61.18,61.19,8417
630,239.0,61.11,61.2,61.11,61.2,66618
631,240.0,61.08,61.1101,61.08,61.104,20048
632,241.0,61.096000000000004,61.1,61.085,61.09,30306
633,242.0,61.075,61.11,61.071000000000005,61.1,53255
634,243.0,61.045,61.08,61.04,61.0731,12968
635,244.0,60.96,61.06,60.95,61.05,68949
636,245.0,60.995,61.0,60.93,60.96,100954
637,246.0,60.97,61.0,60.9689,60.995,48949
638,247.0,60.935,60.98,60.93,60.97,46969
639,248.0,60.89,60.95,60.89,60.94,40193
640,249.0,60.945,60.95,60.89,60.9,75986
641,250.0,60.98,61.0,60.955,60.955,30560
642,251.0,61.0,61.02,60.975,60.98,54041
643,252.0,60.94,61.0,60.94,60.995,53550
644,253.0,60.915,60.9392,60.915,60.93,20241
645,254.0,60.98,60.98,60.91,60.92,21709
646,255.0,60.975,60.99,60.96,60.97,30191
647,256.0,60.99,60.99,60.97,60.98,17614
648,257.0,61.07,61.09,60.986000000000004,60.9863,45988
649,258.0,61.0,61.07,60.986000000000004,61.07,35029
650,259.0,60.93,60.995,60.91,60.99,33609
651,260.0,60.91,60.92,60.9,60.92,12265
652,261.0,60.925,60.96,60.905,60.91,19300
653,262.0,60.918,60.93,60.91,60.93,9905
654,263.0,60.89,60.92,60.89,60.9142,14922
655,264.0,60.85,60.8911,60.85,60.89,23208
656,265.0,60.82,60.85,60.8,60.85,29389
657,266.0,60.865,60.9,60.815,60.82,24185
658,267.0,60.8899,60.89,60.86,60.8699,15837
659,268.0,60.888999999999996,60.89,60.87,60.88,8100
660,269.0,60.93,60.94,60.89,60.89,19064
661,270.0,60.9286,60.93,60.895,60.93,14235
662,271.0,60.79,60.96,60.78,60.93,40129
663,272.0,60.96,60.97,60.77,60.78,25222
664,273.0,60.9,60.95,60.9,60.95,19340
665,274.0,60.93,60.9789,60.9,60.9,12116
666,275.0,61.02,61.03,60.93,60.93,42966
667,276.0,60.97,61.07,60.96,61.006,37531
668,277.0,60.91,60.9699,60.91,60.9627,16276
669,278.0,60.99,61.015,60.91,60.91,26194
670,279.0,61.04,61.049,60.985,60.985,33746
671,280.0,61.0,61.055,60.9808,61.05,20975
672,281.0,61.045,61.06,60.995,61.0,28610
673,282.0,61.07,61.07,61.0401,61.0414,15017
674,283.0,61.246,61.246,61.05,61.065,63095
675,284.0,61.35,61.4,61.25,61.25,64651
676,285.0,61.32,61.3652,61.32,61.35,23940
677,286.0,61.2416,61.32,61.24,61.32,15619
678,287.0,61.165,61.24,61.13,61.23,24944
679,288.0,61.1,61.18,61.08,61.1601,68746
680,289.0,61.07,61.14,61.07,61.1,30051
681,290.0,61.1,61.12,61.08,61.08,13363
682,291.0,61.17,61.17,61.1079,61.1079,8940
683,292.0,61.195,61.205,61.17,61.17,15818
684,293.0,61.195,61.2335,61.18,61.192,20437
685,294.0,61.19,61.22,61.18,61.199,13823
686,295.0,61.23,61.2493,61.1874,61.1874,28444
687,296.0,61.15,61.23,61.15,61.2244,19396
688,297.0,61.22,61.23,61.14,61.15,26775
689,298.0,61.211000000000006,61.225,61.2,61.2243,16106
690,299.0,61.12,61.21,61.11,61.21,27970
691,300.0,61.1,61.1297,61.1,61.12,17079
692,301.0,60.99,61.11,60.98,61.11,36377
693,302.0,60.95,61.0,60.95,60.99,40174
694,303.0,60.955,60.965,60.9,60.958,49403
695,304.0,61.03,61.03,60.95,60.955,19301
696,305.0,61.1,61.1,61.03,61.03,14849
697,306.0,61.04,61.1,61.04,61.099,14081
698,307.0,61.05,61.05,61.02,61.04,12220
699,308.0,61.14,61.159,61.05,61.05,44172
700,309.0,61.2,61.2,61.14,61.14,19570
701,310.0,61.08,61.1993,61.08,61.1993,15151
702,311.0,61.09,61.09,61.07,61.09,15182
703,312.0,61.075,61.09,61.07,61.09,8360
704,313.0,61.095,61.14,61.075,61.08,29095
705,314.0,61.1301,61.21,61.11,61.11,29344
706,315.0,61.12,61.1348,61.0801,61.1348,23594
707,316.0,61.11,61.14,61.11,61.12,11876
708,317.0,61.1,61.1062,61.04,61.1062,21761
709,318.0,61.17,61.17,61.1,61.1,16190
710,319.0,61.15,61.19,61.15,61.1863,17873
711,320.0,61.101000000000006,61.155,61.09,61.145,26925
712,321.0,61.095,61.11,61.09,61.11,10277
713,322.0,61.06,61.095,61.06,61.095,14220
714,323.0,61.04,61.05,61.03,61.05,15517
715,324.0,61.0348,61.05,61.01,61.03,19358
716,325.0,61.04,61.04,61.01,61.04,24276
717,326.0,61.09,61.1,61.03,61.0354,24202
718,327.0,61.0699,61.0997,61.06,61.095,11711
719,328.0,61.05,61.065,61.045,61.06,15207
720,329.0,61.0311,61.065,61.03,61.05,20063
721,330.0,61.07,61.09,61.03,61.03,21596
722,331.0,61.12,61.12,61.07,61.07,15626
723,332.0,61.17,61.17,61.11,61.11,13720
724,333.0,61.119,61.165,61.11,61.165,13685
725,334.0,61.071999999999996,61.115,61.07,61.115,17870
726,335.0,61.13,61.13,61.07,61.073,27936
727,336.0,61.16,61.17,61.125,61.125,9702
728,337.0,61.135,61.17,61.11,61.16,20266
729,338.0,61.1101,61.1398,61.11,61.13,8825
730,339.0,61.108999999999995,61.1198,61.08,61.11,15742
731,340.0,61.06,61.12,61.04,61.11,45722
732,341.0,61.065,61.1,61.05,61.0563,18304
733,342.0,61.03,61.08,61.0211,61.065,32696
734,343.0,61.04,61.05,61.03,61.04,13233
735,344.0,61.05,61.07,61.025,61.04,25771
736,345.0,61.055,61.055,61.04,61.05,5054
737,346.0,61.085,61.1,61.053000000000004,61.053000000000004,17824
738,347.0,61.055,61.086000000000006,61.055,61.08,7100
739,348.0,61.0401,61.05,61.02,61.05,8457
740,349.0,61.0693,61.08,61.0442,61.045,17363
741,350.0,61.1,61.11,61.06,61.065,22232
742,351.0,61.12,61.13,61.08,61.1,17181
743,352.0,61.12,61.14,61.1,61.12,24135
744,353.0,61.13,61.14,61.115,61.12,24273
745,354.0,61.14,61.18,61.12,61.13,39745
746,355.0,61.15,61.16,61.135,61.14,13677
747,356.0,61.18,61.215,61.155,61.16,31515
748,357.0,61.205,61.205,61.1764,61.18,21082
749,358.0,61.19,61.21,61.18,61.205,16971
750,359.0,61.229,61.23,61.185,61.19,27710
751,360.0,61.22,61.25,61.21,61.23,20038
752,361.0,61.225,61.23,61.22,61.22,8237
753,362.0,61.195,61.23,61.19,61.23,21989
754,363.0,61.22,61.22,61.19,61.19,17443
755,364.0,61.19,61.22,61.19,61.22,11028
756,365.0,61.205,61.205,61.19,61.2,13672
757,366.0,61.195,61.21,61.19,61.2,25023
758,367.0,61.18,61.2,61.18,61.195,19937
759,368.0,61.185,61.19,61.155,61.18,41672
760,369.0,61.215,61.24,61.19,61.19,27980
761,370.0,61.22,61.224,61.2,61.215,25503
762,371.0,61.22,61.23,61.21,61.2248,24596
763,372.0,61.205,61.22,61.2,61.215,16670
764,373.0,61.2,61.21,61.19,61.2,24968
765,374.0,61.2,61.21,61.2,61.21,13345
766,375.0,61.24,61.25,61.2,61.2,75262
767,376.0,61.245,61.25,61.23,61.2411,34575
768,377.0,61.25,61.25,61.23,61.2473,34512
769,378.0,61.246,61.25,61.23,61.245,26539
770,379.0,61.2373,61.2466,61.23,61.24,28182
