,0,1,2,3,4,5
1135,,102.58,102.58,102.58,102.58,14878
1136,1.0,102.67,102.67,102.58,102.58,279
1137,2.0,102.65,102.6516,102.63,102.63,3000
1138,3.0,102.57600000000001,102.65,102.57,102.65,4180
1139,4.0,102.69,102.69,102.59,102.59,1500
1140,5.0,102.73,102.73,102.6895,102.6895,900
1141,6.0,102.71,102.72,102.71,102.72,200
1142,7.0,102.76,102.76,102.7,102.7,800
1143,8.0,102.78,102.78,102.72,102.76,1168
1144,9.0,102.73,102.74,102.71,102.74,1300
1145,10.0,102.71,102.72,102.69,102.7,1705
1146,11.0,102.7,102.7,102.68,102.69,1600
1147,12.0,102.7296,102.7427,102.68,102.68,1200
1148,13.0,102.7,102.73,102.7,102.73,800
1149,14.0,102.72,102.72,102.69,102.69,800
1150,15.0,102.73,102.7679,102.7,102.7,899
1151,16.0,102.7,102.72,102.7,102.72,1100
1152,17.0,102.7041,102.7041,102.7,102.7,661
1153,18.0,102.74,102.77,102.71,102.71,956
1154,19.0,102.78,102.78,102.74,102.75,800
1155,20.0,102.76,102.78,102.76,102.78,300
1156,21.0,102.75,102.77,102.72,102.76,8500
1157,22.0,102.73,102.75,102.73,102.75,1800
1158,23.0,102.79,102.79,102.75,102.75,1300
1159,24.0,102.8,102.8,102.78,102.79,1200
1160,25.0,102.77,102.8,102.77,102.78,2806
1161,26.0,102.79,102.8,102.76,102.78,3944
1162,27.0,102.7795,102.8,102.77,102.79,3000
1163,28.0,102.8,102.8,102.77,102.79,900
1164,29.0,102.8,102.8,102.78,102.8,2400
1165,30.0,102.8,102.8,102.77,102.8,3100
1166,31.0,102.79,102.8,102.79,102.8,1300
1167,32.0,102.83,102.84,102.79,102.8,3200
1168,33.0,102.825,102.84,102.825,102.83,500
1169,34.0,102.82,102.85,102.81,102.835,2000
1170,35.0,102.84,102.84,102.8,102.8,850
1171,36.0,102.88,102.89,102.83,102.84,6024
1172,37.0,102.85,102.85,102.85,102.85,200
1173,38.0,102.85,102.87,102.84,102.84,9232
1174,39.0,102.78,102.87,102.78,102.87,5142
1175,40.0,102.81,102.81,102.8,102.8,1458
1176,41.0,102.75,102.8,102.74,102.8,5300
1177,42.0,102.76,102.76,102.74,102.76,1400
1178,43.0,102.76,102.76,102.76,102.76,100
1179,44.0,102.8,102.8,102.75,102.77,300
1180,45.0,102.78,102.8,102.75,102.7999,2250
1181,46.0,102.75,102.75,102.75,102.75,200
1182,47.0,102.78,102.78,102.74,102.78,900
1183,48.0,102.79,102.79,102.73,102.74,1800
1184,49.0,102.8,102.8,102.8,102.8,700
1185,50.0,102.8,102.8,102.78,102.8,400
1186,52.0,102.805,102.8225,102.77,102.8225,1300
1187,53.0,102.8,102.83,102.79,102.83,3191
1188,54.0,102.8,102.805,102.79,102.8,2200
1189,55.0,102.79,102.79,102.76,102.76,500
1190,56.0,102.74,102.77,102.74,102.75,800
1191,57.0,102.77,102.77,102.75,102.75,600
1192,58.0,102.79,102.79,102.79,102.79,100
1193,59.0,102.77,102.78,102.77,102.78,200
1194,60.0,102.8,102.8,102.77,102.77,1600
1195,61.0,102.8,102.8,102.79,102.8,1200
1196,62.0,102.77,102.77,102.77,102.77,100
1197,63.0,102.77,102.78,102.76,102.77,1500
1198,64.0,102.8,102.8,102.7674,102.77,1492
1199,65.0,102.76,102.8,102.75,102.78,5000
1200,66.0,102.76,102.76,102.75,102.7545,1100
1201,67.0,102.785,102.8,102.76,102.76,6000
1202,68.0,102.76,102.78,102.76,102.78,1500
1203,69.0,102.77,102.77,102.75,102.75,2700
1204,70.0,102.77,102.77,102.76,102.765,1300
1205,71.0,102.77,102.77,102.77,102.77,200
1206,72.0,102.76,102.76,102.76,102.76,300
1207,73.0,102.77,102.79,102.76,102.77,1899
1208,74.0,102.76,102.77,102.75,102.76,2500
1209,75.0,102.76,102.76,102.74,102.75,1907
1210,76.0,102.75,102.77,102.75,102.76,3600
1211,77.0,102.77,102.77,102.7445,102.75,2935
