,0,1,2,3,4,5
1022,,280.0,281.11,279.84,279.84,7486
1023,1.0,278.94,280.0,278.94,279.82,3100
1024,2.0,279.25,279.68,279.25,279.54,500
1025,3.0,279.235,279.235,279.235,279.235,100
1026,4.0,279.255,279.255,279.23,279.25,300
1027,5.0,279.04,279.2,279.04,279.08,1300
1028,6.0,278.86,279.205,278.86,279.075,900
1029,7.0,278.855,278.89,278.72,278.72,700
1030,8.0,278.57,278.65,278.57,278.65,200
1031,9.0,278.425,278.74,278.425,278.55,600
1032,10.0,277.81,278.27,277.81,278.27,300
1033,11.0,278.0503,278.0503,277.8,277.88,455
1034,12.0,278.5,278.63,278.18,278.18,2128
1035,13.0,278.62,278.62,278.62,278.62,100
1036,14.0,278.6,278.7457,278.6,278.625,1568
1037,15.0,278.69,278.74,278.69,278.74,500
1038,17.0,278.18,278.55,278.18,278.53,700
1039,18.0,278.5799,278.5799,278.5799,278.5799,100
1040,19.0,278.215,278.215,278.18,278.18,300
1041,20.0,278.4,278.4,278.19,278.36,2300
1042,21.0,278.37,278.475,278.37,278.38,779
1043,22.0,278.2813,278.3,278.145,278.15,600
1044,24.0,278.275,278.275,278.15,278.15,200
1045,26.0,278.11,278.38,278.11,278.37,1377
1046,27.0,277.91,278.06,277.91,278.06,200
1047,28.0,277.95,277.99,277.95,277.99,300
1048,29.0,277.96,277.96,277.96,277.96,100
1049,30.0,278.05,278.05,277.825,277.825,400
1050,31.0,278.43,278.43,278.105,278.15,1053
1051,32.0,278.15,278.38,278.15,278.3102,447
1052,33.0,278.05,278.1,278.05,278.1,400
1053,34.0,277.715,277.96,277.715,277.96,200
1054,35.0,277.78,277.78,277.78,277.78,200
1055,36.0,277.89,277.89,277.86,277.86,500
1056,38.0,277.83,278.03,277.83,277.83,500
1057,39.0,277.86,277.86,277.85,277.85,200
1058,40.0,277.54,277.94,277.54,277.85,1480
1059,41.0,277.52,277.605,277.4901,277.4901,800
1060,42.0,277.21,277.39,277.21,277.32,1000
1061,43.0,277.48,277.48,277.33,277.34,2100
1062,44.0,277.64,277.64,277.55,277.62,400
1063,45.0,277.56,277.56,277.56,277.56,100
1064,46.0,277.48,277.48,277.48,277.48,100
1065,47.0,277.745,277.745,277.415,277.62,1500
1066,48.0,277.67,277.67,277.67,277.67,100
1067,49.0,277.72,277.77,277.72,277.77,400
1068,50.0,277.79,277.79,277.64,277.72,1300
1069,52.0,277.405,277.46,277.405,277.44,300
1070,53.0,277.27,277.27,277.27,277.27,100
1071,54.0,277.19,277.285,277.19,277.2425,1100
1072,55.0,276.93,277.21,276.93,277.21,3900
1073,56.0,276.98,276.98,276.97,276.97,200
1074,57.0,276.83,276.92,276.79,276.8,600
1075,58.0,276.81,276.81,276.75,276.8,600
