,0,1,2,3,4,5
3429,,55.6892,55.72,55.62,55.72,17703
3430,1.0,55.841,55.89,55.615,55.67,20055
3431,2.0,55.71,55.75,55.67,55.75,1200
3432,3.0,55.72,55.72,55.63,55.67,1100
3433,6.0,55.7,55.72,55.7,55.71,1700
3434,7.0,55.7199,55.72,55.7199,55.72,200
3435,8.0,55.71,55.71,55.69,55.69,1300
3436,9.0,55.75,55.75,55.71,55.72,6503
3437,10.0,55.78,55.78,55.7335,55.7499,4538
3438,11.0,55.83,55.83,55.78,55.78,2115
3439,12.0,55.84,55.84,55.83,55.83,300
3440,13.0,55.8,55.84,55.8,55.83,4719
3441,14.0,55.78,55.81,55.77,55.8,2950
3442,15.0,55.66,55.7699,55.66,55.7699,5509
3443,16.0,55.65,55.67,55.63,55.645,8479
3444,17.0,55.66,55.66,55.64,55.65,3100
3445,18.0,55.73,55.74,55.67,55.67,5935
3446,19.0,55.68,55.72,55.68,55.72,600
3447,20.0,55.67,55.67,55.67,55.67,100
3448,21.0,55.66,55.68,55.63,55.68,1250
3449,22.0,55.61,55.61,55.61,55.61,700
3450,23.0,55.62,55.64,55.615,55.63,1995
3451,24.0,55.61,55.62,55.61,55.62,1600
3452,25.0,55.585,55.6,55.585,55.6,700
3453,26.0,55.5952,55.5952,55.5852,55.59,1389
3454,27.0,55.585,55.592,55.585,55.59,1200
3455,28.0,55.54,55.58,55.54,55.58,1400
3456,29.0,55.54,55.55,55.5274,55.54,3309
3457,30.0,55.56,55.56,55.54,55.54,1773
3458,31.0,55.57,55.58,55.56,55.57,5271
3459,32.0,55.57,55.58,55.57,55.58,845
3460,33.0,55.61,55.615,55.57,55.57,1942
3461,34.0,55.68,55.68,55.65,55.65,1638
3462,35.0,55.68,55.7,55.68,55.69,4575
3463,36.0,55.67,55.69,55.67,55.68,2569
3464,37.0,55.63,55.65,55.63,55.63,10897
3465,38.0,55.62,55.63,55.62,55.63,1200
3466,39.0,55.6,55.6168,55.6,55.6168,1412
3467,40.0,55.58,55.6,55.57,55.6,2400
3468,41.0,55.56,55.61,55.56,55.59,7182
3469,42.0,55.4715,55.56,55.47,55.56,12047
3470,43.0,55.48,55.49,55.475,55.48,3500
3471,44.0,55.51,55.51,55.475,55.48,2791
3472,45.0,55.5,55.51,55.5,55.51,1100
3473,46.0,55.555,55.56,55.5,55.5,3974
3474,47.0,55.54,55.555,55.535,55.555,2800
3475,48.0,55.5063,55.54,55.5,55.54,2600
3476,49.0,55.45,55.49,55.45,55.47,2800
3477,50.0,55.43,55.45,55.42,55.45,20303
3478,51.0,55.45,55.45,55.4375,55.44,8567
3479,52.0,55.46,55.46,55.44,55.45,6973
3480,53.0,55.43,55.4563,55.42,55.4537,6110
3481,54.0,55.416000000000004,55.44,55.41,55.44,3698
3482,55.0,55.38,55.42,55.38,55.42,3572
3483,56.0,55.33,55.385,55.33,55.385,23153
3484,57.0,55.31,55.34,55.31,55.33,11902
3485,58.0,55.295,55.315,55.29,55.315,18894
3486,59.0,55.3,55.305,55.29,55.295,20375
3487,60.0,55.31,55.31,55.27,55.29,15205
3488,61.0,55.29,55.32,55.29,55.31,16252
3489,62.0,55.28,55.29,55.27,55.28,2800
3490,63.0,55.22,55.27,55.22,55.27,25907
3491,64.0,55.255,55.255,55.21,55.225,13983
3492,65.0,55.34,55.34,55.25,55.255,7189
3493,66.0,55.42,55.42,55.34,55.34,5499
3494,67.0,55.45,55.45,55.425,55.43,2565
3495,68.0,55.53,55.53,55.46,55.46,2100
3496,69.0,55.55,55.55,55.5171,55.5171,3488
3497,70.0,55.6,55.6,55.545,55.55,1528
3498,71.0,55.64,55.64,55.6,55.6,500
3499,72.0,55.64,55.64,55.64,55.64,100
3500,73.0,55.64,55.64,55.63399999999999,55.63399999999999,1129
3501,74.0,55.58,55.64,55.55,55.64,9590
3502,75.0,55.57,55.58,55.57,55.58,1124
3503,76.0,55.58,55.58,55.57,55.57,1050
3504,77.0,55.595,55.6,55.58,55.58,3775
3505,78.0,55.56,55.59,55.56,55.59,3000
3506,79.0,55.57,55.58,55.56,55.56,3800
3507,80.0,55.56,55.59,55.56,55.58,3247
3508,81.0,55.57,55.58,55.5599,55.56,8038
3509,82.0,55.54,55.58,55.54,55.575,6267
3510,83.0,55.555,55.56,55.54,55.54,3625
3511,84.0,55.58,55.58,55.56,55.56,3116
3512,85.0,55.5637,55.58,55.5637,55.58,2246
3513,86.0,55.57,55.58,55.56,55.56,2209
3514,87.0,55.53,55.58,55.53,55.57,9442
3515,88.0,55.53,55.5359,55.53,55.53,2800
3516,89.0,55.56,55.57,55.54,55.54,5954
3517,90.0,55.67,55.67,55.56,55.56,9623
3518,91.0,55.64,55.665,55.62,55.66,7725
3519,92.0,55.64,55.67,55.63,55.66,3299
3520,93.0,55.59,55.65,55.59,55.64,8030
3521,94.0,55.58,55.62,55.58,55.6,6620
3522,95.0,55.6,55.61,55.59,55.59,7436
3523,96.0,55.62,55.62,55.59,55.59,2803
3524,97.0,55.64,55.6499,55.62,55.62,6248
3525,98.0,55.63,55.65,55.62,55.65,3007
3526,99.0,55.63,55.63,55.63,55.63,100
3527,100.0,55.61,55.63,55.61,55.62,2738
3528,101.0,55.59,55.6,55.58,55.6,3951
3529,102.0,55.6,55.6,55.6,55.6,300
3530,103.0,55.64,55.64,55.6,55.6,3540
3531,104.0,55.64,55.64,55.64,55.64,1200
3532,105.0,55.61,55.65,55.61,55.64,3800
3533,106.0,55.56,55.62,55.56,55.615,6300
3534,107.0,55.55,55.57,55.55,55.555,3876
3535,108.0,55.56,55.56,55.55,55.55,965
3536,109.0,55.57,55.57,55.57,55.57,100
3537,110.0,55.57,55.57,55.555,55.565,4555
3538,111.0,55.54,55.56,55.54,55.56,2000
3539,112.0,55.55,55.56,55.55,55.55,4868
3540,113.0,55.555,55.555,55.53,55.54,4598
3541,114.0,55.55,55.56,55.55,55.56,1104
3542,115.0,55.53,55.54,55.53,55.54,1000
3543,116.0,55.54,55.54,55.535,55.54,1766
3544,117.0,55.54,55.55,55.54,55.55,1365
3545,118.0,55.545,55.545,55.54,55.545,600
3546,119.0,55.54,55.545,55.54,55.54,600
3547,120.0,55.56,55.56,55.54,55.55,6146
3548,121.0,55.54,55.555,55.52,55.55,11146
3549,122.0,55.54,55.555,55.54,55.55,5191
3550,123.0,55.57,55.57,55.54,55.54,2494
3551,124.0,55.5735,55.5735,55.56,55.57,2107
3552,125.0,55.55,55.59,55.55,55.58,5400
3553,126.0,55.55,55.55,55.55,55.55,1993
3554,127.0,55.54,55.55,55.535,55.55,8990
3555,128.0,55.54,55.54,55.535,55.54,2600
3556,129.0,55.55,55.56,55.54,55.54,3000
3557,130.0,55.58,55.58,55.56,55.5631,1898
3558,131.0,55.61,55.61,55.59,55.59,2000
3559,132.0,55.61,55.615,55.61,55.61,1600
3560,133.0,55.605,55.615,55.605,55.61,2100
3561,134.0,55.61,55.61,55.6,55.61,300
3562,135.0,55.59,55.61,55.59,55.61,3000
3563,136.0,55.59,55.59,55.58,55.58,2600
3564,137.0,55.61,55.61,55.59,55.59,1345
3565,138.0,55.63,55.63,55.61,55.62,1310
3566,139.0,55.62,55.63,55.61,55.63,2700
3567,140.0,55.635,55.635,55.63,55.63,1300
3568,141.0,55.645,55.655,55.6399,55.6399,1620
3569,142.0,55.645,55.645,55.64,55.64,200
3570,143.0,55.66,55.66,55.645,55.65,3902
3571,144.0,55.655,55.665,55.655,55.6601,1925
