,0,1,2,3,4,5
4631,,60.01,60.01,59.98,59.98,14100.0
4632,1,60.21,60.33,60.01,60.01,1300.0
4633,2,60.2154,60.2154,60.2154,60.2154,100.0
4634,3,60.3,60.36,60.27,60.28,3483.0
4635,4,60.255,60.3499,60.255,60.31,1001.0
4636,5,60.19,60.33,60.19,60.25,600.0
4637,6,60.2,60.24,60.18,60.24,800.0
4638,7,60.21,60.325,60.18,60.18,1700.0
4639,8,60.05,60.21,60.05,60.2,2408.0
4640,9,60.02,60.02,60.02,60.02,100.0
4641,10,59.95,59.95,59.87,59.92,2400.0
4642,11,60.14,60.1602,59.96,59.98,3600.0
4643,12,60.07,60.13,60.05,60.13,1000.0
4644,13,60.06,60.1,60.03,60.07,1650.0
4645,14,60.01,60.04,60.01,60.01,982.0
4646,15,59.89,60.01,59.89,60.01,400.0
4647,16,60.04,60.08,59.91,59.91,600.0
4648,17,59.951,59.98,59.951,59.97,1437.0
4649,18,59.93,59.94,59.93,59.94,532.0
4650,19,59.92,59.98,59.89,59.96,2545.0
4651,20,60.01,60.02,59.92,59.92,2400.0
4652,21,59.93,59.98,59.9,59.95,1600.0
4653,22,59.96,59.96,59.95,59.95,200.0
4654,23,59.95,60.0,59.94,59.96,1900.0
4655,24,59.99,59.99,59.91,59.91,966.0
4656,25,59.97,60.0148,59.97,60.0148,596.0
4657,26,59.98,59.98,59.98,59.98,403.0
4658,27,59.99,60.0,59.93,59.97,1400.0
4659,28,59.98,59.98,59.98,59.98,1004.0
4660,29,60.085,60.085,60.03,60.03,800.0
4661,30,60.02,60.05,60.02,60.03,400.0
4662,31,60.03,60.13,60.03,60.12,1173.0
4663,32,59.96,60.06,59.96,60.06,1300.0
4664,33,59.99,59.99,59.92,59.95,3908.0
4665,34,60.03,60.03,59.98,59.98,700.0
4666,35,60.03,60.03,60.02,60.02,400.0
4667,36,60.05,60.08,60.03,60.03,7031.0
4668,37,60.02,60.06,60.02,60.05,1500.0
4669,38,60.02,60.04,59.98,60.03,1200.0
4670,39,60.11,60.11,60.0,60.02,1846.0
4671,40,60.07,60.1,60.05,60.1,1600.0
4672,41,60.13,60.13,60.1,60.1,300.0
4673,42,60.03,60.07,60.03,60.07,689.0
4674,43,60.05,60.05,60.01,60.01,1900.0
4675,44,59.97,60.035,59.97,60.035,1100.0
4676,45,60.0457,60.06,60.04,60.04,878.0
4677,46,60.055,60.06,60.01,60.03,1300.0
4678,47,60.05,60.07,60.04,60.05,1640.0
4679,48,60.03,60.05,60.01,60.04,2100.0
4680,49,59.95,60.03,59.95,60.03,1100.0
4681,50,59.96,60.0,59.95,59.98,1200.0
4682,51,59.98,59.99,59.96,59.99,2200.0
4683,52,59.97,59.99,59.93,59.98,1200.0
4684,53,59.97,60.0,59.93,59.97,2031.0
4685,54,59.92,59.97,59.92,59.96,2000.0
4686,55,59.92,59.92,59.87,59.9,5913.0
4687,56,59.94,59.97,59.93,59.93,4062.0
4688,57,59.9088,59.94,59.9,59.9,1766.0
4689,58,59.99,59.99,59.9025,59.92,2129.0
4690,59,59.92,59.98,59.89,59.98,1900.0
4691,60,59.93,59.93,59.91,59.91,400.0
4692,61,59.96,59.99,59.92,59.94,4309.0
4693,62,59.99,59.99,59.92,59.97,12069.0
4694,63,60.04,60.05,59.98,59.98,5758.0
4695,64,60.05,60.06,60.02,60.03,31607.0
4696,65,60.07,60.07,60.05,60.05,8044.0
4697,66,60.07,60.08,60.05,60.06,3100.0
4698,67,60.081,60.09,60.055,60.08,1900.0
4699,68,60.09,60.09,60.05,60.08,2398.0
4700,69,60.08,60.09,60.07,60.09,1590.0
4701,70,60.09,60.09,60.06,60.075,2296.0
4702,71,60.055,60.08,60.05,60.08,1502.0
4703,72,60.06,60.07,60.055,60.055,500.0
4704,73,60.04,60.08,60.035,60.0799,1939.0
4705,74,60.06,60.08,60.03,60.03,2800.0
4706,75,60.1,60.12,60.05,60.05,900.0
4707,76,60.1,60.11,60.09,60.1,710.0
4708,77,60.1,60.11,60.09,60.1,900.0
4709,78,60.08,60.1,60.06,60.09,2200.0
4710,79,60.13,60.14,60.08,60.08,1702.0
4711,80,60.11,60.12,60.1,60.12,2100.0
4712,81,60.15,60.15,60.12,60.14,1212.0
4713,82,60.1,60.13,60.1,60.13,500.0
4714,83,60.09,60.13,60.09,60.11,1600.0
4715,84,60.09,60.09,60.07,60.09,1800.0
4716,85,60.1,60.1,60.06,60.07,2100.0
4717,86,60.11,60.11,60.074,60.074,400.0
4718,87,60.11,60.11,60.06,60.07,1200.0
4719,88,60.15,60.15,60.13,60.13,300.0
4720,89,60.13,60.13,60.13,60.13,200.0
4721,90,60.09,60.17,60.09,60.16,3400.0
4722,91,60.08,60.1,60.07,60.08,1500.0
4723,92,60.07,60.09,60.0697,60.08,1652.0
4724,93,60.1,60.11,60.07,60.07,2989.0
4725,94,60.07,60.09,60.07,60.09,400.0
4726,95,60.1,60.1,60.08,60.08,1000.0
4727,96,60.19,60.19,60.101000000000006,60.11,3019.0
4728,97,60.14,60.17,60.14,60.17,1000.0
4729,98,60.101000000000006,60.13,60.09,60.13,2550.0
