,0,1,2,3,4,5
3544,,1470.0,1470.0,1470.0,1470.0,2727
3545,2.0,1471.88,1472.4,1471.88,1472.4,300
3546,3.0,1470.62,1470.62,1470.62,1470.62,100
3547,4.0,1473.13,1473.13,1473.13,1473.13,100
3548,5.0,1473.4473,1473.625,1473.4473,1473.625,200
3549,6.0,1474.28,1474.44,1473.31,1473.4,600
3550,7.0,1473.86,1474.99,1473.39,1473.39,700
3551,8.0,1473.55,1473.64,1473.38,1473.64,600
3552,10.0,1473.27,1474.71,1473.205,1474.71,1100
3553,11.0,1474.24,1474.36,1474.24,1474.36,200
3554,12.0,1474.3,1474.3,1474.24,1474.24,400
3555,13.0,1473.525,1473.525,1473.525,1473.525,100
3556,14.0,1475.52,1475.52,1473.48,1473.48,1400
3557,15.0,1474.8,1474.8,1474.8,1474.8,180
3558,16.0,1475.0,1475.0285,1474.9,1475.0,400
3559,17.0,1474.18,1474.42,1474.18,1474.42,600
3560,18.0,1473.07,1473.07,1473.07,1473.07,100
3561,19.0,1474.0,1474.0,1473.0,1473.5167,700
3562,20.0,1474.0,1474.0,1474.0,1474.0,100
3563,21.0,1473.36,1473.36,1470.64,1472.8,1300
3564,22.0,1472.71,1472.715,1472.43,1472.715,300
3565,23.0,1472.69,1472.69,1472.1,1472.1,200
3566,24.0,1471.37,1471.37,1471.37,1471.37,100
3567,25.0,1469.0,1471.23,1469.0,1471.23,1851
3568,26.0,1469.41,1469.41,1469.2,1469.2,400
3569,27.0,1469.9953,1470.1,1469.0,1469.0,2200
3570,28.0,1469.01,1469.96,1469.01,1469.96,700
3571,29.0,1469.5,1469.5,1469.5,1469.5,100
3572,30.0,1468.13,1470.06,1468.13,1469.99,900
3573,31.0,1469.14,1469.14,1468.08,1469.0525,400
3574,32.0,1470.21,1470.29,1468.87,1468.87,900
3575,34.0,1470.66,1470.66,1470.66,1470.66,100
3576,35.0,1470.635,1471.82,1470.16,1470.51,2200
3577,36.0,1470.77,1471.4002,1469.66,1469.66,554
3578,37.0,1469.7,1469.7,1469.7,1469.7,100
3579,38.0,1469.57,1469.57,1469.57,1469.57,100
3580,39.0,1469.24,1470.06,1469.06,1469.7,1600
3581,40.0,1469.81,1469.99,1469.27,1469.805,1300
3582,41.0,1469.225,1469.42,1468.99,1469.42,300
3583,42.0,1469.14,1469.4899,1468.0,1468.82,2911
3584,43.0,1468.4399,1469.0,1468.0,1469.0,1392
3585,44.0,1467.8399,1467.8399,1466.3201,1467.36,362
3586,45.0,1468.49,1468.98,1467.55,1467.55,2168
3587,46.0,1467.84,1467.84,1467.77,1467.77,200
3588,47.0,1468.49,1468.49,1467.93,1467.93,400
3589,48.0,1468.1,1468.2,1468.075,1468.2,688
3590,52.0,1468.84,1468.84,1468.42,1468.45,500
3591,53.0,1469.61,1469.61,1469.6,1469.6,200
3592,54.0,1469.5308,1469.5308,1469.5308,1469.5308,168
3593,56.0,1469.66,1469.66,1468.39,1468.4,1000
3594,60.0,1468.96,1469.06,1468.96,1468.96,300
3595,61.0,1469.49,1470.0,1468.83,1469.35,2320
3596,62.0,1468.53,1469.48,1468.53,1469.48,800
3597,63.0,1468.98,1468.98,1468.98,1468.98,100
3598,65.0,1468.32,1468.32,1468.32,1468.32,100
3599,66.0,1468.67,1468.95,1468.33,1468.95,300
3600,68.0,1468.695,1468.695,1468.695,1468.695,100
3601,69.0,1468.84,1468.84,1468.84,1468.84,100
3602,70.0,1468.1,1468.81,1468.0,1468.81,400
3603,71.0,1467.71,1467.71,1467.71,1467.71,100
3604,72.0,1466.53,1467.69,1466.53,1467.51,500
3605,74.0,1466.535,1466.535,1466.535,1466.535,100
3606,75.0,1466.57,1467.77,1466.57,1467.34,700
3607,76.0,1466.31,1466.65,1466.31,1466.65,400
3608,77.0,1466.99,1466.99,1466.5,1466.5,500
3609,78.0,1465.99,1466.0,1465.41,1466.0,1876
3610,80.0,1465.35,1465.35,1465.35,1465.35,100
3611,81.0,1463.6604,1465.0,1462.5,1465.0,1609
3612,82.0,1463.57,1463.84,1462.5,1462.5959,1800
3613,83.0,1463.37,1463.37,1463.37,1463.37,100
3614,84.0,1463.67,1463.97,1463.67,1463.97,200
3615,85.0,1463.0,1463.57,1463.0,1463.51,700
3616,86.0,1463.08,1463.79,1462.55,1463.79,600
3617,88.0,1463.0,1463.0,1463.0,1463.0,100
3618,89.0,1462.97,1463.0,1462.3,1463.0,1400
3619,90.0,1462.3,1463.0,1462.08,1463.0,3800
3620,91.0,1462.41,1462.45,1462.23,1462.23,1900
3621,92.0,1462.6363,1462.6363,1462.6363,1462.6363,500
3622,93.0,1461.22,1462.62,1461.22,1462.52,700
3623,94.0,1461.0,1461.99,1460.75,1461.76,1520
3624,95.0,1461.65,1461.65,1460.6,1460.97,1400
3625,96.0,1461.79,1461.8,1461.3225,1461.3225,596
3626,97.0,1461.375,1461.75,1461.375,1461.75,300
3627,98.0,1460.99,1460.99,1460.94,1460.94,200
3628,99.0,1461.0,1461.0,1461.0,1461.0,200
3629,101.0,1459.64,1460.6,1459.64,1460.43,1400
3630,102.0,1459.6,1460.5499,1459.6,1460.0,700
3631,103.0,1459.39,1459.73,1459.25,1459.59,1348
3632,104.0,1459.53,1459.53,1458.735,1459.0,1500
3633,105.0,1458.9,1459.285,1458.73,1459.04,800
3634,106.0,1458.19,1458.19,1458.15,1458.15,200
3635,107.0,1457.61,1458.0,1457.61,1458.0,300
3636,108.0,1457.8,1458.08,1457.51,1458.08,400
3637,109.0,1457.09,1458.18,1457.09,1457.94,1216
3638,110.0,1458.61,1458.69,1456.98,1457.03,2100
3639,111.0,1457.61,1457.65,1457.34,1457.44,500
3640,112.0,1457.69,1457.69,1456.96,1456.96,1500
3641,113.0,1458.27,1458.27,1458.27,1458.27,100
3642,114.0,1457.76,1458.37,1457.76,1458.01,600
3643,115.0,1457.7137,1457.7137,1457.7137,1457.7137,250
3644,116.0,1459.895,1461.2109,1459.895,1459.94,2583
3645,117.0,1460.35,1460.92,1459.0,1460.46,1083
3646,119.0,1459.68,1460.29,1459.68,1460.29,300
3647,120.0,1459.28,1460.19,1459.28,1459.77,800
3648,121.0,1460.84,1460.84,1459.06,1459.06,1432
3649,122.0,1459.1282,1460.4,1459.1282,1460.06,600
3650,123.0,1461.3,1461.3,1460.84,1460.84,200
3651,124.0,1463.27,1463.27,1462.0,1462.0,2690
3652,125.0,1464.59,1464.59,1463.5520000000001,1463.5520000000001,600
3653,126.0,1466.48,1466.48,1465.545,1465.78,1300
3654,127.0,1465.431,1467.15,1465.431,1465.98,1100
3655,128.0,1465.475,1465.475,1465.475,1465.475,100
3656,129.0,1465.435,1465.435,1465.435,1465.435,100
3657,130.0,1465.015,1465.49,1464.99,1465.49,500
3658,131.0,1465.18,1465.18,1464.02,1464.94,300
3659,132.0,1464.91,1466.0,1464.39,1464.39,2200
3660,133.0,1465.5,1466.0,1464.98,1464.98,1500
3661,134.0,1464.9,1465.4,1464.9,1465.4,200
3662,135.0,1465.66,1465.66,1465.0245,1465.22,1900
3663,136.0,1464.996,1465.49,1464.76,1465.4,700
3664,137.0,1464.95,1464.95,1464.9,1464.9,400
3665,138.0,1464.8,1464.8,1464.8,1464.8,100
3666,139.0,1463.57,1464.9899,1463.57,1464.8,500
3667,140.0,1463.09,1463.09,1463.09,1463.09,100
3668,141.0,1463.29,1463.6,1463.29,1463.6,300
3669,142.0,1461.09,1464.3,1461.09,1462.16,1200
3670,144.0,1462.45,1462.9325,1462.45,1462.9325,300
3671,145.0,1463.4,1463.4,1462.67,1463.1689,907
3672,146.0,1463.6,1463.6,1463.6,1463.6,394
3673,148.0,1461.82,1461.82,1461.55,1461.55,200
3674,149.0,1463.19,1463.19,1462.25,1462.5,800
3675,150.0,1463.2,1463.2,1462.11,1462.11,200
3676,151.0,1462.9262,1462.9262,1462.17,1462.17,400
3677,152.0,1462.61,1463.0,1462.59,1463.0,500
3678,153.0,1461.6,1462.65,1461.6,1462.16,2500
3679,154.0,1461.7,1462.11,1461.5,1462.03,900
3680,155.0,1462.74,1462.74,1462.08,1462.08,400
3681,156.0,1462.425,1463.005,1462.425,1462.75,400
3682,157.0,1463.89,1463.89,1462.96,1462.96,500
3683,158.0,1463.21,1463.43,1463.08,1463.43,500
3684,159.0,1463.13,1463.13,1463.13,1463.13,100
3685,160.0,1462.65,1463.51,1462.65,1463.29,2095
3686,161.0,1462.4,1463.13,1462.27,1462.34,900
3687,162.0,1462.59,1463.13,1462.52,1462.59,1000
3688,163.0,1463.3,1463.6,1463.12,1463.12,1300
3689,164.0,1463.6,1463.6,1463.1,1463.3,1700
3690,165.0,1464.12,1464.31,1463.75,1463.84,1500
3691,166.0,1462.87,1463.155,1462.87,1463.155,200
3692,167.0,1462.72,1463.02,1462.53,1462.63,600
3693,168.0,1463.835,1463.835,1462.8,1462.8,1500
3694,169.0,1463.8105,1463.91,1463.3,1463.91,1310
3695,170.0,1464.17,1464.17,1463.83,1463.83,653
3696,172.0,1464.0,1464.0,1464.0,1464.0,100
3697,173.0,1463.72,1463.89,1463.72,1463.89,200
3698,174.0,1464.21,1464.43,1464.18,1464.43,300
3699,175.0,1463.6,1463.6,1463.6,1463.6,100
3700,176.0,1464.06,1464.06,1464.06,1464.06,100
3701,178.0,1464.9599,1464.9599,1464.49,1464.74,400
3702,179.0,1464.985,1464.985,1464.985,1464.985,100
3703,180.0,1464.81,1465.0,1464.02,1464.2,2600
3704,181.0,1464.94,1464.94,1464.94,1464.94,100
3705,182.0,1463.82,1463.82,1463.8,1463.8,200
3706,186.0,1462.77,1462.77,1462.77,1462.77,200
3707,187.0,1461.0,1462.77,1461.0,1462.77,400
3708,188.0,1461.14,1461.87,1461.14,1461.5,1600
3709,189.0,1461.07,1461.79,1461.03,1461.03,400
3710,190.0,1462.78,1463.0,1461.73,1461.73,1200
3711,191.0,1462.78,1462.78,1462.49,1462.78,700
3712,192.0,1463.58,1463.78,1463.58,1463.78,200
