,0,1,2,3,4,5
0,,38.01,38.07,38.01,38.07,61126
1,1.0,38.0884,38.0884,37.93,38.035,21339
2,2.0,38.11,38.11,38.06,38.09,2542
3,3.0,38.135,38.14,38.1199,38.1199,42704
4,4.0,38.135,38.14,38.13,38.135,24734
5,5.0,38.1201,38.14,38.11,38.135,12773
6,6.0,38.163000000000004,38.18,38.12,38.125,136025
7,7.0,38.16,38.17,38.15,38.165,7313
8,8.0,38.18,38.18,38.16,38.16,5190
9,9.0,38.19,38.19,38.1699,38.17,4700
10,10.0,38.21,38.21,38.17,38.18,11033
11,11.0,38.17,38.2,38.16,38.2,12433
12,12.0,38.14,38.16,38.12,38.16,26837
13,13.0,38.11,38.1453,38.1,38.145,3964
14,14.0,38.14,38.145,38.1,38.1,19197
15,15.0,38.145,38.15,38.11,38.14,4700
16,16.0,38.1737,38.1737,38.1458,38.1458,6383
17,17.0,38.1401,38.18,38.1401,38.18,13695
18,18.0,38.17,38.17,38.13,38.14,6300
19,19.0,38.18,38.2,38.18,38.18,5899
20,20.0,38.21,38.22,38.18,38.18,11871
21,21.0,38.19,38.215,38.19,38.21,8354
22,22.0,38.21,38.23,38.195,38.2,10296
23,23.0,38.2457,38.2457,38.21,38.21,6519
24,24.0,38.21,38.255,38.21,38.25,12167
25,25.0,38.22,38.23,38.21,38.22,13147
26,26.0,38.205,38.2201,38.2,38.21,5919
27,27.0,38.263000000000005,38.265,38.22,38.22,11115
28,28.0,38.245,38.265,38.24,38.265,6266
29,29.0,38.255,38.265,38.25,38.25,2370
30,30.0,38.26,38.28,38.255,38.255,4950
31,31.0,38.275,38.295,38.26,38.27,12898
32,32.0,38.255,38.27,38.245,38.27,3355
33,33.0,38.285,38.295,38.26,38.26,9282
34,34.0,38.29,38.305,38.28,38.29,15530
35,35.0,38.32,38.33,38.2901,38.3,13100
36,36.0,38.305,38.34,38.305,38.32,8330
37,37.0,38.29,38.31,38.285,38.31,5248
38,38.0,38.28,38.295,38.27,38.295,7049
39,39.0,38.28,38.285,38.275,38.28,3001
40,40.0,38.235,38.275,38.23,38.27,5738
41,41.0,38.235,38.255,38.23,38.24,12218
42,42.0,38.2401,38.2401,38.225,38.24,6700
43,43.0,38.23,38.26,38.23,38.25,5200
44,44.0,38.2701,38.28,38.23,38.23,106424
45,45.0,38.31,38.31,38.26,38.28,17533
46,46.0,38.31,38.335,38.3,38.31,34062
47,47.0,38.355,38.36,38.3175,38.32,8074
48,48.0,38.37,38.375,38.3549,38.36,2947
49,49.0,38.33,38.365,38.325,38.36,10900
50,50.0,38.31,38.33,38.305,38.325,8360
51,51.0,38.305,38.34,38.305,38.32,15683
52,52.0,38.26,38.3,38.255,38.3,11277
53,53.0,38.25,38.2601,38.23,38.26,9541
54,54.0,38.22,38.24,38.21,38.24,7820
55,55.0,38.185,38.22,38.18,38.22,12800
56,56.0,38.17,38.2,38.17,38.19,5635
57,57.0,38.17,38.18,38.17,38.18,2936
58,58.0,38.19,38.2,38.17,38.17,7574
