,0,1,2,3,4,5
4301,,56.58,56.6,56.57,56.58,223273
4302,1.0,56.61,56.63,56.5,56.56,43442
4303,2.0,56.73,56.73,56.55,56.63,34971
4304,3.0,56.64,56.75,56.6021,56.72,29787
4305,4.0,56.7,56.71,56.62,56.6345,29413
4306,5.0,56.75,56.78,56.7,56.705,33016
4307,6.0,56.67,56.79,56.64,56.75,48633
4308,7.0,56.6701,56.69,56.65,56.67,31022
4309,8.0,56.56,56.68,56.55,56.68,23216
4310,9.0,56.595,56.6,56.51,56.5644,29901
4311,10.0,56.63,56.64,56.5432,56.59,39844
4312,11.0,56.64,56.65,56.6,56.64,28384
4313,12.0,56.61,56.6383,56.57,56.63,20448
4314,13.0,56.62,56.62,56.56,56.61,23586
4315,14.0,56.635,56.64,56.61,56.61,38145
4316,15.0,56.58,56.63,56.575,56.63,33668
4317,16.0,56.5937,56.5957,56.55,56.575,48830
4318,17.0,56.57,56.6,56.56,56.59,44955
4319,18.0,56.57,56.6,56.55,56.57,47576
4320,19.0,56.6,56.6,56.5675,56.58,58938
4321,20.0,56.55,56.6,56.54,56.6,48869
4322,21.0,56.54,56.565,56.5342,56.545,137725
4323,22.0,56.5599,56.56,56.53,56.535,46233
4324,23.0,56.5699,56.5808,56.55,56.55,54918
4325,24.0,56.605,56.605,56.5654,56.5654,41117
4326,25.0,56.59,56.605,56.5736,56.5984,52124
4327,26.0,56.63,56.64,56.59,56.59,54245
4328,27.0,56.62,56.64,56.605,56.625,25781
4329,28.0,56.6299,56.63,56.6,56.62,13977
4330,29.0,56.62,56.63,56.61,56.6212,22372
4331,30.0,56.6002,56.625,56.6,56.619,33073
4332,31.0,56.605,56.6356,56.595,56.61,35407
4333,32.0,56.6,56.62,56.589,56.605,16674
4334,33.0,56.6099,56.615,56.599,56.6,13072
4335,34.0,56.6,56.61,56.59,56.6,42528
4336,35.0,56.6,56.63,56.59,56.6055,13683
4337,36.0,56.635,56.64,56.59,56.59,36056
4338,37.0,56.6788,56.6788,56.635,56.635,47674
4339,38.0,56.655,56.699,56.65,56.675,30777
4340,39.0,56.648999999999994,56.66,56.63,56.65,25814
4341,40.0,56.655,56.655,56.62,56.645,24017
4342,41.0,56.665,56.665,56.63,56.64,32734
4343,42.0,56.6668,56.68,56.66,56.665,29694
4344,43.0,56.64,56.67,56.6351,56.6638,21186
4345,44.0,56.61,56.65,56.61,56.635,19952
4346,45.0,56.6,56.61,56.59,56.6099,21505
4347,46.0,56.6054,56.61,56.6,56.6,11860
4348,47.0,56.6154,56.62,56.61,56.61,6117
4349,48.0,56.605,56.625,56.595,56.6101,35079
4350,49.0,56.62,56.62,56.599,56.61,38605
4351,50.0,56.61,56.62,56.61,56.615,24729
4352,51.0,56.64,56.67,56.615,56.615,37325
4353,52.0,56.65,56.655,56.64,56.64,23241
4354,53.0,56.6599,56.6651,56.65,56.655,22427
4355,54.0,56.66,56.665,56.645,56.66,21381
4356,55.0,56.68,56.68,56.65,56.666000000000004,23624
4357,56.0,56.7,56.71,56.68,56.68,29496
4358,57.0,56.6966,56.725,56.695,56.71,23120
4359,58.0,56.645,56.695,56.64,56.69,27673
4360,59.0,56.68,56.68,56.64,56.64,20664
4361,60.0,56.68,56.69,56.67,56.67,22302
4362,61.0,56.7,56.7,56.665,56.68,14245
4363,62.0,56.75,56.75,56.6965,56.7,17635
4364,63.0,56.775,56.8,56.743,56.75,31536
4365,64.0,56.755,56.81,56.748999999999995,56.7792,28900
4366,65.0,56.8,56.81,56.7616,56.765,14157
4367,66.0,56.78,56.8,56.76,56.79,16321
4368,67.0,56.74,56.78,56.74,56.78,16368
4369,68.0,56.75,56.75,56.72,56.74,25175
4370,69.0,56.74,56.7552,56.73,56.748999999999995,16153
4371,70.0,56.75,56.75899999999999,56.72,56.75,20544
4372,71.0,56.75,56.75899999999999,56.74,56.75,8474
4373,72.0,56.748999999999995,56.75,56.73,56.745,13301
4374,73.0,56.7068,56.7455,56.69,56.7455,26090
4375,74.0,56.74,56.74,56.7058,56.7058,14476
4376,75.0,56.74,56.755,56.73,56.74,9897
4377,76.0,56.7,56.74,56.7,56.73,23969
4378,77.0,56.6757,56.7,56.64,56.69,31824
4379,78.0,56.6401,56.67,56.63,56.67,23027
4380,79.0,56.63,56.65,56.63,56.64,13526
4381,80.0,56.6101,56.65,56.61,56.63,46226
4382,81.0,56.64,56.65,56.62,56.62,21807
4383,82.0,56.63,56.6499,56.61,56.63,30981
4384,83.0,56.63,56.64,56.61,56.62,61847
4385,84.0,56.6266,56.66,56.61,56.62,46870
4386,85.0,56.591,56.64,56.591,56.62,27421
4387,86.0,56.629,56.6299,56.57,56.59,64927
4388,87.0,56.635,56.65,56.62,56.63,32227
4389,88.0,56.65,56.66,56.62,56.64,17803
4390,89.0,56.66,56.66,56.645,56.65,10589
4391,90.0,56.69,56.69,56.64,56.65,31442
4392,91.0,56.7,56.7069,56.68,56.68,16650
4393,92.0,56.7054,56.71,56.69,56.7,16263
4394,93.0,56.6499,56.705,56.645,56.705,32312
4395,94.0,56.64,56.65,56.62,56.65,15901
4396,95.0,56.66,56.6699,56.64,56.65,18393
4397,96.0,56.6499,56.6691,56.63,56.66,21353
4398,97.0,56.63,56.66,56.62,56.64,14457
4399,98.0,56.5899,56.6265,56.5786,56.62,49897
4400,99.0,56.59,56.61,56.57,56.585,19384
4401,100.0,56.63,56.65,56.58,56.5899,26002
4402,101.0,56.56,56.63,56.555,56.63,24302
4403,102.0,56.513000000000005,56.57,56.51,56.56,38792
4404,103.0,56.56,56.57,56.52,56.52,29676
4405,104.0,56.5764,56.6,56.555,56.5567,29174
4406,105.0,56.55,56.57,56.51,56.57,37301
4407,106.0,56.5699,56.57,56.535,56.545,21615
4408,107.0,56.57,56.58,56.54,56.5699,23142
4409,108.0,56.55,56.57,56.5354,56.5699,19813
4410,109.0,56.57,56.59,56.55,56.55,43153
4411,110.0,56.575,56.58,56.56,56.58,17740
4412,111.0,56.585,56.59,56.57,56.58,14686
4413,112.0,56.56,56.59,56.55,56.5848,15109
4414,113.0,56.5599,56.58,56.55,56.56,22309
4415,114.0,56.56,56.5699,56.55,56.56,18355
4416,115.0,56.565,56.57,56.55,56.568999999999996,48074
4417,116.0,56.5899,56.6,56.565,56.57,22351
4418,117.0,56.61,56.61,56.57,56.59,43752
4419,118.0,56.605,56.62,56.6,56.6199,14064
4420,119.0,56.66,56.67,56.61,56.6101,19335
4421,120.0,56.64,56.66,56.625,56.655,13376
4422,121.0,56.64,56.65,56.625,56.64,24077
4423,122.0,56.6343,56.655,56.62,56.645,18659
4424,123.0,56.6554,56.66,56.63,56.635,10263
4425,124.0,56.68,56.68,56.6533,56.66,12064
4426,125.0,56.68,56.69,56.6731,56.68,14534
4427,126.0,56.69,56.69,56.67,56.675,42489
4428,127.0,56.66,56.685,56.65,56.68,31608
4429,128.0,56.648999999999994,56.6699,56.64,56.6599,29454
4430,129.0,56.65,56.66,56.63,56.6463,22781
4431,130.0,56.64,56.65,56.63,56.65,19578
4432,131.0,56.63,56.65,56.62,56.6351,18986
4433,132.0,56.63,56.6399,56.62,56.635,14791
4434,133.0,56.62,56.63,56.62,56.63,11222
4435,134.0,56.6099,56.62,56.6,56.62,11306
