,0,1,2,3,4,5
3800,,21.24,21.24,21.24,21.24,11996
3801,1.0,21.29,21.29,21.25,21.25,200
3802,2.0,21.2478,21.2478,21.2038,21.2038,1331
3803,3.0,21.23,21.24,21.23,21.23,600
3804,4.0,21.24,21.27,21.24,21.24,8215
3805,5.0,21.25,21.25,21.24,21.25,500
3806,6.0,21.18,21.26,21.14,21.26,7299
3807,7.0,21.04,21.16,21.03,21.15,10500
3808,8.0,21.01,21.05,20.9949,21.03,2600
3809,9.0,21.05,21.05,21.0125,21.03,2850
3810,10.0,21.07,21.09,21.05,21.05,1800
3811,11.0,21.06,21.06,21.05,21.05,600
3812,12.0,21.04,21.055,21.04,21.055,1001
3813,13.0,21.05,21.05,21.03,21.04,251360
3814,15.0,21.1,21.1,21.09,21.09,509
3815,16.0,21.08,21.1,21.07,21.08,7698
3816,17.0,21.1,21.1,21.08,21.09,1600
3817,18.0,21.1,21.1,21.0989,21.1,1100
3818,19.0,21.11,21.11,21.1,21.1,1500
3819,20.0,21.08,21.115,21.07,21.115,504160
3820,21.0,21.04,21.09,21.04,21.08,19227
3821,22.0,21.07,21.08,21.03,21.04,2700
3822,23.0,21.05,21.09,21.0,21.08,24054
3823,24.0,21.06,21.06,21.035,21.04,7173
3824,25.0,21.05,21.05,21.05,21.05,7200
3825,26.0,21.0501,21.0501,21.05,21.05,2691
3826,27.0,21.05,21.07,21.05,21.05,19957
3827,28.0,21.06,21.06,21.0175,21.04,22109
3828,29.0,21.11,21.11,21.05,21.05,5873
3829,30.0,21.2,21.2,21.1,21.1,5300
3830,31.0,21.2,21.21,21.2,21.21,2100
3831,32.0,21.25,21.25,21.19,21.2,5100
3832,33.0,21.25,21.26,21.22,21.25,25410
3833,34.0,21.28,21.28,21.26,21.26,1316
3834,35.0,21.33,21.33,21.29,21.29,1300
3835,36.0,21.295,21.34,21.29,21.3399,8994
3836,37.0,21.27,21.29,21.25,21.29,4001
3837,38.0,21.24,21.26,21.24,21.26,4500
3838,39.0,21.22,21.23,21.22,21.23,2100
3839,40.0,21.23,21.24,21.23,21.23,1000
3840,41.0,21.25,21.25,21.235,21.239,3145
3841,42.0,21.23,21.25,21.22,21.25,3983
3842,43.0,21.215,21.22,21.21,21.22,1800
3843,44.0,21.21,21.21,21.21,21.21,2674
3844,45.0,21.2,21.22,21.2,21.21,5499
3845,46.0,21.205,21.205,21.2,21.2,200
3846,47.0,21.21,21.21,21.2,21.2,3588
3847,48.0,21.225,21.23,21.2,21.2,3800
3848,49.0,21.23,21.23,21.22,21.23,800
3849,50.0,21.24,21.24,21.22,21.23,3252
3850,51.0,21.24,21.25,21.23,21.24,3900
3851,52.0,21.24,21.25,21.24,21.24,2600
3852,53.0,21.255,21.26,21.24,21.25,16932
3853,54.0,21.25,21.26,21.25,21.26,3100
3854,55.0,21.25,21.26,21.245,21.26,11999
3855,56.0,21.275,21.28,21.25,21.255,5427
3856,57.0,21.28,21.28,21.27,21.27,1466
3857,58.0,21.32,21.32,21.275,21.28,5960
3858,59.0,21.33,21.33,21.305,21.31,2700
3859,60.0,21.315,21.325,21.315,21.325,2329
3860,61.0,21.31,21.32,21.3,21.315,10501
3861,62.0,21.325,21.33,21.3,21.3,21680
3862,63.0,21.345,21.35,21.33,21.33,15420
3863,64.0,21.32,21.35,21.32,21.34,15453
3864,65.0,21.26,21.325,21.26,21.32,33748
3865,66.0,21.26,21.27,21.24,21.26,21146
3866,67.0,21.27,21.28,21.25,21.25,9650
3867,68.0,21.27,21.28,21.27,21.27,300
3868,69.0,21.29,21.3,21.28,21.28,3309
