,0,1,2,3,4,5
0,,345.52,345.52,345.52,345.52,5728.0
1,1,345.49,346.74,345.235,346.0,1502.0
2,2,345.54,346.25,345.54,346.25,300.0
3,3,343.4,346.25,342.6,346.25,3600.0
4,4,342.662,344.35,342.662,343.555,2200.0
5,5,344.25,346.06,343.84,344.21,5200.0
6,6,344.16,345.97,344.08,344.96,2305.0
7,7,344.06,344.06,343.795,343.795,200.0
8,8,343.07,343.815,343.07,343.805,600.0
9,9,343.29,344.65,343.29,344.005,7200.0
10,10,345.1185,346.0,343.91,344.45,12052.0
11,11,345.4,346.36,345.0851,345.4,5451.0
12,12,346.37,346.88,345.52,345.52,2406.0
13,13,346.88,346.88,346.26,346.26,1000.0
14,14,345.5,346.99,345.08,346.69,3100.0
15,15,346.37,346.37,345.21,345.45,2600.0
16,16,345.1001,345.968,345.1001,345.968,3894.0
17,17,345.59,345.59,343.72,345.18,6743.0
18,18,345.575,345.67,344.82,345.18,4817.0
19,19,345.46,345.66,345.46,345.66,2423.0
20,20,345.46,345.47,345.13,345.13,400.0
21,21,345.4,345.4,344.45,344.45,700.0
22,22,344.995,345.44,344.78,344.985,1000.0
23,23,346.28,346.28,345.24,345.25,7523.0
24,24,346.135,346.53,345.95,346.21,4100.0
25,25,346.23,346.7,346.03,346.26,7139.0
26,26,346.92,346.92,346.29,346.29,2000.0
27,27,347.66,347.81,346.85,346.94,1378.0
28,28,348.5,348.5,347.425,347.71,1540.0
29,29,349.0,349.0,347.7801,348.74,2009.0
30,30,350.0355,350.1,349.0,349.0,3300.0
31,31,351.19,351.67,349.99,349.99,3937.0
32,32,351.5,351.5,350.48,351.44,9645.0
33,33,352.11,352.31,351.2501,351.2501,10092.0
34,34,350.278,352.2835,350.278,352.15,9101.0
35,35,350.0,351.64,350.0,350.76,3275.0
36,36,350.73,350.73,350.73,350.73,100.0
37,38,350.4202,351.05,350.11,350.75,2525.0
38,39,350.96,351.52,350.1,350.145,5400.0
39,40,350.0,350.54,349.73,350.54,2500.0
40,41,346.84,349.79,346.84,349.69,4948.0
41,42,347.54,348.24,347.3,347.3,2100.0
42,43,347.8,348.97,347.8,348.65,600.0
43,44,348.41,348.63,347.575,347.78,2300.0
44,45,348.3,348.35,347.91,348.2,1223.0
45,46,348.7768,348.7768,348.7768,348.7768,100.0
46,47,348.24,348.88,348.24,348.58,1300.0
47,48,348.42,348.62,348.0,348.0,6950.0
48,49,348.38,348.38,347.95,348.27,1491.0
49,50,348.02,348.8,348.02,348.8,300.0
50,51,349.01,349.1,348.42,348.43,2887.0
51,52,348.8075,349.52,348.58,349.29,3975.0
52,53,349.18,349.31,348.68,348.74,3868.0
53,54,349.3,349.3,348.82,349.0525,900.0
54,55,348.09,348.49,348.09,348.49,1100.0
55,56,346.97,347.9,346.97,347.9,800.0
56,57,347.0245,347.12,347.0245,347.12,300.0
57,58,346.8,347.48,346.65,346.65,700.0
58,59,346.33,347.095,346.18,347.095,1000.0
59,60,346.08,346.495,345.9,346.495,6285.0
60,61,345.59,346.48,345.53,346.48,2200.0
61,62,346.16,346.3,345.545,345.545,3400.0
62,63,346.3,346.77,346.035,346.035,8540.0
63,64,346.46,346.475,346.15,346.41,650.0
64,65,346.445,346.445,346.445,346.445,100.0
65,66,346.01,346.32800000000003,345.92,346.32800000000003,1250.0
66,67,346.18,346.18,345.84,345.86,2200.0
67,68,346.15,346.15,345.87,346.04,1100.0
68,69,345.65,346.01,345.61,345.84,1300.0
69,70,346.38,346.66,345.765,345.765,3977.0
70,71,346.66,347.09,346.53,346.53,1400.0
71,72,346.05,346.56,346.05,346.38,1000.0
72,73,345.02,345.83,345.01,345.83,4514.0
73,74,344.69,345.1189,344.67,345.01,2500.0
74,75,344.64,344.99,344.245,344.83,6700.0
75,76,345.2,345.2,344.54,344.68,5600.0
76,77,345.14,345.14,345.11,345.11,800.0
77,78,344.92,345.17,344.91,345.12,1100.0
78,79,344.61,344.61,344.61,344.61,100.0
79,80,344.0,344.66,344.0,344.45,2100.0
80,81,345.34,345.34,343.74,343.99,6799.0
81,82,346.14,346.14,345.3,345.3,2900.0
82,83,346.589,346.589,346.19,346.19,1850.0
83,84,346.1678,346.35,346.1678,346.345,1150.0
84,85,345.67,346.03,345.6,346.03,2007.0
85,86,345.57,345.65,345.5,345.63,428.0
86,87,345.24,345.52,345.24,345.51,800.0
87,88,345.22,345.51,344.96,345.18,2000.0
88,89,345.68,345.8616,345.275,345.275,2451.0
89,91,346.4,346.4,346.06,346.1,1850.0
90,92,346.42,346.4563,346.42,346.4563,300.0
91,93,346.12,346.47,345.98,346.2,1500.0
92,94,345.94,346.01,345.8055,346.01,2600.0
93,95,346.395,346.695,345.94,345.94,1673.0
94,96,345.74,346.11,345.74,346.11,600.0
95,97,345.33,345.38,345.29,345.29,1000.0
96,98,345.33,345.36,345.33,345.36,400.0
97,99,345.68,345.68,345.64,345.64,200.0
98,100,345.16,345.4,345.16,345.38,1926.0
99,101,344.51,345.16,344.51,345.16,800.0
100,102,344.465,344.74,344.45,344.73,800.0
101,103,345.3,345.63,344.44,344.44,3400.0
102,104,345.34,345.5,345.09,345.5,1100.0
103,105,344.74,345.12,344.74,345.12,300.0
104,106,345.21,345.21,344.87,345.11,2900.0
105,107,345.32,345.32,345.3,345.32,800.0
106,108,345.0641,345.08,344.93,345.08,412.0
107,109,344.37,345.1075,344.37,345.1075,2074.0
108,110,345.07,345.07,344.465,344.59,1200.0
109,111,345.12,345.39,344.98,344.98,2600.0
110,112,345.265,345.28,345.26,345.26,1000.0
111,113,344.64,345.0501,344.63,345.0501,1578.0
112,114,344.14,344.37,344.14,344.37,995.0
113,115,343.53,343.95,343.53,343.95,300.0
114,116,343.55,343.7494,343.51,343.7494,300.0
115,117,345.2,345.2,343.87,343.9,2500.0
116,118,345.82,346.3,345.16,345.16,2250.0
117,119,345.68,346.0,345.36,345.55,9130.0
118,120,345.1,345.645,345.05,345.395,1630.0
119,121,344.62,345.275,344.61,344.75,1400.0
120,122,344.23,344.57,344.06,344.23,2200.0
121,123,344.94,344.94,344.24,344.395,5000.0
122,124,344.94,345.07,344.91,345.07,700.0
123,125,344.885,344.885,344.74,344.74,200.0
124,126,345.0,345.14,344.9,344.9,2274.0
125,127,344.805,344.805,344.805,344.805,100.0
126,128,344.93,345.0,344.78,344.963,1400.0
127,129,345.1486,345.1486,345.1486,345.1486,100.0
128,130,344.785,345.0,344.74800000000005,345.0,2800.0
129,131,344.525,344.72,344.459,344.72,1300.0
130,132,344.14,344.715,344.14,344.52,5621.0
131,133,344.24800000000005,344.42,344.24800000000005,344.42,300.0
132,134,344.37,344.37,344.37,344.37,100.0
133,135,344.09,344.42,343.88,344.42,3200.0
134,136,344.02,344.495,343.912,343.98,6450.0
135,137,344.04,344.515,343.98,344.17,1900.0
136,138,344.57,344.5719,344.13,344.13,1700.0
137,139,344.76,344.88,344.54,344.56,900.0
138,140,344.56,344.885,344.56,344.71,900.0
139,141,344.88,344.95,344.62,344.75,1900.0
140,142,344.62,344.9547,344.62,344.83,1600.0
141,143,344.57,344.94,344.57,344.68,2425.0
142,144,344.86,344.86,344.33,344.33,9100.0
143,145,344.87,345.1,344.625,344.785,7000.0
144,146,344.885,344.885,344.255,344.88,2389.0
145,147,344.83,345.01,344.35,344.74,2900.0
146,148,344.65,344.7,344.53,344.68,700.0
147,149,345.06,345.06,344.65,344.65,800.0
148,150,345.14,345.14,344.91,344.935,1100.0
149,151,344.9,345.095,344.89,344.95,2000.0
150,152,345.065,345.065,345.0,345.05,700.0
151,153,344.96,344.96,344.9,344.9,700.0
152,154,344.43,345.15,344.43,345.05,3900.0
153,155,344.81,344.81,344.52,344.56,2400.0
154,156,344.87,345.28,344.67,344.865,2000.0
155,157,344.69,344.69,344.59,344.59,300.0
156,158,344.78,344.82,344.59,344.63,800.0
157,159,344.97,344.97,344.97,344.97,100.0
158,160,344.34,344.55,344.29,344.55,900.0
159,161,344.4274,344.44,344.26,344.26,550.0
160,162,344.68,344.8,344.68,344.74,700.0
161,163,344.8725,344.98,344.79,344.79,800.0
162,164,344.61,345.005,344.42,345.005,1200.0
163,165,344.63,344.63,344.63,344.63,200.0
164,166,343.85,344.45,343.85,344.45,900.0
165,167,344.25,344.25,343.88,343.8925,600.0
166,170,344.33,344.34,343.99,344.15,3754.0
167,171,345.18,345.29,344.63,344.875,2691.0
168,172,345.255,345.2825,344.851,344.851,1000.0
169,173,345.65,345.65,345.265,345.35,907.0
170,174,346.29,346.29,345.685,345.685,2615.0
171,175,346.3,346.4,346.205,346.4,1394.0
172,176,346.82099999999997,346.82099999999997,346.59,346.59,700.0
173,177,346.305,346.66,346.25,346.63,4600.0
174,178,346.79,346.79,346.33,346.33,2050.0
175,179,346.52,346.52,346.52,346.52,100.0
176,180,345.38,346.17,345.38,346.17,1400.0
177,181,345.49,345.49,345.15,345.19,600.0
178,182,345.65,345.68,345.65,345.68,200.0
179,184,345.58,345.58,345.31,345.32,900.0
180,185,347.25,347.25,345.93,345.93,1600.0
181,186,346.58,346.58,346.54,346.54,200.0
182,187,346.93,346.93,346.9,346.9,300.0
183,188,346.86,346.93,346.42,346.61,1000.0
184,190,346.67,346.82,346.67,346.79,300.0
185,192,346.58,346.76,346.58,346.69,1300.0
186,193,346.79,346.79,346.79,346.79,100.0
187,195,345.35,346.34,345.35,346.34,3929.0
188,196,346.05,346.05,345.5,345.6979,800.0
189,197,345.25,345.81,345.25,345.54,1000.0
190,198,344.4,345.79,344.4,345.79,1297.0
191,199,344.78,344.78,344.78,344.78,100.0
192,200,344.75,344.75,344.75,344.75,100.0
193,201,344.92,345.15,344.75,344.79,2406.0
194,202,344.94,344.94,344.88,344.88,400.0
195,203,345.01,345.11,344.86,345.11,1000.0
196,204,345.05,345.18,345.04,345.04,500.0
197,205,344.99,344.99,344.98,344.98,1000.0
198,206,345.22,345.22,344.99,344.99,500.0
199,209,345.19,345.19,345.19,345.19,100.0
200,210,345.0438,345.0438,344.925,345.01,300.0
201,211,345.54,345.54,344.98,344.99,1500.0
202,212,345.38,345.38,345.38,345.38,100.0
203,213,345.36,345.36,345.36,345.36,100.0
204,214,345.31,345.55,345.29,345.31,2800.0
205,215,345.16,345.39,344.98,345.36,1400.0
206,216,345.19,345.21,345.18,345.18,500.0
207,217,345.31,345.31,345.31,345.31,100.0
208,218,345.49199999999996,345.49199999999996,345.49199999999996,345.49199999999996,100.0
209,219,344.865,345.14,344.5748,345.12,1800.0
210,221,345.02,345.02,345.02,345.02,200.0
211,222,345.23,345.36,345.02,345.04,3200.0
212,223,345.33,345.37,345.25,345.25,1000.0
213,224,345.35,345.4,345.15,345.33,2579.0
214,225,345.25,345.47,345.25,345.47,300.0
215,226,344.8011,345.02,344.8011,345.02,400.0
216,227,344.64,345.0,344.605,344.92,1400.0
217,228,344.44,344.49,344.44,344.49,600.0
218,230,344.56,344.62,344.48,344.48,879.0
219,232,344.0,344.5,343.93,344.48,3125.0
220,233,344.08,344.18,343.8175,344.1,7199.0
221,234,344.32,344.5,343.94,344.22,1700.0
222,235,344.55,344.62,344.55,344.61,600.0
223,236,344.37,344.59,344.3,344.59,1100.0
224,237,344.5,344.81,344.5,344.61,1000.0
225,238,344.43,344.43,344.4,344.4,600.0
226,239,344.4,344.4,344.21,344.3025,2100.0
227,240,344.2,344.27,344.04,344.04,300.0
228,241,343.925,344.15,343.89,344.13,1100.0
229,242,343.945,343.945,343.74,343.945,3600.0
