,0,1,2,3,4,5
1954,,68.0,68.09,68.0,68.02,36462
1955,1.0,67.96,68.24,67.77,68.03,25118
1956,2.0,68.1792,68.25,67.88,67.88600000000001,29716
1957,3.0,67.91,68.25,67.52,68.24,66940
1958,4.0,67.65,67.96,67.65,67.9,52491
1959,5.0,67.5,68.0,67.5,67.69,74040
1960,6.0,67.38,67.5,67.35,67.5,85502
1961,7.0,67.33,67.39,67.29,67.38,36146
1962,8.0,67.25,67.67,67.25,67.33,28021
1963,9.0,67.15,67.32,67.11,67.265,28319
1964,10.0,67.01,67.17,67.01,67.17,22751
1965,11.0,66.22,67.035,66.1,67.03,85568
1966,12.0,65.6799,66.5,65.63,66.2299,77630
1967,13.0,66.05,66.19,65.64,65.6799,159352
1968,14.0,66.01,66.06,65.67,66.005,102501
1969,15.0,65.76,66.1,65.7,66.04,43995
1970,16.0,65.7,65.84,65.65,65.76,51255
1971,17.0,65.9375,66.11,65.69,65.6992,100562
1972,18.0,66.295,66.36,65.93,65.945,62224
1973,19.0,66.49,66.49,66.295,66.295,55127
1974,20.0,66.66,66.66,66.46,66.49,52389
1975,21.0,66.67,66.81,66.61,66.63,79152
1976,22.0,66.39,66.67,66.34,66.67,23041
1977,23.0,66.09,66.36,66.09,66.36,25092
1978,24.0,66.12,66.17,66.03,66.08,28470
1979,25.0,66.14,66.23,66.09,66.12,33025
1980,26.0,66.25,66.28,66.11,66.16,45170
1981,27.0,66.1,66.23,66.1,66.23,28444
1982,28.0,65.88,66.13,65.865,66.11,43683
1983,29.0,65.94,66.02,65.86,65.91,19076
1984,30.0,66.09,66.12899999999999,65.95,65.97,19600
1985,31.0,66.2,66.22,66.06,66.07,63539
1986,32.0,66.38,66.4,66.16,66.16,17578
1987,33.0,66.49,66.49,66.24,66.39,21902
1988,34.0,66.59,66.63,66.47,66.47,50549
1989,35.0,66.4122,66.59,66.4122,66.59,31362
1990,36.0,66.23,66.4084,66.23,66.4084,18209
1991,37.0,66.12,66.26,66.07,66.2,21234
1992,38.0,66.2,66.23,66.1,66.13,13273
1993,39.0,66.22,66.22,66.13,66.19,8776
1994,40.0,66.11,66.24,66.09,66.215,15748
1995,41.0,66.247,66.247,66.12,66.12,6400
1996,42.0,66.38,66.425,66.25,66.25,18914
1997,43.0,66.37,66.43,66.35,66.41,21918
1998,44.0,66.29,66.38,66.25,66.38,11350
1999,45.0,66.29,66.38,66.27,66.29,15560
2000,46.0,66.1,66.31,66.04,66.29,19143
2001,47.0,66.07,66.19,66.05,66.1,9691
2002,48.0,65.94,66.08,65.94,66.05,17578
2003,49.0,66.05,66.05,65.89,65.9526,39793
2004,50.0,66.05,66.16,66.04,66.06,39415
2005,51.0,65.94,66.08,65.9,66.06,13119
2006,52.0,65.83,65.9,65.73,65.9,35164
2007,53.0,65.82,65.82,65.74,65.8198,15653
2008,54.0,65.88,65.88,65.78,65.81,15218
2009,55.0,65.96,65.96,65.82,65.87,14026
2010,56.0,65.97,65.99,65.91,65.96,9772
2011,57.0,65.9,66.0,65.89,65.96,10724
2012,58.0,65.92,65.98,65.9,65.9,9389
2013,59.0,65.92,65.93,65.87,65.92,10147
2014,60.0,65.92,65.95,65.86,65.92,9868
2015,61.0,66.08,66.08,65.92,65.92,16134
2016,62.0,66.0,66.07,65.99,66.07,16415
2017,63.0,65.95,66.03,65.93,65.995,70405
2018,64.0,65.93,65.98,65.92,65.93,22616
2019,65.0,65.99,66.02,65.94,65.95,18400
2020,66.0,65.95,65.99,65.9,65.99,41700
2021,67.0,66.04,66.04,65.93,65.96,33838
2022,68.0,66.09,66.22,66.05,66.05,27297
2023,69.0,66.11,66.15,66.09,66.11,35400
2024,70.0,66.1016,66.14,66.07,66.12,44750
2025,71.0,66.21,66.26,66.0,66.09,24024
2026,72.0,66.39,66.4,66.24,66.25,31167
2027,73.0,66.35,66.415,66.32,66.38,29447
2028,74.0,66.35,66.35,66.26,66.35,15956
2029,75.0,66.255,66.35,66.24,66.35,18347
2030,76.0,66.295,66.31,66.24,66.25,9403
2031,77.0,66.205,66.31,66.1801,66.31,27830
2032,78.0,66.35,66.35,66.19,66.19,16188
2033,79.0,66.39,66.4,66.33,66.34,33824
2034,80.0,66.46,66.46,66.39,66.4,25508
2035,81.0,66.44,66.51,66.4301,66.46,14173
2036,82.0,66.53,66.53,66.45,66.45,26572
2037,83.0,66.52,66.6,66.48,66.52,34375
2038,84.0,66.48,66.59,66.48,66.51,11116
2039,85.0,66.53,66.55,66.47,66.49,8800
2040,86.0,66.465,66.54,66.46,66.51,29573
2041,87.0,66.455,66.48,66.41,66.46,17920
2042,88.0,66.51,66.54,66.45,66.47,10250
2043,89.0,66.64,66.64,66.5,66.5,9977
2044,90.0,66.655,66.68,66.62,66.645,12541
2045,91.0,66.62,66.67,66.61,66.64,28220
2046,92.0,66.51,66.63,66.48,66.62,17424
2047,93.0,66.51,66.55,66.49,66.51,13100
2048,94.0,66.605,66.605,66.52,66.52,12210
2049,95.0,66.69,66.69,66.6,66.605,13454
2050,96.0,66.7,66.72,66.66,66.67,21091
2051,97.0,66.69,66.69,66.66,66.68,8100
2052,98.0,66.63,66.7299,66.6,66.68,22059
2053,99.0,66.47,66.6,66.43,66.6,50465
2054,100.0,66.5,66.544,66.45,66.47,25463
2055,101.0,66.44,66.52,66.44,66.49,14657
2056,102.0,66.45,66.48,66.43,66.45,17667
2057,103.0,66.5125,66.52,66.44,66.44,22874
2058,104.0,66.52,66.52,66.49,66.52,26584
2059,105.0,66.5,66.55,66.49,66.52,18203
2060,106.0,66.5,66.51,66.48,66.49,37658
2061,107.0,66.52,66.53,66.49,66.5,13899
2062,108.0,66.5,66.53,66.49,66.52,18344
2063,109.0,66.6,66.61,66.48,66.5,19035
2064,110.0,66.5,66.61,66.5,66.58,7743
2065,111.0,66.465,66.51,66.46,66.5,31076
2066,112.0,66.475,66.51,66.38,66.47,36770
2067,113.0,66.27,66.47,66.18,66.47,65553
2068,114.0,66.32,66.35,66.22,66.26,36339
2069,115.0,66.3302,66.36,66.29,66.3,12893
2070,116.0,66.48,66.49,66.335,66.34,22966
2071,117.0,66.61,66.61,66.44,66.46,29487
2072,118.0,66.58,66.66,66.575,66.5991,28770
2073,119.0,66.59,66.6,66.48,66.58,19497
2074,120.0,66.61,66.61,66.52,66.56,12773
2075,121.0,66.4901,66.66,66.47,66.62,17409
2076,122.0,66.53,66.545,66.49,66.51,13599
2077,123.0,66.55,66.565,66.52,66.54,14133
2078,124.0,66.43,66.55,66.35,66.55,11242
2079,125.0,66.3671,66.47,66.3,66.44,11632
2080,126.0,66.3201,66.3625,66.29,66.35,19208
2081,127.0,66.33,66.34,66.29,66.31,17546
2082,128.0,66.28,66.33,66.26,66.33,13467
2083,129.0,66.265,66.3,66.25,66.27,15307
2084,130.0,66.26,66.27,66.22,66.26,9029
2085,131.0,66.27,66.31,66.25,66.26,8500
2086,132.0,66.2,66.26,66.17,66.26,21890
2087,133.0,66.17,66.21,66.17,66.2,14571
2088,134.0,66.11,66.18,66.1,66.16,20243
2089,135.0,66.15,66.1564,66.07,66.11,18650
