,0,1,2,3,4,5
0,,115.15,115.15,115.15,115.15,9762
1,1.0,114.48,115.13,114.48,115.13,300
2,2.0,114.6,114.6,114.56,114.56,300
3,3.0,114.8,114.8,114.8,114.8,100
4,5.0,114.79,114.79,114.79,114.79,100
5,6.0,114.76,114.815,114.66,114.7897,2801
6,7.0,114.685,114.685,114.685,114.685,200
7,8.0,114.72,114.73,114.66,114.66,665
8,9.0,114.66,114.66,114.66,114.66,200
9,10.0,114.56,114.65,114.54,114.5713,1044
10,11.0,114.38,114.54,114.38,114.54,700
11,12.0,114.21,114.28,114.19,114.28,1093
12,14.0,114.28,114.28,114.22,114.22,200
13,15.0,114.22,114.33,114.22,114.33,700
14,16.0,114.15,114.21,114.08,114.14,900
15,17.0,114.04,114.14,114.04,114.14,400
16,18.0,114.22,114.22,114.07,114.07,2217
17,19.0,114.23,114.23,114.23,114.23,200
18,20.0,114.24,114.32,114.24,114.3,400
19,21.0,114.2,114.25,114.2,114.25,400
20,22.0,114.21,114.22,114.14,114.14,900
21,23.0,114.29,114.33,114.28,114.3,1100
22,24.0,114.29,114.29,114.29,114.29,100
23,25.0,114.4,114.4,114.36,114.36,200
24,27.0,114.37,114.4,114.33,114.33,723
25,28.0,114.56,114.6,114.4,114.4,2000
26,29.0,114.535,114.535,114.535,114.535,400
27,30.0,114.52,114.52,114.52,114.52,100
28,31.0,114.48,114.5,114.48,114.485,637
29,32.0,114.47,114.47,114.47,114.47,100
30,33.0,114.58,114.58,114.52,114.52,500
31,35.0,114.55,114.57,114.55,114.57,200
32,36.0,114.54,114.66,114.54,114.61,1100
33,38.0,114.52,114.54,114.52,114.54,200
34,39.0,114.505,114.505,114.48,114.5,700
35,42.0,114.51,114.51,114.51,114.51,200
36,43.0,114.52,114.5699,114.52,114.5699,979
37,44.0,114.57,114.57,114.51,114.51,500
38,45.0,114.55,114.59,114.53,114.59,1343
39,46.0,114.62,114.65,114.57,114.59,1734
40,47.0,114.65,114.65,114.61,114.61,300
41,50.0,114.7,114.71,114.7,114.71,700
42,51.0,114.67,114.73,114.67,114.68,1444
43,52.0,114.61,114.61,114.61,114.61,100
44,53.0,114.53,114.6,114.53,114.6,1500
45,55.0,114.52,114.52,114.47,114.52,300
46,57.0,114.52,114.52,114.52,114.52,424
47,59.0,114.69,114.69,114.66,114.67,700
48,61.0,114.68799999999999,114.68799999999999,114.68799999999999,114.68799999999999,200
49,62.0,114.625,114.68,114.625,114.66,879
50,63.0,114.75,114.75,114.68,114.68,918
51,65.0,114.79,114.83,114.79,114.83,1025
52,66.0,114.64,114.76,114.64,114.76,500
53,67.0,114.64,114.64,114.58,114.6,600
54,68.0,114.68,114.68,114.65,114.65,300
55,69.0,114.68,114.68,114.66,114.66,300
56,70.0,114.7089,114.7089,114.7089,114.7089,991
57,71.0,114.67,114.69,114.63,114.65,3355
58,72.0,114.63,114.63,114.63,114.63,128
59,73.0,114.66,114.68,114.65,114.65,900
60,75.0,114.63,114.63,114.59,114.6,900
61,76.0,114.63,114.63,114.61,114.61,200
62,77.0,114.62,114.62,114.57,114.57,400
