,0,1,2,3,4,5
2166,,58.15,58.23,58.15,58.19,185191
2167,1.0,58.07,58.227,58.04,58.17,16083
2168,2.0,58.05,58.117,57.97,58.1,18745
2169,3.0,58.05,58.06,58.001000000000005,58.045,4688
2170,4.0,58.03,58.06,58.01,58.03,18126
2171,5.0,58.04,58.11,57.98,58.025,22642
2172,6.0,58.02,58.05,57.99,58.03,32658
2173,7.0,57.94,58.02,57.93,58.01,18874
2174,8.0,57.86,57.9507,57.86,57.95,31521
2175,9.0,57.99,57.99,57.86,57.86,34350
2176,10.0,57.9999,58.04,57.98,58.0,17601
2177,11.0,58.06,58.13,58.0,58.0,15564
2178,12.0,58.07,58.11,58.05,58.071000000000005,13493
2179,13.0,58.09,58.09,58.01,58.07,10714
2180,14.0,58.08,58.09,58.01,58.08,15611
2181,15.0,58.15,58.18,58.0802,58.0802,6750
2182,16.0,58.09,58.15,58.07,58.1324,8249
2183,17.0,58.1012,58.11,58.07,58.09,19244
2184,18.0,58.13,58.13,58.1,58.1,45427
2185,19.0,58.12,58.155,58.12,58.13,16860
2186,20.0,58.12,58.138999999999996,58.1,58.12,15450
2187,21.0,58.05,58.12,58.05,58.12,18423
2188,22.0,58.065,58.07,58.03,58.04,25351
2189,23.0,58.06,58.07,58.05,58.065,12266
2190,24.0,58.07,58.08,58.06,58.06,13337
2191,25.0,58.068999999999996,58.07,58.06,58.07,23951
2192,26.0,58.0941,58.11,58.07,58.07,27733
2193,27.0,58.06,58.1,58.05,58.095,32526
2194,28.0,58.0911,58.1,58.05,58.05,10766
2195,29.0,58.125,58.13,58.1,58.1,7612
2196,30.0,58.13,58.13,58.12,58.12,6484
2197,31.0,58.12,58.13,58.07,58.13,28796
2198,32.0,58.125,58.14,58.12,58.1251,20899
2199,33.0,58.125,58.13,58.1192,58.12,9503
2200,34.0,58.125,58.13,58.12,58.12,3597
2201,35.0,58.125,58.13,58.12,58.125,3464
2202,36.0,58.19,58.19,58.12,58.125,30427
2203,37.0,58.195,58.2,58.17,58.2,11216
2204,38.0,58.24,58.25,58.195,58.2,27519
2205,39.0,58.1705,58.24,58.1705,58.24,13723
2206,40.0,58.22,58.23,58.17,58.1751,21821
2207,41.0,58.21,58.22,58.2,58.22,14058
2208,42.0,58.21,58.22,58.19,58.2,35698
2209,43.0,58.23,58.23,58.2,58.205,14481
2210,44.0,58.25,58.25,58.225,58.23,26546
2211,45.0,58.24,58.25,58.24,58.25,6052
2212,46.0,58.17,58.25,58.17,58.25,44841
2213,47.0,58.14,58.16,58.14,58.16,51675
2214,48.0,58.0742,58.14,58.05,58.14,47885
2215,49.0,58.0799,58.08,58.07,58.0737,8928
2216,50.0,58.03,58.08,58.02,58.07,28161
2217,51.0,58.04,58.055,58.02,58.03,42404
2218,52.0,58.0436,58.05,58.04,58.045,10862
2219,53.0,58.03,58.0501,58.03,58.045,29354
2220,54.0,57.98,58.03,57.98,58.03,17031
2221,55.0,57.958999999999996,57.985,57.9438,57.985,18641
2222,56.0,58.0,58.0,57.945,57.955,20991
2223,57.0,58.0,58.02,58.0,58.0,25583
2224,58.0,58.013000000000005,58.0269,58.0014,58.0014,21755
2225,59.0,58.0,58.02,57.99,58.02,10639
2226,60.0,57.99,58.0,57.98,58.0,14920
2227,61.0,58.0,58.01,57.98,57.99,15745
2228,62.0,58.0199,58.02,58.0,58.0,17729
2229,63.0,58.03,58.05,58.0,58.0164,11580
2230,64.0,58.01,58.0339,58.0,58.03,6971
2231,65.0,58.035,58.04,58.01,58.01,4179
2232,66.0,58.04,58.05,58.03,58.04,16434
2233,67.0,58.05,58.06,58.03,58.04,12111
2234,68.0,58.06,58.07,58.05,58.05,18096
2235,69.0,58.1084,58.11,58.06,58.06,12806
2236,70.0,58.075,58.1099,58.07,58.1,15104
2237,71.0,58.07,58.08,58.06,58.07,11828
2238,72.0,58.065,58.09,58.06,58.07,39667
2239,73.0,58.0287,58.065,58.02,58.06,20870
2240,74.0,58.0442,58.045,58.02,58.0209,14569
2241,75.0,58.0052,58.043,58.0052,58.043,8979
2242,76.0,58.01,58.02,57.99,58.0,17853
2243,77.0,58.0,58.02,58.0,58.01,7757
2244,78.0,58.02,58.02,58.0,58.01,3931
2245,79.0,58.02,58.03,58.0,58.01,9018
2246,80.0,58.035,58.04,58.02,58.03,9296
2247,81.0,58.03,58.035,58.02,58.035,10425
2248,82.0,58.0,58.035,58.0,58.03,21931
2249,83.0,58.01,58.01,58.0,58.0069,29122
2250,84.0,58.03,58.03,58.005,58.01,7582
2251,85.0,58.0556,58.06,58.025,58.025,6590
2252,86.0,58.05,58.06,58.05,58.06,3260
2253,87.0,58.055,58.06,58.05,58.06,4289
2254,88.0,58.07,58.08,58.053000000000004,58.055,8398
2255,89.0,58.05,58.075,58.05,58.07,14329
2256,90.0,58.05,58.055,58.05,58.05,8158
2257,91.0,58.06,58.06,58.05,58.0501,3271
2258,92.0,58.06,58.07,58.05,58.06,20035
2259,93.0,58.07,58.08,58.05,58.06,20562
2260,94.0,58.07,58.075,58.0699,58.07,9600
2261,95.0,58.07,58.0785,58.065,58.0745,16289
2262,96.0,58.085,58.09,58.065,58.07,17862
2263,97.0,58.1,58.11,58.08,58.08,52859
2264,98.0,58.17,58.17,58.09,58.1,49747
2265,99.0,58.16,58.17,58.16,58.16,8100
2266,100.0,58.155,58.16,58.15,58.16,6911
2267,101.0,58.19,58.2,58.16,58.16,15956
2268,102.0,58.15,58.18,58.15,58.18,22206
2269,103.0,58.155,58.155,58.11,58.15,25493
2270,104.0,58.135,58.15,58.13,58.15,8402
2271,105.0,58.14,58.16,58.13,58.14,56368
2272,106.0,58.18,58.2,58.14,58.14,51769
2273,107.0,58.16,58.19,58.1599,58.17,6710
2274,108.0,58.18,58.18,58.14,58.16,16769
2275,109.0,58.18,58.18,58.16,58.18,9983
2276,110.0,58.18,58.19,58.17,58.17,21283
2277,111.0,58.155,58.185,58.15,58.1701,9070
2278,112.0,58.14,58.1573,58.14,58.1573,7106
2279,113.0,58.1,58.14,58.1,58.14,4149
2280,114.0,58.12,58.125,58.1,58.1,9386
2281,115.0,58.1,58.1158,58.085,58.1158,15249
2282,116.0,58.1099,58.11,58.09,58.1,10455
2283,117.0,58.105,58.12,58.1,58.12,8027
2284,118.0,58.1,58.12,58.0948,58.1,12534
2285,119.0,58.11,58.11,58.095,58.1,12685
2286,120.0,58.11,58.12,58.108999999999995,58.108999999999995,4185
2287,121.0,58.11,58.12,58.1,58.11,7575
2288,122.0,58.11,58.12,58.09,58.11,46262
2289,123.0,58.11,58.12,58.11,58.115,15286
2290,124.0,58.1146,58.12,58.11,58.115,4750
2291,125.0,58.12,58.14,58.115,58.115,19945
2292,126.0,58.1195,58.12,58.11,58.12,11240
2293,127.0,58.14,58.14,58.11,58.12,9804
2294,128.0,58.16,58.16,58.14,58.145,5284
2295,129.0,58.18,58.18,58.15,58.16,17909
2296,130.0,58.1999,58.21,58.19,58.19,11035
2297,131.0,58.1989,58.2,58.19,58.19,5105
2298,132.0,58.16,58.19,58.1456,58.19,28510
2299,133.0,58.15,58.16,58.15,58.16,1995
2300,134.0,58.1301,58.15,58.1301,58.15,20109
2301,135.0,58.1175,58.14,58.11,58.131,11603
2302,136.0,58.1235,58.13,58.12,58.13,2401
2303,137.0,58.1,58.12,58.1,58.12,8530
2304,138.0,58.07,58.1034,58.07,58.1034,23604
2305,139.0,58.07,58.08,58.07,58.07,14613
2306,140.0,58.085,58.09,58.07,58.07,14083
2307,141.0,58.08,58.09,58.08,58.08,13144
2308,142.0,58.085,58.09,58.08,58.085,10759
2309,143.0,58.08,58.09,58.07,58.08,23321
2310,144.0,58.075,58.085,58.07,58.08,8102
2311,145.0,58.075,58.08,58.07,58.075,4692
2312,146.0,58.07,58.077,58.07,58.07,1479
2313,147.0,58.075,58.08,58.06,58.07,13640
2314,148.0,58.071000000000005,58.08,58.07,58.08,6570
2315,149.0,58.07,58.08,58.065,58.07,16584
2316,150.0,58.075,58.08,58.07,58.07,6050
2317,151.0,58.075,58.09,58.07,58.07,70820
2318,152.0,58.065,58.08,58.05,58.075,21446
2319,153.0,58.0641,58.07,58.06,58.06,3128
2320,154.0,58.065,58.07,58.06,58.0601,3505
2321,155.0,58.06,58.07,58.06,58.065,2368
2322,156.0,58.04,58.0698,58.04,58.06,13430
2323,157.0,58.04,58.05,58.04,58.04,2301
2324,158.0,58.04,58.05,58.04,58.045,10094
2325,159.0,58.05,58.05,58.04,58.045,10631
2326,160.0,58.04,58.06,58.04,58.045,17591
2327,161.0,58.05,58.05,58.04,58.04,2736
2328,162.0,58.042,58.06,58.04,58.045,15549
2329,163.0,58.0459,58.05,58.04,58.045,5550
2330,164.0,58.01,58.05,58.01,58.05,18160
2331,165.0,58.01,58.02,58.01,58.015,20642
2332,166.0,58.0,58.02,57.98,58.02,34656
2333,167.0,57.98,58.0,57.98,57.9932,14860
2334,168.0,57.96,57.9899,57.955,57.98,31636
2335,169.0,57.9859,57.99,57.95,57.96,20634
2336,170.0,57.98,57.98,57.9601,57.98,4906
2337,171.0,57.9866,57.99,57.975,57.99,36311
2338,172.0,57.9931,58.0,57.98,57.9832,3470
2339,173.0,58.0138,58.015,57.995,58.0,4783
2340,174.0,57.995,58.015,57.995,58.01,6758
2341,175.0,58.0035,58.0099,57.9946,57.995,3820
2342,176.0,57.99,58.005,57.99,58.0,6616
2343,177.0,57.96,57.9957,57.96,57.9957,2896
2344,178.0,57.965,57.97,57.96,57.9638,2564
2345,179.0,57.955,57.965,57.95,57.96,12981
2346,180.0,57.93,57.96,57.93,57.95,12678
2347,181.0,57.94,57.95,57.935,57.935,9530
2348,182.0,57.94,57.95,57.94,57.945,1542
2349,183.0,57.915,57.945,57.91,57.945,15524
2350,184.0,57.935,57.935,57.9134,57.9134,11529
2351,185.0,57.96,57.96,57.94,57.94,8349
2352,186.0,57.96,57.96,57.95,57.9531,17094
2353,187.0,57.96,57.96,57.951,57.96,4464
2354,188.0,57.9599,57.96,57.95,57.96,2852
2355,189.0,57.95,57.96,57.95,57.957,3100
2356,190.0,57.9525,57.9579,57.95,57.955,4092
2357,191.0,57.955,57.96,57.95,57.955,3712
2358,192.0,57.9999,58.0,57.95,57.955,24843
2359,193.0,57.9744,58.0,57.97,58.0,19026
2360,194.0,57.97,57.98,57.97,57.98,2457
2361,195.0,57.975,57.975,57.97,57.97,5930
2362,196.0,57.975,57.98,57.97,57.9721,2900
2363,197.0,58.0,58.0,57.975,57.975,10600
2364,198.0,57.97,57.995,57.97,57.995,8625
2365,199.0,57.985,57.99,57.97,57.9762,4207
2366,200.0,58.013000000000005,58.013000000000005,57.9837,57.9899,10355
2367,201.0,58.02,58.02,58.01,58.015,9423
2368,202.0,58.01,58.02,58.0,58.02,24556
2369,203.0,57.99,58.0,57.98,58.0,10115
2370,204.0,57.98,57.99,57.98,57.985,2200
2371,205.0,57.99,57.99,57.98,57.9867,4900
2372,206.0,57.99,58.0,57.99,57.99,3790
2373,207.0,57.9999,58.0,57.995,58.0,1600
2374,208.0,58.01,58.02,57.995,58.0,6100
2375,209.0,58.015,58.02,58.01,58.0134,750
2376,210.0,58.016000000000005,58.02,58.0146,58.02,2486
2377,211.0,58.02,58.02,58.01,58.02,2100
2378,212.0,58.02,58.02,58.01,58.02,1900
2379,213.0,58.015,58.02,58.0137,58.02,3063
2380,214.0,58.015,58.02,58.0108,58.0159,2086
2381,215.0,58.0107,58.02,58.0107,58.02,4245
2382,216.0,58.015,58.018,58.01,58.0125,1167
2383,217.0,58.02,58.02,58.015,58.015,2400
2384,218.0,58.01,58.02,58.01,58.015,6870
2385,219.0,58.01,58.02,58.01,58.015,2791
2386,220.0,58.015,58.015,58.01,58.015,780
2387,221.0,57.995,58.0199,57.99,58.0199,10642
2388,222.0,58.0,58.005,57.995,57.995,14812
2389,223.0,58.01,58.01,57.99,57.995,17143
2390,224.0,58.005,58.01,58.0,58.0,1741
2391,225.0,58.005,58.01,58.0,58.0,2009
2392,226.0,58.02,58.02,58.0,58.01,6125
2393,227.0,58.01,58.0199,58.01,58.011,720
2394,228.0,58.005,58.015,58.0,58.01,5632
2395,229.0,58.01,58.01,58.0,58.01,1790
2396,230.0,58.01,58.015,58.0,58.01,8364
2397,231.0,58.0,58.005,57.99,58.005,6968
2398,232.0,57.99,58.0,57.99,57.995,1640
2399,233.0,57.995,58.0,57.99,57.995,2988
2400,234.0,57.995,58.0,57.99,57.995,1500
2401,235.0,58.0055,58.01,57.995,57.995,9876
2402,236.0,58.005,58.01,58.0,58.005,3200
2403,237.0,58.016999999999996,58.016999999999996,58.005,58.007,2610
2404,238.0,58.0,58.02,58.0,58.019,12210
2405,239.0,57.9941,58.0059,57.99,58.0,9062
2406,240.0,57.99,58.0,57.99,57.995,1200
2407,241.0,58.0041,58.01,57.995,57.995,5798
2408,242.0,58.0,58.0099,57.99,58.005,14642
2409,243.0,58.005,58.01,57.99,58.0,2400
2410,244.0,57.9997,58.0046,57.99,58.0,7774
2411,245.0,57.995,57.9999,57.99,57.9938,2510
2412,246.0,57.99,58.0,57.99,57.99,2800
2413,247.0,57.99,58.0,57.99,57.997,27607
2414,248.0,57.9946,58.0,57.99,57.99,2624
2415,249.0,57.998999999999995,58.0,57.99,57.99,2418
2416,250.0,57.97,57.9999,57.95,57.995,23207
2417,251.0,57.96,57.97,57.96,57.961000000000006,3979
2418,252.0,57.985,57.985,57.96,57.97,15904
2419,253.0,57.985,57.99,57.98,57.989,1278
2420,254.0,57.985,57.99,57.98,57.99,15973
2421,255.0,57.9943,58.0,57.98,57.99,3620
2422,256.0,58.0,58.0,57.99,57.995,1701
2423,257.0,57.995,58.0,57.99,57.995,7162
2424,258.0,57.995,58.0,57.99,57.995,4228
2425,259.0,58.01,58.02,57.99,57.9999,8400
2426,260.0,58.01,58.011,58.01,58.011,417
2427,261.0,58.02,58.02,58.01,58.016999999999996,3265
2428,262.0,58.04,58.04,58.015,58.015,10535
2429,263.0,58.02,58.035,58.02,58.03,13813
2430,264.0,58.025,58.03,58.02,58.03,2800
2431,265.0,58.0292,58.03,58.0201,58.03,1183
2432,266.0,58.05,58.055,58.005,58.0266,47345
2433,267.0,58.055,58.07,58.05,58.05,9281
2434,268.0,58.0599,58.0599,58.05,58.0501,1605
2435,269.0,58.04,58.055,58.03,58.05,5567
2436,270.0,58.04,58.05,58.04,58.045,3494
2437,271.0,58.0408,58.045,58.04,58.045,3125
2438,272.0,58.04,58.0463,58.03,58.045,16198
2439,273.0,58.045,58.05,58.035,58.0425,17729
2440,274.0,58.04,58.045,58.03,58.04,9407
2441,275.0,58.04,58.05,58.04,58.04,7893
2442,276.0,58.05,58.05,58.035,58.045,18510
2443,277.0,58.03,58.047,58.02,58.04,42373
