,0,1,2,3,4,5
391,,4.511,4.511,4.51,4.51,125456
392,1.0,4.515,4.52,4.51,4.52,26680
393,2.0,4.515,4.52,4.5132,4.515,88502
394,3.0,4.52,4.53,4.515,4.515,41690
395,4.0,4.5231,4.525,4.52,4.52,14444
396,5.0,4.525,4.525,4.52,4.5242,2100
397,6.0,4.52,4.53,4.52,4.525,20328
398,7.0,4.525,4.525,4.52,4.5235,1800
399,8.0,4.52,4.53,4.52,4.53,20200
400,9.0,4.52,4.53,4.52,4.53,9800
401,10.0,4.53,4.53,4.52,4.53,15300
402,11.0,4.52,4.53,4.52,4.53,33190
403,12.0,4.52,4.53,4.52,4.52,9802
404,13.0,4.51,4.525,4.51,4.52,173393
405,14.0,4.51,4.515,4.51,4.51,615
406,15.0,4.51,4.51,4.51,4.51,100
407,16.0,4.51,4.52,4.51,4.51,22529
408,17.0,4.51,4.52,4.51,4.51,9525
409,18.0,4.51,4.515,4.51,4.51,3000
410,19.0,4.51,4.511,4.51,4.51,425
411,20.0,4.51,4.51,4.51,4.51,800
412,21.0,4.519,4.519,4.51,4.5134,3200
413,22.0,4.515,4.52,4.51,4.51,61300
414,23.0,4.515,4.515,4.51,4.515,3640
415,24.0,4.51,4.52,4.51,4.51,95151
416,25.0,4.52,4.52,4.515,4.52,39291
417,26.0,4.52,4.52,4.52,4.52,28100
418,27.0,4.515,4.52,4.51,4.52,6500
419,28.0,4.515,4.52,4.515,4.515,9800
420,29.0,4.515,4.52,4.515,4.52,4100
421,30.0,4.515,4.52,4.51,4.52,13774
422,31.0,4.525,4.53,4.51,4.52,343067
423,32.0,4.52,4.5258,4.52,4.52,237914
424,33.0,4.52,4.53,4.52,4.52,6379
425,34.0,4.52,4.53,4.52,4.52,8985
426,35.0,4.5201,4.5201,4.52,4.52,500
427,36.0,4.53,4.53,4.52,4.52,46064
428,37.0,4.53,4.53,4.52,4.53,8300
429,38.0,4.52,4.53,4.52,4.53,4100
430,39.0,4.5233,4.525,4.52,4.525,6900
431,40.0,4.525,4.53,4.525,4.525,24535
432,41.0,4.525,4.525,4.525,4.525,100
433,42.0,4.5278,4.53,4.525,4.53,8300
434,43.0,4.525,4.53,4.52,4.525,17192
435,44.0,4.525,4.525,4.525,4.525,100
436,45.0,4.52,4.53,4.52,4.53,8768
437,46.0,4.5251,4.5251,4.5251,4.5251,250
438,47.0,4.525,4.53,4.52,4.525,23100
439,48.0,4.525,4.525,4.525,4.525,100
440,49.0,4.525,4.525,4.52,4.525,2800
441,50.0,4.52,4.53,4.52,4.52,29578
442,51.0,4.52,4.52,4.52,4.52,1200
443,52.0,4.5245,4.5245,4.5245,4.5245,500
444,53.0,4.521,4.53,4.52,4.525,24467
445,54.0,4.525,4.53,4.52,4.52,14066
446,55.0,4.52,4.53,4.52,4.525,269266
447,56.0,4.51,4.5201,4.51,4.52,93905
448,57.0,4.51,4.515,4.51,4.515,2010
449,58.0,4.515,4.515,4.515,4.515,200
450,59.0,4.51,4.511,4.51,4.51,400
451,60.0,4.52,4.52,4.51,4.515,4700
452,61.0,4.51,4.52,4.51,4.52,4700
453,62.0,4.51,4.52,4.51,4.52,7100
454,63.0,4.515,4.52,4.51,4.515,6300
455,64.0,4.51,4.52,4.51,4.51,5700
456,65.0,4.51,4.52,4.51,4.52,7702
457,66.0,4.515,4.52,4.51,4.52,5400
458,67.0,4.515,4.52,4.51,4.51,35002
459,68.0,4.515,4.52,4.51,4.519,11670
460,69.0,4.51,4.52,4.51,4.51,7500
461,70.0,4.515,4.52,4.51,4.51,5800
462,71.0,4.515,4.52,4.51,4.52,18400
463,72.0,4.515,4.52,4.51,4.51,9332
464,73.0,4.51,4.52,4.51,4.5101,19260
465,74.0,4.51,4.52,4.51,4.52,9544
466,75.0,4.5149,4.52,4.51,4.51,7038
467,76.0,4.515,4.52,4.51,4.515,8842
468,77.0,4.52,4.52,4.51,4.52,13652
469,78.0,4.51,4.52,4.51,4.515,8300
470,79.0,4.5134,4.52,4.51,4.515,12580
471,80.0,4.51,4.52,4.51,4.51,8000
472,81.0,4.51,4.52,4.51,4.52,11495
473,82.0,4.515,4.52,4.51,4.52,13600
474,83.0,4.515,4.52,4.51,4.515,18425
475,84.0,4.515,4.52,4.51,4.515,10908
476,85.0,4.515,4.52,4.51,4.515,9651
477,86.0,4.515,4.52,4.51,4.515,7800
478,87.0,4.515,4.52,4.51,4.515,10750
479,88.0,4.515,4.52,4.51,4.52,9600
480,89.0,4.52,4.52,4.51,4.51,8400
481,90.0,4.515,4.52,4.51,4.52,4700
482,91.0,4.515,4.52,4.51,4.515,10045
483,92.0,4.51,4.52,4.51,4.52,9000
484,93.0,4.515,4.52,4.515,4.515,10800
485,94.0,4.52,4.52,4.51,4.52,57502
486,95.0,4.52,4.52,4.515,4.52,11770
487,96.0,4.515,4.52,4.515,4.52,6900
488,97.0,4.52,4.52,4.515,4.52,6009
489,98.0,4.515,4.52,4.51,4.52,7406
490,99.0,4.515,4.52,4.51,4.52,14310
491,100.0,4.515,4.52,4.51,4.52,18548
492,101.0,4.52,4.52,4.51,4.52,5589
493,102.0,4.52,4.52,4.515,4.52,4199
494,103.0,4.52,4.52,4.51,4.51,7085
495,104.0,4.515,4.52,4.51,4.52,34694
496,105.0,4.52,4.52,4.515,4.52,7603
497,106.0,4.52,4.52,4.51,4.52,8232
498,107.0,4.52,4.52,4.515,4.52,6293
499,108.0,4.52,4.52,4.515,4.52,5400
500,109.0,4.52,4.52,4.515,4.52,4900
501,110.0,4.52,4.52,4.5132,4.52,6800
502,111.0,4.52,4.52,4.52,4.52,4900
503,112.0,4.51,4.52,4.51,4.52,10034
504,113.0,4.52,4.52,4.515,4.515,5500
505,114.0,4.5142,4.52,4.5125,4.52,7095
506,115.0,4.52,4.52,4.51,4.52,6100
507,116.0,4.52,4.52,4.51,4.52,9825
508,117.0,4.51,4.52,4.51,4.52,13300
509,118.0,4.52,4.52,4.515,4.52,14505
510,119.0,4.52,4.52,4.51,4.52,12515
511,120.0,4.5199,4.52,4.515,4.52,17612
512,121.0,4.52,4.52,4.5142,4.52,6750
513,122.0,4.52,4.52,4.515,4.52,8600
514,123.0,4.52,4.52,4.51,4.52,51357
515,124.0,4.52,4.52,4.51,4.52,11600
516,125.0,4.52,4.52,4.51,4.52,13500
517,126.0,4.52,4.52,4.515,4.52,34300
518,127.0,4.52,4.52,4.52,4.52,4000
519,128.0,4.515,4.52,4.515,4.52,5900
520,129.0,4.52,4.52,4.51,4.52,20110
521,130.0,4.52,4.52,4.51,4.52,6500
522,131.0,4.5175,4.52,4.51,4.52,11700
523,132.0,4.52,4.52,4.51,4.52,11418
524,133.0,4.52,4.52,4.515,4.52,13410
525,134.0,4.52,4.52,4.51,4.52,8600
