,0,1,2,3,4,5
1784,,77.13,77.13,77.13,77.13,7711
1785,1.0,77.0,77.13,77.0,77.13,566
1786,2.0,76.852,77.0,76.852,77.0,1275
1787,3.0,77.085,77.14,77.05,77.08,1200
1788,4.0,77.16,77.17,77.046,77.17,700
1789,5.0,77.039,77.1,77.039,77.1,550
1790,6.0,77.04,77.04,77.04,77.04,100
1791,7.0,77.09,77.13,77.07,77.11,400
1792,8.0,77.2,77.2,77.1,77.15,900
1793,9.0,77.15,77.21,77.15,77.19,700
1794,10.0,77.22,77.22,77.15,77.15,700
1795,11.0,77.289,77.29,77.19,77.22,655
1796,12.0,77.335,77.405,77.2727,77.33,1064
1797,14.0,77.39,77.39,77.39,77.39,200
1798,15.0,77.42,77.42,77.42,77.42,100
1799,16.0,77.42,77.43,77.35,77.42,1600
1800,17.0,77.33,77.42,77.33,77.41,900
1801,18.0,77.245,77.375,77.22,77.33,1404
1802,19.0,77.2201,77.32,77.2201,77.32,505
1803,21.0,77.185,77.24,77.18,77.195,1000
1804,22.0,77.3,77.3,77.1918,77.1918,1000
1805,26.0,77.25,77.2675,77.25,77.2501,800
1806,27.0,77.14,77.145,77.14,77.145,200
1807,28.0,77.07,77.14,77.07,77.14,300
1808,29.0,77.0552,77.0552,77.038,77.038,500
1809,30.0,77.06,77.08,77.05,77.05,400
1810,31.0,77.08,77.08,77.04,77.04,800
1811,32.0,77.12100000000001,77.13,77.05,77.09,700
1812,33.0,77.1199,77.1199,77.09,77.09,465
1813,34.0,77.09,77.09,77.09,77.09,100
1814,35.0,77.17,77.17,77.13,77.13,200
1815,36.0,77.13,77.13,77.13,77.13,100
1816,37.0,77.146,77.16,77.146,77.16,569
1817,38.0,77.12,77.16,77.1139,77.13,1009
1818,39.0,77.14,77.14,77.11,77.11,600
1819,40.0,77.14,77.14,77.14,77.14,300
1820,42.0,77.01,77.14,77.01,77.14,2019
1821,43.0,77.05,77.05,76.99,77.01,1564
1822,44.0,77.04,77.07,77.04,77.07,500
1823,45.0,77.0588,77.06,77.04,77.06,507
1824,46.0,77.074,77.0799,77.03,77.07,1750
1825,48.0,77.02,77.06,77.02,77.0599,2415
1826,49.0,77.03,77.03,77.03,77.03,200
1827,50.0,76.9914,77.02,76.98,77.01,1523
1828,51.0,77.02,77.02,77.02,77.02,400
1829,52.0,77.08,77.08,77.03,77.03,800
1830,53.0,77.12,77.12,77.0929,77.0929,744
1831,54.0,77.0712,77.12,77.0712,77.12,1100
1832,55.0,77.074,77.08,77.06,77.08,1509
1833,56.0,77.123,77.125,77.07,77.07,1122
1834,57.0,77.123,77.123,77.123,77.123,100
1835,59.0,77.122,77.122,77.122,77.122,100
