,0,1,2,3,4,5
1152,,98.46,98.51,98.46,98.51,300255
1153,1.0,98.42,98.5174,98.15,98.25,8011
1154,2.0,98.36,98.45,98.18,98.41,5002
1155,3.0,98.41,98.41,98.2401,98.4,1232
1156,4.0,98.39,98.43,98.39,98.39,300
1157,5.0,98.59,98.59,98.44,98.44,2808
1158,6.0,98.42,98.61,98.36,98.59,5900
1159,7.0,98.5444,98.5444,98.36,98.53,2120
1160,8.0,98.48,98.48,98.43,98.43,700
1161,10.0,98.58,98.58,98.45,98.45,1800
1162,11.0,98.44,98.61,98.44,98.61,800
1163,12.0,98.35,98.58,98.33,98.48,4100
1164,13.0,98.3,98.36,98.29,98.33,6226
1165,14.0,98.16,98.31700000000001,98.16,98.22,3500
1166,15.0,98.215,98.3,98.16,98.16,4445
1167,16.0,98.04,98.24,98.04,98.18,5482
1168,17.0,98.02,98.085,98.01,98.06,4000
1169,18.0,97.97,98.04,97.96,98.04,12424
1170,19.0,98.0,98.0492,97.96,97.96,5200
1171,20.0,98.0,98.025,97.96,98.02,6895
1172,21.0,98.08,98.08,97.99,98.0,2329
1173,22.0,98.07,98.09,98.02,98.08,2105
1174,23.0,98.03,98.08,98.02,98.06,7084
1175,24.0,97.96,98.04,97.91,98.03,12850
1176,25.0,97.94,97.98,97.93,97.94,3800
1177,26.0,97.93,97.98,97.93,97.975,5405
1178,27.0,97.82,97.9,97.82,97.9,5100
1179,28.0,97.99,98.025,97.84,97.84,3607
1180,29.0,97.94,97.9826,97.92,97.9826,900
1181,30.0,97.81,97.935,97.81,97.89,6400
1182,31.0,97.78,97.845,97.78,97.8,3800
1183,32.0,97.9153,97.9236,97.78,97.81,1900
1184,33.0,97.95,97.95,97.9,97.9,700
1185,34.0,97.945,98.04,97.9,97.95,4326
1186,35.0,97.955,97.97,97.95,97.97,1096
1187,36.0,97.87,97.96,97.86,97.95,2880
1188,37.0,97.9,97.9,97.83,97.86,2420
1189,38.0,97.89,97.93,97.87,97.93,3214
1190,39.0,97.99,97.99,97.9276,97.9276,2700
1191,40.0,98.01,98.05,97.965,97.99,7450
1192,41.0,97.97,98.02,97.97,98.02,7017
1193,42.0,97.98,98.0349,97.94,97.95,3100
