,0,1,2,3,4,5
2730,,46.25,46.25,46.25,46.25,29128
2731,1.0,46.13,46.21,46.07,46.09,10500
2732,2.0,46.07,46.15,46.0,46.15,3346
2733,3.0,46.211000000000006,46.23,46.0,46.07,21641
2734,4.0,46.085,46.24,46.085,46.24,7064
2735,5.0,46.04,46.16,46.01,46.09,9000
2736,6.0,46.02,46.095,45.94,46.055,33734
2737,7.0,45.91,46.02,45.89,45.99,7648
2738,8.0,45.85,45.94,45.835,45.91,15894
2739,9.0,45.86,45.875,45.795,45.85,10592
2740,10.0,45.8999,45.8999,45.81,45.86,18925
2741,11.0,45.82,45.91,45.82,45.89,8700
2742,12.0,45.79,45.8498,45.77,45.84,7230
2743,13.0,45.79,45.845,45.75,45.8,11638
2744,14.0,45.79,45.79,45.71,45.79,65200
2745,15.0,45.77,45.79,45.73,45.79,20291
2746,16.0,45.76,46.0,45.735,45.78,37758
2747,17.0,45.715,45.77,45.715,45.77,12046
2748,18.0,45.78,45.78,45.68,45.725,14627
2749,19.0,45.765,45.79,45.765,45.79,7500
2750,20.0,45.71,45.79,45.71,45.77,26188
2751,21.0,45.75,45.775,45.705,45.71,20412
2752,22.0,45.74,45.75,45.71,45.75,12570
2753,23.0,45.76,45.79,45.73,45.73,9765
2754,24.0,45.74,45.785,45.73,45.765,13451
2755,25.0,45.74,45.81,45.74,45.746,10174
2756,26.0,45.78,45.8,45.74,45.74,11600
2757,27.0,45.88,45.885,45.755,45.77,14500
2758,28.0,45.97,45.99,45.87,45.88,6786
2759,29.0,45.995,46.06,45.98,45.99,14796
2760,30.0,45.96,46.02,45.95,46.0,13050
2761,31.0,45.909,45.99,45.9,45.98,11901
2762,32.0,45.92,45.97,45.91,45.93,13295
2763,33.0,45.91,45.94,45.905,45.93,3300
2764,34.0,45.885,45.9,45.86,45.89,6673
2765,35.0,45.82,45.88,45.82,45.88,4300
2766,36.0,45.85,45.87,45.825,45.83,7100
2767,37.0,45.87,45.895,45.85,45.86,7000
2768,38.0,45.83,45.88,45.815,45.875,9700
2769,39.0,45.795,45.83,45.78,45.83,1700
2770,40.0,45.78,45.79,45.76,45.79,6104
2771,41.0,45.77,45.78,45.74,45.78,10064
2772,42.0,45.705,45.77,45.705,45.765,32673
2773,43.0,45.68,45.73,45.68,45.7,4171
2774,44.0,45.65,45.675,45.65,45.67,2900
2775,45.0,45.65,45.65,45.64,45.64,3284
2776,46.0,45.655,45.695,45.62,45.65,14400
2777,47.0,45.625,45.655,45.625,45.65,9299
2778,48.0,45.58,45.63,45.58,45.63,8812
2779,49.0,45.5858,45.625,45.58,45.58,7300
2780,50.0,45.57,45.59,45.56,45.58,6500
2781,51.0,45.66,45.68,45.565,45.57,20873
2782,52.0,45.64,45.66,45.64,45.66,1700
2783,53.0,45.58,45.63,45.58,45.63,13000
2784,54.0,45.54,45.5838,45.53,45.57,5799
2785,55.0,45.5,45.54,45.5,45.54,4850
2786,56.0,45.505,45.54,45.495,45.505,18688
2787,57.0,45.505,45.505,45.495,45.505,15003
2788,58.0,45.47,45.51,45.46,45.5,17278
2789,59.0,45.425,45.465,45.42,45.46,20678
2790,60.0,45.445,45.46,45.425,45.43,7590
2791,61.0,45.425,45.4684,45.42,45.44,80105
2792,62.0,45.47,45.49,45.4,45.425,22936
2793,63.0,45.535,45.545,45.48,45.49,68994
2794,64.0,45.47,45.535,45.46,45.535,8232
2795,65.0,45.355,45.46,45.345,45.46,31640
2796,66.0,45.39,45.39,45.35,45.35,15300
2797,67.0,45.35,45.395,45.27,45.39,38737
2798,68.0,45.34,45.35,45.33,45.35,8300
2799,69.0,45.35,45.36,45.335,45.34,5000
2800,70.0,45.34,45.4,45.34,45.35,31302
2801,71.0,45.39,45.4,45.325,45.325,12231
2802,72.0,45.35,45.38,45.33,45.38,25890
2803,73.0,45.35,45.355,45.335,45.35,5133
2804,74.0,45.34,45.37,45.33,45.35,13922
2805,75.0,45.295,45.34,45.295,45.335,6790
2806,76.0,45.27,45.3,45.27,45.29,12367
2807,77.0,45.22,45.27,45.21,45.27,16321
2808,78.0,45.235,45.24,45.225,45.225,1936
2809,79.0,45.23,45.2349,45.22,45.23,800
2810,80.0,45.205,45.23,45.2,45.23,4451
2811,81.0,45.18,45.22,45.178999999999995,45.22,5900
2812,82.0,45.18,45.18,45.155,45.16,4400
2813,83.0,45.165,45.18,45.155,45.18,3525
2814,84.0,45.18,45.18,45.155,45.16,2750
2815,85.0,45.15,45.17,45.15,45.17,1700
2816,86.0,45.2,45.2,45.145,45.15,9792
2817,87.0,45.225,45.23,45.19,45.2,16500
2818,88.0,45.245,45.245,45.2,45.23,6860
2819,89.0,45.21,45.25,45.21,45.25,5393
2820,90.0,45.18,45.21,45.165,45.21,5335
2821,91.0,45.21,45.21,45.195,45.2,3900
2822,92.0,45.185,45.205,45.18,45.205,7027
2823,93.0,45.165,45.18,45.13,45.18,6500
2824,94.0,45.14,45.16,45.14,45.16,1700
2825,95.0,45.11,45.145,45.11,45.136,3898
2826,96.0,45.1,45.12,45.095,45.11,9174
2827,97.0,45.075,45.09,45.065,45.09,5787
2828,98.0,45.095,45.095,45.06,45.09,6000
2829,99.0,45.085,45.1,45.085,45.09,3700
2830,100.0,45.06,45.09,45.06,45.08,3500
2831,101.0,45.07,45.08,45.05,45.07,7620
2832,102.0,45.04,45.06,45.035,45.06,6600
2833,103.0,45.06,45.09,45.04,45.04,6700
2834,104.0,45.06,45.08,45.06,45.06,4645
2835,105.0,45.09,45.095,45.05,45.05,33203
