,0,1,2,3,4,5
2334,,68.25,68.3,68.25,68.26,15154
2335,1.0,68.05,68.3,68.05,68.3,6324
2336,2.0,67.74,68.17,67.72,68.1,20948
2337,3.0,67.82,68.13,67.74,67.74,9486
2338,4.0,67.8801,67.9541,67.82,67.82,6314
2339,5.0,67.8,67.9494,67.8,67.88,3035
2340,6.0,67.825,67.97,67.72,67.8,1585
2341,7.0,67.93,67.93,67.8201,67.8201,8475
2342,8.0,67.9,67.95,67.85,67.89,12372
2343,9.0,67.95,67.975,67.88,67.92,4675
2344,10.0,67.94,67.99,67.9,67.94,2739
2345,11.0,67.95,67.99,67.88,67.93,26609
2346,12.0,67.91,67.945,67.86,67.92,3808
2347,13.0,67.95,67.99,67.88,67.88,5217
2348,14.0,67.9101,67.9729,67.91,67.95,1242
2349,15.0,67.96,67.99,67.92,67.93,1439
2350,16.0,67.97,68.05,67.96,67.99,11014
2351,17.0,68.0,68.0,67.95,67.97,5077
2352,18.0,67.98,68.01,67.95,68.01,1423
2353,19.0,67.955,67.96,67.93,67.96,5348
2354,20.0,68.0,68.01,67.92,67.94,9215
2355,21.0,67.95,67.98,67.93,67.9601,3644
2356,22.0,67.97,68.0065,67.95,67.95,3038
2357,23.0,67.952,68.0,67.952,67.9601,2553
2358,24.0,67.953,67.96,67.91,67.94,900
2359,25.0,67.94,67.96,67.89,67.93,2900
2360,26.0,68.0,68.0,67.96,67.96,4079
2361,27.0,67.96,68.02,67.96,67.97,1500
2362,28.0,67.97,68.01,67.96,67.991,8734
2363,29.0,67.97,68.0,67.96,68.0,4000
2364,30.0,68.0,68.0,67.95,67.9601,2800
2365,31.0,68.0,68.02,67.96,68.0,8562
2366,32.0,68.0208,68.0208,68.0,68.0,1650
2367,33.0,68.0622,68.07,68.03,68.03,2400
2368,34.0,68.09,68.12,68.06,68.075,5800
2369,35.0,68.1,68.12,68.04,68.11,8454
2370,36.0,68.05,68.12,68.04,68.12,1100
2371,37.0,68.05,68.07,68.04,68.06,1441
2372,38.0,68.04,68.07,68.03,68.06,7783
2373,39.0,68.05,68.06,68.03,68.06,500
2374,40.0,68.04,68.04,68.02,68.02,465
2375,41.0,68.08,68.09,68.05,68.06,6439
2376,42.0,68.04,68.08,68.04,68.08,3177
2377,43.0,68.0262,68.06,68.01,68.06,1701
