,0,1,2,3,4,5
5079,,275.31,275.4799,275.0,275.45,127774
5080,1.0,274.53,275.45,274.0101,275.31,48826
5081,2.0,274.51,274.87,274.3,274.44,43281
5082,3.0,275.24,275.47900000000004,274.32,274.6236,56113
5083,4.0,275.71,276.39799999999997,275.118,275.118,60869
5084,5.0,278.4801,279.3099,275.74,275.74,128413
5085,6.0,278.0,278.89099999999996,277.0,278.785,51060
5086,7.0,277.68,278.38,277.58,278.004,60353
5087,8.0,278.0092,278.4699,277.41,278.02,34946
5088,9.0,277.85,278.66,277.63,278.36,51890
5089,10.0,277.51,278.18,277.51,277.85,34473
5090,11.0,277.928,277.95,277.2,277.73,37556
5091,12.0,277.9,278.11,277.51,277.72,28394
5092,13.0,278.9299,279.0,277.8,277.8,31824
5093,14.0,278.4838,279.0,278.19,278.93,19347
5094,15.0,278.8699,278.89,278.3728,278.44,23035
5095,16.0,279.24,279.41,278.63,278.8299,51295
5096,17.0,279.32,279.6903,279.05,279.2295,55761
5097,18.0,279.3,279.5799,279.0882,279.42,24925
5098,19.0,279.37,279.56,279.12,279.2202,21669
5099,20.0,279.04,279.37,278.81,279.29,19449
5100,21.0,278.5277,279.09,278.51099999999997,279.0,11794
5101,22.0,278.5,278.85,278.25,278.671,22199
5102,23.0,278.32,278.78,278.05,278.56,22948
5103,24.0,278.2269,278.5,278.09,278.319,12608
5104,25.0,278.69,279.09,278.09,278.3599,23717
5105,26.0,279.04400000000004,279.37,278.53,278.7399,47556
5106,27.0,279.2894,279.3699,278.6701,279.0104,31718
5107,28.0,279.27,279.56,278.9401,279.2923,49237
5108,29.0,279.27,279.7,279.1,279.171,51027
5109,30.0,279.47,279.84,279.29,279.29,39704
5110,31.0,279.67,279.75,279.3,279.46,15189
5111,32.0,279.7,279.8699,279.46,279.5,22112
5112,33.0,279.4,279.86,279.32,279.63,21223
5113,34.0,279.3925,279.51,279.19,279.335,12145
5114,35.0,279.62,279.63,279.18,279.295,9178
5115,36.0,279.63,280.0,279.31,279.63,27728
5116,37.0,279.7,279.844,279.61,279.62,12929
5117,38.0,279.58,279.85,279.58,279.76,6178
5118,39.0,279.475,279.6258,279.43,279.6,18631
5119,40.0,279.8,279.8,279.42,279.5,23873
5120,41.0,280.2187,280.25,279.61,279.8,100488
5121,42.0,279.96299999999997,280.23,279.87,280.23,34349
5122,43.0,280.16900000000004,280.22,279.8,279.9399,35080
5123,44.0,280.3,280.36,280.04,280.19,17013
5124,45.0,279.98,280.3,279.9,280.0801,18855
5125,46.0,280.4109,280.46,280.09,280.142,17429
5126,47.0,280.5216,280.65,280.36,280.4439,26160
5127,48.0,280.58,280.77,280.45,280.45,20837
5128,49.0,280.257,280.73,280.16,280.6301,17106
5129,50.0,280.24,280.5,280.1,280.29,17076
5130,51.0,280.5478,280.59,280.2743,280.2743,15271
5131,52.0,280.6119,280.69,280.49,280.54,16598
5132,53.0,280.8,280.9,280.64,280.64,33099
5133,54.0,281.17,281.17,280.78,280.8,33742
5134,55.0,280.935,281.4,280.82,281.1692,30741
5135,56.0,280.16200000000003,281.06,280.0177,280.949,32610
5136,57.0,280.63,280.63,280.18,280.25,22259
5137,58.0,280.72,281.129,280.5307,280.531,37561
5138,59.0,280.54,280.81,280.27,280.6,22429
5139,60.0,280.284,280.65,280.284,280.4874,27564
5140,61.0,280.7,280.7,280.18,280.51,38698
5141,62.0,280.30400000000003,280.47,280.2401,280.37,5337
5142,63.0,280.334,280.5,280.25,280.34,18379
5143,64.0,280.1,280.33,280.03,280.27,10050
5144,65.0,279.75,280.055,279.58,280.01,24814
5145,66.0,279.75,279.875,279.6077,279.61,8693
5146,67.0,279.293,279.77,279.27,279.75,11200
5147,68.0,279.57,279.69,279.29,279.32,12166
5148,69.0,279.4643,279.56,279.33,279.5306,6939
5149,70.0,279.0,279.49,279.0,279.33,11308
5150,71.0,279.09,279.3021,279.05,279.05,8754
5151,72.0,278.84,279.199,278.8,279.09,33897
5152,73.0,279.0,279.22,278.86,278.96,18189
