,0,1,2,3,4,5
1956,,69.03,69.22,69.01,69.01,61968.0
1957,1,69.12,69.28,69.02,69.05,10752.0
1958,2,69.08,69.09,68.9501,69.07,34074.0
1959,3,69.08,69.08,69.0,69.04,4329.0
1960,4,69.11,69.18,69.1,69.1,6425.0
1961,5,69.08,69.17,69.08,69.15,5950.0
1962,6,69.04,69.065,68.99,69.06,12149.0
1963,7,68.96,69.065,68.96,69.03,10320.0
1964,8,69.0,69.03,68.96,68.965,13532.0
1965,9,69.105,69.12,69.03,69.04,6225.0
1966,10,69.18,69.19,69.09,69.09,6648.0
1967,11,69.32,69.34,69.16,69.16,16857.0
1968,12,69.275,69.32,69.2501,69.32,14155.0
1969,13,69.345,69.35,69.29,69.29,15721.0
1970,14,69.285,69.35,69.26,69.333,7325.0
1971,15,69.27,69.31,69.24,69.285,7984.0
1972,16,69.19,69.28,69.19,69.255,5996.0
1973,17,69.21,69.21,69.16,69.16,5328.0
1974,18,69.25,69.2532,69.14,69.21,8617.0
1975,19,69.29,69.29,69.23,69.26,6967.0
1976,20,69.21,69.29,69.2,69.29,11500.0
1977,21,69.17,69.24,69.17,69.22,9371.0
1978,22,69.23,69.23,69.19,69.2,3217.0
1979,23,69.145,69.232,69.12,69.23,9919.0
1980,24,69.16,69.18,69.135,69.14,7700.0
1981,25,69.15,69.15,69.1,69.15,7496.0
1982,26,69.23,69.23,69.13,69.15,11324.0
1983,27,69.345,69.36,69.24,69.24,40942.0
1984,28,69.41,69.45,69.34,69.345,15924.0
1985,29,69.41,69.46,69.4,69.415,10434.0
1986,30,69.43,69.43,69.39,69.4,3500.0
1987,31,69.455,69.47,69.4,69.435,20644.0
1988,32,69.44,69.48,69.42,69.46,5918.0
1989,33,69.5,69.505,69.43,69.43,11337.0
1990,34,69.49,69.5,69.48,69.5,6253.0
1991,35,69.5,69.54,69.49,69.51,11593.0
1992,36,69.46,69.51,69.43,69.51,15832.0
1993,37,69.45,69.46,69.44,69.46,6420.0
1994,38,69.445,69.48,69.445,69.46,10832.0
1995,39,69.51,69.52,69.44,69.45,15349.0
1996,40,69.53,69.545,69.505,69.52,14314.0
1997,41,69.51,69.535,69.495,69.535,14361.0
1998,42,69.52,69.525,69.51,69.52,4773.0
1999,43,69.505,69.58,69.5,69.52,15879.0
2000,44,69.515,69.52,69.48,69.505,9136.0
2001,45,69.41,69.5175,69.41,69.5175,9260.0
2002,46,69.445,69.46,69.39,69.41,10256.0
2003,47,69.47,69.49,69.44,69.44,5900.0
2004,48,69.48,69.48,69.47,69.48,700.0
2005,49,69.48,69.525,69.46,69.47,11371.0
2006,50,69.515,69.515,69.47,69.48,5400.0
2007,51,69.59,69.6,69.51,69.51,21501.0
2008,52,69.56,69.63,69.56,69.59,13739.0
2009,53,69.58,69.58,69.555,69.555,6771.0
2010,54,69.61,69.62,69.57,69.585,9767.0
2011,55,69.55,69.605,69.55,69.6,4000.0
2012,56,69.59,69.61,69.54,69.555,6008.0
2013,57,69.615,69.615,69.59,69.59100000000001,2919.0
2014,58,69.57,69.65,69.57,69.62,14629.0
2015,59,69.57,69.595,69.56,69.56,6394.0
2016,60,69.59,69.605,69.57,69.57,20064.0
2017,61,69.54,69.59,69.51,69.59,7645.0
2018,62,69.62,69.62,69.5321,69.54,10950.0
2019,63,69.55,69.62,69.55,69.62,3500.0
2020,64,69.5,69.56,69.5,69.54,5500.0
2021,65,69.52,69.545,69.505,69.505,5558.0
2022,66,69.51,69.53,69.51,69.52,6890.0
2023,67,69.525,69.525,69.51,69.515,8265.0
2024,68,69.56,69.56,69.525,69.525,4397.0
2025,69,69.505,69.555,69.505,69.55,8370.0
2026,70,69.51,69.53,69.51,69.51,9100.0
2027,71,69.49,69.505,69.49,69.505,5790.0
2028,72,69.43,69.49,69.43,69.49,6499.0
2029,73,69.42,69.45,69.42,69.45,6350.0
2030,74,69.35,69.41,69.35,69.41,6556.0
