,0,1,2,3,4,5
2118,,282.65,282.65,282.65,282.65,2935
2119,1.0,282.65,282.65,282.52,282.52,500
2120,2.0,284.21,284.21,283.38,283.38,1000
2121,3.0,284.98,284.98,284.14,284.14,1101
2122,4.0,284.29,284.29,284.29,284.29,500
2123,6.0,284.0,284.0,284.0,284.0,100
2124,7.0,283.02,283.7,283.02,283.67,500
2125,10.0,283.5,283.5,283.5,283.5,200
2126,11.0,283.46,283.76,283.23,283.76,1400
2127,12.0,283.18,283.18,283.18,283.18,100
2128,13.0,283.59,283.59,283.59,283.59,100
2129,15.0,283.19,283.2,283.19,283.2,200
2130,16.0,282.54,282.81,282.52,282.61,3347
2131,17.0,282.61,282.61,282.41,282.41,800
2132,20.0,282.34,282.34,282.3,282.3,400
2133,21.0,282.41,282.41,282.21,282.21,200
2134,23.0,282.97,282.97,282.63,282.63,1300
2135,24.0,283.35,283.35,283.19,283.27,1500
2136,25.0,283.265,283.265,283.265,283.265,100
2137,26.0,283.325,283.56,283.1,283.56,2700
2138,27.0,283.48,283.48,283.48,283.48,100
2139,28.0,283.565,283.7,283.51,283.51,1700
2140,29.0,283.26,283.605,283.26,283.55,1000
2141,30.0,283.22,283.22,283.165,283.18,8798
2142,31.0,283.78,283.78,283.29,283.48,5801
2143,32.0,283.78,283.8,283.78,283.78,600
2144,33.0,283.865,283.865,283.86,283.86,200
2145,34.0,283.93,284.0,283.93,283.94,700
2146,35.0,284.1091,284.1091,283.82,283.95,1709
2147,36.0,284.17,284.25,284.17,284.23,600
2148,37.0,283.9859,284.1,283.89,284.1,2900
2149,38.0,284.22,284.22,284.18,284.18,400
2150,39.0,284.38,284.43,284.29,284.29,1290
2151,40.0,284.31,284.59,284.31,284.59,1805
2152,41.0,284.59,284.59,284.47,284.48,600
2153,43.0,284.21,284.345,284.21,284.31,500
2154,44.0,284.12,284.1865,284.12,284.1865,200
2155,45.0,284.0,284.0,284.0,284.0,100
2156,46.0,284.05,284.05,283.99,283.99,300
2157,48.0,284.11,284.11,284.09,284.09,400
2158,49.0,283.72,284.01,283.72,283.95,1261
2159,50.0,283.67,283.67,283.67,283.67,100
2160,51.0,283.65,283.66,283.65,283.66,200
2161,53.0,283.49,283.53,283.49,283.53,558
2162,55.0,283.76,283.76,283.59,283.6,1293
2163,56.0,283.78,283.87,283.67,283.67,696
2164,57.0,283.675,283.85,283.675,283.85,225
2165,59.0,283.8328,283.8328,283.7197,283.7197,855
2166,60.0,284.07,284.07,284.04,284.04,400
2167,61.0,284.4,284.4,284.32,284.32,363
2168,63.0,284.3999,284.3999,284.3999,284.3999,1000
2169,64.0,284.49,284.5,284.29,284.39,2100
2170,65.0,284.44,284.6499,284.44,284.5,650
2171,66.0,284.41,284.43,284.21,284.41,3098
2172,68.0,284.48,284.48,284.48,284.48,100
2173,69.0,284.18,284.2,284.18,284.2,300
2174,70.0,284.28,284.28,284.12,284.16,1100
2175,71.0,283.88,284.37,283.88,284.27,2705
2176,72.0,284.005,284.005,284.005,284.005,100
2177,76.0,284.06,284.06,284.03,284.03,200
2178,77.0,283.86,283.918,283.83,283.918,600
2179,78.0,284.12,284.27,283.83,283.9,5069
2180,79.0,284.1,284.16,284.01,284.1,4000
2181,80.0,284.1,284.26,284.1,284.22,1478
2182,82.0,284.1038,284.1038,284.1038,284.1038,1000
2183,83.0,284.02,284.02,284.0,284.01,600
2184,85.0,284.03,284.03,284.03,284.03,1000
2185,86.0,284.29,284.29,284.14,284.14,400
2186,90.0,283.8543,284.11,283.8543,284.11,967
2187,91.0,284.0354,284.0354,284.0354,284.0354,203
2188,92.0,284.28,284.4,284.28,284.28,1278
2189,93.0,284.0909,284.34,284.09,284.34,2700
2190,94.0,284.19,284.2568,284.115,284.2568,730
2191,98.0,284.25,284.25,284.25,284.25,100
2192,100.0,284.42,284.42,284.2371,284.2371,1057
2193,101.0,284.5,284.64,284.42,284.42,1943
2194,102.0,284.53,284.61,284.52,284.59,1000
2195,106.0,284.2233,284.37,284.21,284.37,427
2196,108.0,284.135,284.25,284.06,284.08,1100
2197,109.0,284.12,284.17,284.07,284.1,1523
2198,110.0,284.22,284.22,284.19,284.19,400
2199,111.0,284.2,284.24,284.2,284.24,200
2200,112.0,284.34,284.58,284.24,284.24,1900
2201,113.0,284.28,284.28,284.26,284.26,300
2202,114.0,284.25,284.25,284.25,284.25,200
2203,115.0,283.94,284.16,283.94,284.09,1093
2204,117.0,284.005,284.005,284.005,284.005,100
2205,118.0,284.02,284.02,284.02,284.02,200
2206,120.0,283.99,283.99,283.99,283.99,100
2207,121.0,283.91,283.985,283.91,283.95,400
2208,122.0,283.97,283.97,283.87,283.87,800
2209,125.0,283.79,283.79,283.79,283.79,100
2210,128.0,284.05,284.1,284.0,284.0,1696
2211,129.0,284.03,284.045,283.91,283.97,600
2212,131.0,284.21,284.21,283.91,284.02,4900
2213,132.0,284.11,284.245,284.09,284.24,1977
2214,133.0,284.3,284.3,283.99,283.99,800
2215,134.0,284.2148,284.2148,284.2148,284.2148,100
2216,135.0,284.1081,284.1081,284.1081,284.1081,100
2217,136.0,284.03,284.12,284.03,284.1,900
2218,137.0,284.0825,284.0825,284.0825,284.0825,280
2219,138.0,284.0764,284.0764,284.07,284.07,391
2220,139.0,284.0475,284.0475,283.921,283.921,250
2221,140.0,284.085,284.085,283.95099999999996,283.95099999999996,304
2222,142.0,284.095,284.1125,284.095,284.1125,400
2223,144.0,284.19,284.22,284.005,284.005,1600
2224,146.0,284.15,284.2,284.15,284.2,700
2225,149.0,284.32,284.42,284.17,284.17,3200
2226,150.0,284.29,284.32,284.29,284.32,600
2227,151.0,284.32,284.47,284.32,284.42,1108
2228,154.0,284.27,284.29,284.27,284.29,400
2229,155.0,284.15,284.22,284.13,284.22,500
2230,157.0,284.3,284.32,284.27,284.27,400
2231,159.0,284.18,284.23,284.18,284.23,200
2232,160.0,284.0,284.12,284.0,284.12,600
2233,161.0,283.91,283.91,283.91,283.91,100
2234,163.0,283.935,283.945,283.935,283.945,200
2235,164.0,284.17,284.17,284.08,284.08,800
2236,165.0,284.2,284.2,284.2,284.2,100
2237,167.0,284.21,284.34,284.21,284.28,1400
2238,168.0,284.12,284.26,284.01,284.14,5245
2239,169.0,284.035,284.035,284.035,284.035,100
2240,170.0,284.12,284.25,284.12,284.25,1500
2241,171.0,284.1401,284.22,284.13,284.15,2100
2242,172.0,284.41,284.46,284.25,284.25,764
2243,173.0,284.33,284.37,284.33,284.37,300
2244,175.0,284.42,284.42,284.38,284.38,988
2245,177.0,284.42,284.44,284.42,284.42,1200
2246,180.0,284.41,284.42,284.31,284.31,590
2247,181.0,284.53,284.53,284.53,284.53,100
2248,183.0,284.47,284.62,284.47,284.61,2376
2249,184.0,284.42,284.5153,284.42,284.5153,450
2250,186.0,284.28,284.42,284.21,284.21,1200
2251,187.0,284.21,284.21,284.18,284.18,267
2252,188.0,283.98,283.99,283.95,283.99,500
2253,190.0,283.995,284.13,283.84,283.84,1500
2254,191.0,284.0,284.0,284.0,284.0,210
2255,192.0,283.995,284.09,283.95,284.09,1500
2256,194.0,283.945,284.03,283.87,283.95,1000
2257,195.0,284.03,284.04,284.03,284.03,400
2258,196.0,283.98,284.06,283.97,283.97,600
2259,197.0,283.87,283.92,283.87,283.92,400
2260,198.0,283.86,283.86,283.73,283.73,400
2261,199.0,283.9,283.9,283.9,283.9,100
2262,200.0,283.81,283.885,283.77,283.885,400
2263,201.0,283.87,283.87,283.87,283.87,100
2264,203.0,283.7701,283.7701,283.7701,283.7701,198
2265,206.0,283.79,283.79,283.72,283.77,400
2266,207.0,283.79,283.85,283.705,283.705,867
2267,208.0,283.94,283.94,283.79,283.79,900
2268,209.0,283.9,283.9,283.76,283.9,600
2269,210.0,283.94,283.94,283.94,283.94,100
2270,211.0,283.96,283.96,283.855,283.855,700
2271,212.0,283.89,283.89,283.86,283.86,300
2272,215.0,284.04,284.04,283.82,283.82,700
2273,216.0,284.1,284.1,284.08,284.08,400
2274,217.0,284.085,284.1,284.015,284.1,800
2275,218.0,284.11,284.15,284.11,284.11,400
2276,219.0,284.25,284.25,284.22,284.22,500
2277,220.0,284.25,284.25,284.25,284.25,100
2278,221.0,284.14,284.32,284.14,284.32,1000
2279,222.0,284.1,284.1,284.1,284.1,100
2280,225.0,284.1,284.105,284.1,284.105,200
2281,226.0,284.26,284.26,284.23,284.23,500
2282,229.0,284.41,284.44,284.4,284.4,700
2283,230.0,284.48,284.5,284.42,284.43,600
2284,231.0,284.59,284.59,284.59,284.59,100
2285,232.0,284.73,284.73,284.5348,284.5348,500
2286,234.0,284.64,284.745,284.59,284.745,900
2287,235.0,284.5125,284.5125,284.36,284.48,1000
2288,236.0,284.374,284.374,284.374,284.374,300
2289,237.0,284.39,284.39,284.39,284.39,100
2290,238.0,284.63,284.63,284.45,284.55,1100
2291,239.0,284.49,284.64,284.47,284.64,1100
2292,244.0,284.34,284.34,284.34,284.34,100
2293,246.0,284.39,284.39,284.39,284.39,100
2294,247.0,284.32,284.43,284.32,284.43,1400
2295,248.0,284.32,284.32,284.32,284.32,100
2296,249.0,284.17,284.17,284.17,284.17,100
2297,251.0,284.37,284.44,284.2,284.29,3300
2298,252.0,284.2,284.41,284.2,284.35,5500
2299,253.0,284.21,284.21,284.21,284.21,200
2300,254.0,284.17,284.21,284.17,284.21,300
2301,255.0,284.275,284.44,284.15,284.15,2302
2302,258.0,284.4301,284.48,284.32,284.35,705
2303,260.0,284.49,284.49,284.49,284.49,100
2304,262.0,284.615,284.615,284.615,284.615,100
2305,263.0,284.66,284.66,284.66,284.66,200
2306,264.0,284.665,284.665,284.665,284.665,100
2307,265.0,284.72,284.72,284.72,284.72,300
2308,266.0,284.57,284.635,284.56,284.57,1231
2309,268.0,284.49,284.5825,284.49,284.5825,1079
2310,269.0,284.3,284.46,284.3,284.46,500
2311,272.0,284.11,284.21,284.11,284.21,200
2312,273.0,284.12,284.12,284.12,284.12,100
2313,275.0,284.255,284.33,284.15,284.16,3000
2314,276.0,284.19,284.19,284.16,284.16,500
2315,277.0,284.28,284.28,284.25,284.25,400
2316,278.0,284.25,284.28,284.25,284.28,1900
2317,279.0,284.33,284.59,284.3,284.3,2600
2318,280.0,284.455,284.455,284.455,284.455,100
2319,281.0,284.52,284.52,284.52,284.52,100
2320,282.0,284.32,284.32,284.29,284.32,300
2321,283.0,284.29,284.4,284.29,284.37,1938
2322,284.0,284.4397,284.4397,284.2699,284.2699,2200
2323,285.0,284.375,284.44,284.33,284.4397,3200
2324,286.0,284.37,284.499,284.31,284.37,3500
2325,287.0,284.3995,284.3995,284.3464,284.36,1030
2326,288.0,284.33799999999997,284.33799999999997,284.33799999999997,284.33799999999997,500
2327,289.0,284.33,284.33,284.29,284.29,300
2328,290.0,284.3,284.44,284.3,284.44,200
2329,291.0,284.31,284.31,284.25,284.29,400
2330,292.0,284.225,284.225,284.225,284.225,100
2331,294.0,284.23,284.23,284.23,284.23,200
2332,295.0,284.23,284.23,284.23,284.23,200
2333,296.0,284.3483,284.3483,284.221,284.23,701
2334,297.0,284.22,284.22,284.22,284.22,200
2335,298.0,284.16,284.17,284.16,284.17,200
2336,299.0,284.175,284.175,284.12,284.14,764
2337,301.0,284.07,284.07,284.07,284.07,100
