,0,1,2,3,4,5
390,,25.265,25.29,25.265,25.28,54183
391,1.0,25.26,25.28,25.26,25.27,8616
392,2.0,25.27,25.28,25.26,25.27,13838
393,3.0,25.26,25.27,25.26,25.26,30929
394,4.0,25.25,25.27,25.25,25.26,7497
395,5.0,25.26,25.26,25.245,25.25,5789
396,6.0,25.2501,25.27,25.2501,25.26,18048
397,7.0,25.25,25.255,25.25,25.25,7783
398,8.0,25.24,25.25,25.24,25.25,2399
399,9.0,25.24,25.2401,25.24,25.2401,1500
400,10.0,25.2401,25.25,25.2401,25.25,2040
401,11.0,25.25,25.25,25.24,25.24,10571
402,12.0,25.2559,25.26,25.25,25.25,20294
403,13.0,25.265,25.27,25.26,25.26,4178
404,14.0,25.27,25.28,25.261,25.2668,8402
405,15.0,25.275,25.28,25.27,25.27,8268
406,16.0,25.288,25.29,25.28,25.28,6818
407,17.0,25.29,25.29,25.28,25.29,3000
408,18.0,25.27,25.2862,25.27,25.2862,5788
409,19.0,25.275,25.28,25.27,25.27,1970
410,20.0,25.29,25.29,25.27,25.275,4780
411,21.0,25.29,25.29,25.285,25.29,4930
412,22.0,25.33,25.345,25.285,25.285,112963
413,23.0,25.3,25.335,25.3,25.335,66288
414,24.0,25.32,25.34,25.3058,25.3058,12691
415,25.0,25.335,25.335,25.32,25.3246,2136
416,26.0,25.33,25.34,25.33,25.3399,20482
417,27.0,25.3701,25.3799,25.34,25.34,12970
418,28.0,25.39,25.39,25.37,25.37,37028
419,29.0,25.395,25.395,25.385,25.3856,1164
420,30.0,25.39,25.4,25.39,25.395,1300
421,31.0,25.39,25.405,25.39,25.4,9166
422,32.0,25.36,25.38,25.36,25.38,11147
423,33.0,25.365,25.365,25.365,25.365,100
424,34.0,25.3599,25.3657,25.355,25.3657,5738
425,35.0,25.35,25.36,25.3424,25.35,4525
426,36.0,25.3668,25.3668,25.3462,25.35,4859
427,37.0,25.36,25.365,25.35,25.365,4100
428,38.0,25.36,25.37,25.36,25.36,5272
429,39.0,25.36,25.365,25.36,25.365,2770
430,40.0,25.37,25.37,25.36,25.3605,2480
431,41.0,25.365,25.37,25.365,25.37,3200
432,42.0,25.3744,25.3744,25.36,25.37,24563
433,43.0,25.36,25.375,25.36,25.375,5402
434,44.0,25.3599,25.36,25.35,25.36,1703
435,45.0,25.3556,25.355999999999998,25.35,25.35,6450
436,46.0,25.35,25.36,25.35,25.3599,14913
437,47.0,25.35,25.36,25.35,25.358,8091
438,48.0,25.346999999999998,25.35,25.34,25.35,3354
439,49.0,25.3401,25.35,25.3401,25.35,3190
440,50.0,25.35,25.35,25.34,25.3499,5740
441,51.0,25.3336,25.3475,25.33,25.3475,2718
442,52.0,25.325,25.335,25.32,25.33,13931
443,53.0,25.32,25.3259,25.32,25.3229,2193
444,54.0,25.331,25.34,25.325,25.328000000000003,3902
445,55.0,25.34,25.34,25.33,25.335,2818
446,56.0,25.36,25.36,25.345,25.345,5001
447,57.0,25.37,25.375,25.36,25.36,14977
448,58.0,25.38,25.38,25.37,25.38,1328
449,59.0,25.36,25.38,25.36,25.38,41769
450,60.0,25.3799,25.3799,25.3557,25.36,6573
451,61.0,25.38,25.39,25.38,25.38,7300
452,62.0,25.39,25.39,25.385,25.3853,1985
453,63.0,25.39,25.4,25.385,25.385,4550
454,64.0,25.38,25.39,25.37,25.39,3756
455,65.0,25.375,25.38,25.37,25.375,1519
456,66.0,25.38,25.38,25.37,25.375,3152
457,67.0,25.361,25.375,25.361,25.3733,2482
458,68.0,25.37,25.37,25.355,25.36,4245
459,69.0,25.35,25.36,25.35,25.36,19913
460,70.0,25.3548,25.3599,25.35,25.355,3800
461,71.0,25.3566,25.36,25.345,25.35,4375
462,72.0,25.3559,25.36,25.3501,25.3501,4822
463,73.0,25.34,25.3541,25.34,25.3541,4793
464,74.0,25.36,25.36,25.340999999999998,25.3462,2197
465,75.0,25.37,25.37,25.3557,25.36,24300
466,76.0,25.36,25.366,25.36,25.3658,1019
467,77.0,25.35,25.37,25.35,25.37,5643
468,78.0,25.345,25.355,25.345,25.35,3448
469,79.0,25.339000000000002,25.35,25.3357,25.35,6241
470,80.0,25.335,25.3358,25.33,25.3358,2848
471,81.0,25.335,25.335,25.325,25.3336,8485
472,82.0,25.34,25.345,25.33,25.33,19297
473,83.0,25.3363,25.34,25.3301,25.34,2000
474,84.0,25.325,25.335,25.325,25.33,4090
475,85.0,25.3169,25.32,25.315,25.32,3219
476,86.0,25.32,25.32,25.31,25.31,1300
477,87.0,25.32,25.33,25.3165,25.3199,8724
478,88.0,25.33,25.335,25.33,25.33,1700
479,89.0,25.34,25.34,25.33,25.3336,2664
480,90.0,25.335,25.34,25.3342,25.34,2425
481,91.0,25.335,25.34,25.3301,25.335,2000
482,92.0,25.34,25.34,25.33,25.33,400
483,93.0,25.35,25.35,25.335,25.335,6136
484,94.0,25.345,25.3499,25.34,25.3415,6742
485,95.0,25.35,25.35,25.34,25.345,1841
486,96.0,25.3463,25.35,25.3444,25.3444,2560
487,97.0,25.34,25.349,25.34,25.349,21655
488,98.0,25.335,25.34,25.335,25.34,3791
489,99.0,25.36,25.365,25.34,25.34,17234
490,100.0,25.365,25.37,25.36,25.37,2650
491,101.0,25.35,25.36,25.35,25.36,5296
492,102.0,25.365,25.365,25.35,25.35,14037
493,103.0,25.3543,25.37,25.3543,25.3658,5443
494,104.0,25.3536,25.36,25.35,25.36,2005
495,105.0,25.36,25.365,25.355,25.3599,3252
496,106.0,25.36,25.365,25.36,25.36,5100
497,107.0,25.38,25.384,25.36,25.365,13385
498,108.0,25.385,25.385,25.375,25.375,1900
499,109.0,25.385,25.385,25.38,25.385,1663
500,110.0,25.3899,25.39,25.38,25.385,1808
501,111.0,25.385,25.39,25.38,25.39,2670
502,112.0,25.3859,25.39,25.38,25.385,3420
503,113.0,25.39,25.3992,25.38,25.384,10819
504,114.0,25.38,25.39,25.38,25.39,3554
505,115.0,25.38,25.395,25.38,25.38,3401
506,116.0,25.39,25.39,25.38,25.385,1818
507,117.0,25.39,25.395,25.38,25.39,7174
508,118.0,25.395,25.3999,25.39,25.3963,2084
509,119.0,25.39,25.3959,25.39,25.392,2533
510,120.0,25.4099,25.4099,25.39,25.395,5666
511,121.0,25.4,25.41,25.4,25.4,1563
512,122.0,25.4,25.405,25.39,25.4,21158
513,123.0,25.39,25.4,25.39,25.4,2268
514,124.0,25.39,25.395,25.39,25.395,1700
515,125.0,25.4,25.4,25.39,25.39,10007
