,0,1,2,3,4,5
5295,,101.6,101.96,101.6,101.96,6551
5296,1.0,101.8,102.0,101.8,101.9999,365
5297,2.0,101.52,101.52,101.52,101.52,1450
5298,4.0,101.955,101.96,101.87,101.87,308
5299,5.0,101.95,101.95,101.65,101.65,2350
5300,6.0,101.85,101.92,101.67,101.81,1610
5301,7.0,101.68,101.68,101.68,101.68,400
5302,8.0,102.32,102.32,101.8264,101.8264,3463
5303,9.0,102.115,102.115,102.06,102.06,600
5304,10.0,101.83,102.31,101.83,102.3,2465
5305,11.0,101.82,101.89,101.82,101.8817,535
5306,12.0,102.02,102.06,102.02,102.06,400
5307,13.0,101.88,101.88,101.63,101.76,7928
5308,14.0,101.95,101.95,101.77,101.77,1100
5309,15.0,102.08,102.08,102.03,102.03,300
5310,16.0,102.0625,102.21,102.0,102.21,4973
5311,17.0,102.09,102.09,102.05,102.05,600
5312,18.0,102.115,102.115,102.115,102.115,100
5313,20.0,102.23,102.24,102.1159,102.21,1737
5314,21.0,102.04,102.215,102.04,102.155,1200
5315,22.0,102.19,102.265,102.17,102.19,600
5316,23.0,102.2475,102.3,102.2,102.2,400
5317,24.0,102.16,102.3,102.12,102.29,4320
5318,25.0,102.07,102.16,102.07,102.14,700
5319,26.0,102.05,102.05,102.05,102.05,100
5320,27.0,102.18,102.18,102.11,102.11,200
5321,28.0,102.1675,102.22,102.12,102.1392,5643
5322,29.0,101.9675,102.07,101.9675,102.07,1000
5323,30.0,101.98,101.98,101.98,101.98,200
5324,31.0,101.985,102.03,101.985,102.03,700
5325,32.0,101.96,102.09,101.95,102.01,7900
5326,33.0,101.91,102.035,101.86,102.02,771
5327,34.0,102.0825,102.0825,102.04,102.04,400
5328,35.0,102.28,102.28,102.075,102.1,900
5329,36.0,102.34,102.34,102.285,102.285,300
5330,37.0,102.12,102.2825,102.04,102.26,1700
5331,38.0,102.1799,102.1799,102.1799,102.1799,100
5332,39.0,102.17,102.17,102.11,102.17,300
5333,40.0,102.23,102.23,102.18,102.19,600
5334,41.0,102.33,102.35,102.28,102.28,900
5335,42.0,102.33,102.33,102.23,102.29,1097
5336,44.0,102.49,102.49,102.35,102.35,1820
5337,45.0,102.5,102.5,102.5,102.5,750
5338,46.0,102.46,102.5,102.46,102.5,900
5339,47.0,102.48,102.48,102.48,102.48,100
5340,48.0,102.5,102.5,102.5,102.5,100
5341,50.0,102.57,102.57,102.52,102.52,600
5342,51.0,102.535,102.54,102.48,102.54,800
5343,52.0,102.5,102.5,102.45,102.46,1000
5344,53.0,102.4,102.52,102.4,102.52,1099
5345,55.0,102.45,102.46,102.43,102.43,800
5346,57.0,102.59,102.59,102.52,102.52,1300
5347,59.0,102.61,102.62,102.59,102.59,500
5348,60.0,102.66,102.67,102.66,102.67,500
5349,61.0,102.64,102.66,102.58,102.62,2695
5350,63.0,102.55,102.61,102.55,102.61,500
5351,64.0,102.72,102.72,102.61,102.61,800
5352,65.0,102.68,102.68,102.68,102.68,100
5353,66.0,102.7,102.7,102.7,102.7,100
5354,67.0,102.61,102.66,102.61,102.65,500
5355,68.0,102.63,102.71,102.62,102.62,1050
5356,71.0,102.67,102.67,102.61,102.61,300
5357,73.0,102.77,102.77,102.65,102.66,1100
5358,74.0,102.67,102.74,102.66,102.74,900
5359,75.0,102.68,102.71,102.68,102.71,200
5360,76.0,102.58,102.6,102.57,102.6,1100
5361,77.0,102.62,102.67,102.59,102.59,1800
5362,78.0,102.63,102.68,102.61,102.63,1300
5363,80.0,102.51,102.58,102.51,102.57,1100
5364,81.0,102.63,102.64,102.5575,102.57,1000
5365,82.0,102.64,102.64,102.51,102.59,3400
