,0,1,2,3,4,5
782,,80.54,80.54,80.52,80.54,25092
783,1.0,80.5712,80.62,80.4,80.5,3716
784,2.0,80.7,80.7,80.61,80.63,43913
785,3.0,80.66,80.83,80.66,80.74,6150
786,4.0,80.73,80.73,80.6051,80.6051,2600
787,5.0,80.63,80.78,80.63,80.73,9744
788,6.0,80.66,80.71,80.47,80.6,43355
789,7.0,80.58,80.69,80.58,80.63,12538
790,8.0,80.62,80.62,80.55,80.57,13685
791,9.0,80.54,80.66,80.54,80.61,5544
792,10.0,80.43,80.51,80.41,80.5,5100
793,11.0,80.47,80.48,80.41,80.41,7600
794,12.0,80.52,80.52,80.43,80.47,27796
795,13.0,80.53,80.55,80.49,80.49,4500
796,14.0,80.4,80.55,80.4,80.55,12150
797,15.0,80.34,80.42,80.32,80.4,9478
798,16.0,80.38,80.4,80.34,80.34,6290
799,17.0,80.41,80.44,80.3924,80.3924,3318
800,18.0,80.42,80.45,80.42,80.44,6295
801,19.0,80.44,80.47,80.41,80.41,8697
802,20.0,80.4675,80.47,80.4,80.4201,6461
803,21.0,80.49,80.49,80.475,80.475,200
804,22.0,80.56,80.57,80.47,80.47,7380
805,23.0,80.54,80.57,80.53,80.55,5845
806,24.0,80.58,80.6,80.54,80.56,6282
807,25.0,80.57,80.58,80.5515,80.58,3376
808,26.0,80.56,80.59,80.49,80.56,57868
809,27.0,80.49,80.55,80.49,80.55,5349
810,28.0,80.48,80.4955,80.47,80.47,2570
811,29.0,80.495,80.51,80.47,80.4899,11991
812,30.0,80.49,80.5103,80.48,80.5,1700
813,31.0,80.46,80.49,80.46,80.48,3400
814,32.0,80.47,80.48,80.45,80.48,3900
815,33.0,80.5199,80.5199,80.49,80.51,3574
816,34.0,80.47,80.53,80.47,80.5,5876
817,35.0,80.44,80.47,80.41,80.47,3371
818,36.0,80.45,80.45,80.4,80.42,1900
819,37.0,80.47,80.5,80.43,80.45100000000001,6700
820,38.0,80.505,80.51,80.46,80.47,2892
821,39.0,80.48,80.5,80.47,80.49,3150
822,40.0,80.4699,80.47,80.43,80.46,5850
823,41.0,80.5,80.52,80.44,80.44,6376
824,42.0,80.56,80.6,80.5,80.5,11300
825,43.0,80.5,80.56,80.4965,80.55,9721
826,44.0,80.48,80.53,80.48,80.51,7082
827,45.0,80.51,80.51,80.43,80.48,67218
828,46.0,80.48,80.51,80.48,80.495,1800
829,47.0,80.6,80.6,80.49,80.5,7634
830,48.0,80.5798,80.63,80.5798,80.6,7149
831,49.0,80.64,80.65,80.6,80.6,4910
832,50.0,80.6,80.67,80.6,80.67,2700
833,51.0,80.57,80.61,80.55,80.6,6887
834,52.0,80.59,80.6,80.58,80.58,4320
835,53.0,80.63,80.67,80.59,80.59,2600
836,54.0,80.7,80.71,80.66,80.66,8264
837,55.0,80.67,80.71,80.67,80.696,4806
838,56.0,80.665,80.68,80.66,80.67,3700
839,57.0,80.58,80.66,80.56,80.66,9640
840,58.0,80.57,80.62,80.562,80.59,5132
841,59.0,80.53,80.58,80.53,80.57,5600
842,60.0,80.46,80.53,80.46,80.53,3600
843,61.0,80.49,80.5,80.42,80.48,5000
844,62.0,80.51,80.52,80.4813,80.49,4138
845,63.0,80.46,80.52,80.46,80.52,3235
846,64.0,80.47,80.47,80.45,80.46,1500
847,65.0,80.41,80.4638,80.41,80.4638,2916
848,66.0,80.4,80.43,80.4,80.4,10417
849,67.0,80.38,80.41,80.38,80.4,3935
850,68.0,80.37,80.4,80.37,80.38,1087
851,69.0,80.4,80.4,80.37,80.3702,1400
852,70.0,80.4385,80.4385,80.404,80.404,2861
853,71.0,80.435,80.45,80.43,80.43,4605
854,72.0,80.4196,80.42,80.41199999999999,80.42,917
855,73.0,80.43,80.44,80.41,80.41,5503
856,74.0,80.47,80.47,80.43,80.43,2400
857,75.0,80.46,80.465,80.45,80.46,3693
858,76.0,80.46,80.46,80.445,80.46,4500
859,77.0,80.4866,80.49,80.46,80.46,3596
860,78.0,80.49,80.5,80.49,80.49,8396
861,79.0,80.49,80.49,80.465,80.49,4466
862,80.0,80.44,80.5,80.42,80.49,6393
863,81.0,80.46,80.46,80.425,80.44,6510
864,82.0,80.475,80.49,80.47,80.47,2416
865,83.0,80.455,80.475,80.445,80.47,5900
866,84.0,80.45,80.455,80.445,80.45,2337
867,85.0,80.48,80.485,80.45,80.45,4365
868,86.0,80.495,80.5,80.48,80.485,5200
869,87.0,80.45,80.5,80.45,80.49,7513
870,88.0,80.44,80.459,80.42,80.455,6600
871,89.0,80.48,80.48,80.44,80.44,4480
872,90.0,80.48,80.49,80.48,80.49,2321
873,91.0,80.46,80.49,80.45,80.48,11395
874,92.0,80.5,80.5,80.455,80.46,4000
875,93.0,80.48100000000001,80.505,80.48,80.5,7038
876,94.0,80.485,80.4966,80.4801,80.49,3400
877,95.0,80.5,80.5,80.465,80.48,4561
878,96.0,80.45,80.49,80.45,80.49,6845
879,97.0,80.47,80.48,80.45,80.45,3900
880,98.0,80.48,80.5,80.47,80.47,5300
881,99.0,80.46,80.5,80.46,80.47,7655
882,100.0,80.5,80.5,80.47,80.47,3190
883,101.0,80.5,80.51,80.49,80.49,7650
884,102.0,80.495,80.5,80.47,80.495,6350
885,103.0,80.495,80.5,80.485,80.49,3500
886,104.0,80.49,80.5,80.48,80.495,7900
887,105.0,80.48,80.495,80.48,80.485,28600
888,106.0,80.46,80.47,80.44,80.47,14736
889,107.0,80.46,80.47,80.45,80.46,5796
890,108.0,80.43,80.46,80.425,80.46,4712
891,109.0,80.43,80.43,80.39,80.42,5673
892,110.0,80.43,80.43,80.42,80.42,3075
893,111.0,80.46,80.46,80.42,80.42,4100
894,112.0,80.43,80.455,80.43,80.45,3400
895,113.0,80.44,80.445,80.43,80.43,3600
896,114.0,80.46,80.46,80.42,80.44,3800
897,115.0,80.47,80.475,80.45,80.465,3500
898,116.0,80.46,80.47,80.46,80.47,4915
899,117.0,80.4601,80.4601,80.44,80.46,53250
900,118.0,80.44,80.47,80.43,80.47,6094
901,119.0,80.45,80.455,80.44,80.44,4100
902,120.0,80.45,80.46,80.45,80.46,800
903,121.0,80.435,80.4599,80.43,80.4599,3741
904,122.0,80.45,80.46,80.43,80.43,13200
905,123.0,80.4401,80.46,80.44,80.46,5007
906,124.0,80.455,80.46,80.45,80.45,6768
907,125.0,80.43,80.45,80.43,80.45,2600
908,126.0,80.44,80.44,80.415,80.43,11145
909,127.0,80.45,80.45,80.43,80.43,3600
910,128.0,80.45,80.45,80.43,80.45,4980
911,129.0,80.4799,80.48,80.45,80.45,3427
912,130.0,80.51,80.51,80.47,80.47,4625
913,131.0,80.51,80.51,80.49,80.5068,3557
914,132.0,80.49,80.52,80.49,80.51,4800
915,133.0,80.49,80.5,80.49,80.5,300
916,134.0,80.495,80.495,80.48,80.48,3154
917,135.0,80.51,80.52,80.4944,80.4944,5200
918,136.0,80.49,80.5,80.48,80.5,7481
919,137.0,80.49,80.49,80.47,80.49,4761
920,138.0,80.52,80.52,80.4966,80.4966,1000
921,139.0,80.54,80.54,80.525,80.53,1700
922,140.0,80.525,80.54,80.525,80.53,3075
923,141.0,80.54,80.54,80.52,80.52,3993
924,142.0,80.53,80.54,80.53,80.535,3654
925,143.0,80.53,80.53,80.52,80.53,1791
926,144.0,80.54,80.54,80.52,80.52,3900
927,145.0,80.58,80.58,80.535,80.54,4112
928,146.0,80.6,80.6,80.56,80.57,5700
929,147.0,80.565,80.611,80.565,80.59,5225
930,148.0,80.57,80.57,80.56,80.56,1300
931,149.0,80.54,80.57,80.5388,80.57,3316
