,0,1,2,3,4,5
1146,,53.33,53.33,53.33,53.33,15102
1147,1.0,53.37,53.37,53.16,53.16,1134
1148,2.0,53.37,53.37,53.31,53.37,1492
1149,3.0,53.5,53.5,53.36,53.36,2579
1150,4.0,53.35,53.49,53.35,53.49,4500
1151,5.0,53.3,53.31,53.3,53.31,800
1152,6.0,53.37,53.37,53.29,53.3,1100
1153,7.0,53.35,53.39,53.35,53.36,2000
1154,8.0,53.46,53.46,53.37,53.37,600
1155,9.0,53.46,53.46,53.42,53.42,2300
1156,10.0,53.35,53.42,53.35,53.42,2173
1157,11.0,53.35,53.35,53.33,53.34,1331
1158,12.0,53.42,53.44,53.35,53.36,1100
1159,13.0,53.36,53.43,53.34,53.43,4600
1160,14.0,53.41,53.42,53.36,53.36,4200
1161,15.0,53.34,53.39,53.33,53.39,1300
1162,16.0,53.34,53.34,53.32,53.33,3500
1163,17.0,53.34,53.35,53.32,53.34,6500
1164,18.0,53.38,53.38,53.33,53.33,4298
1165,19.0,53.39,53.39,53.38,53.39,1200
1166,20.0,53.3,53.41,53.3,53.39,4500
1167,21.0,53.32,53.32,53.29,53.32,5398
1168,22.0,53.28,53.32,53.28,53.32,2000
1169,23.0,53.33,53.33,53.29,53.29,2200
1170,24.0,53.35,53.37,53.335,53.335,4342
1171,25.0,53.36,53.37,53.35,53.35,1500
1172,26.0,53.42,53.42,53.37,53.37,2700
1173,27.0,53.44,53.45,53.41,53.42,2000
1174,28.0,53.42,53.44,53.42,53.43,1200
1175,29.0,53.42,53.42,53.41,53.42,1400
1176,30.0,53.44,53.45,53.41,53.42,1879
1177,31.0,53.45,53.46,53.42,53.44,3393
1178,32.0,53.42,53.46,53.42,53.445,2727
1179,33.0,53.41,53.46,53.41,53.45,2229
1180,34.0,53.4197,53.43,53.41,53.41,1700
1181,35.0,53.42,53.42,53.39,53.415,4798
1182,36.0,53.35,53.42,53.35,53.42,4000
1183,37.0,53.24,53.35,53.24,53.35,3600
1184,38.0,53.24,53.27,53.1989,53.25,6841
