,0,1,2,3,4,5
2450,,58.84,59.29,58.65,58.65,10689
2451,1.0,58.79,59.31,58.65,58.65,938
2452,2.0,59.2,59.2,58.8,58.8,200
2453,3.0,58.83,58.995,58.83,58.995,2150
2454,4.0,58.79,58.85,58.79,58.85,956
2455,5.0,58.97,58.97,58.835,58.94,948
2456,6.0,58.9975,59.15,58.9,58.97,3753
2457,7.0,58.85,58.9,58.85,58.9,400
2458,8.0,58.91,58.93,58.88,58.905,400
2459,9.0,58.97,58.97,58.87,58.94,1107
2460,10.0,59.0,59.01,59.0,59.01,400
2461,11.0,59.01,59.22,59.0,59.01,9100
2462,12.0,59.07,59.075,59.02,59.075,1300
2463,13.0,58.97,59.045,58.97,59.045,2800
2464,14.0,58.985,58.985,58.97,58.97,300
2465,15.0,58.88,58.93,58.88,58.93,1400
2466,16.0,58.96,58.96,58.895,58.9,900
2467,17.0,58.94,58.98,58.93,58.97,1672
2468,18.0,58.94,58.94,58.94,58.94,200
2469,19.0,58.96,58.96,58.95,58.95,500
2470,20.0,59.05,59.05,58.99,58.99,600
2471,21.0,59.07,59.08,59.05,59.07,1300
2472,22.0,59.115,59.12,59.06,59.06,900
2473,23.0,59.19,59.19,59.13,59.13,960
2474,24.0,59.14,59.19,59.13,59.19,3800
2475,25.0,59.22,59.22,59.16,59.16,1000
2476,26.0,59.15,59.24,59.13,59.21,3048
2477,27.0,59.14,59.16,59.14,59.16,200
2478,28.0,59.165,59.19,59.14,59.14,1782
2479,29.0,59.18,59.18,59.18,59.18,300
2480,30.0,59.17,59.2,59.125,59.18899999999999,2992
2481,31.0,59.16,59.17,59.16,59.17,500
2482,32.0,59.09,59.1596,59.08,59.1596,2612
2483,33.0,59.07,59.1,59.06,59.06,800
2484,34.0,59.07,59.11,59.07,59.08,1200
2485,35.0,59.09,59.09,59.06,59.06,300
2486,36.0,59.055,59.1,59.05,59.09,7567
2487,37.0,58.96,59.06,58.95,59.055,3922
2488,38.0,58.99,58.99,58.96,58.98,1513
2489,39.0,58.946000000000005,59.0,58.946000000000005,59.0,759
2490,40.0,58.965,58.965,58.965,58.965,400
2491,41.0,58.96,58.96,58.96,58.96,100
2492,42.0,59.01,59.01,58.965,58.98,3646
2493,43.0,59.05,59.05,59.01,59.02,700
2494,44.0,59.1,59.1,59.06,59.06,540
2495,45.0,59.08,59.13,59.08,59.1,2781
2496,46.0,59.09,59.09,59.09,59.09,315
2497,47.0,59.15,59.15,59.105,59.11,1907
2498,48.0,59.2,59.2,59.14,59.15,3550
2499,49.0,59.205,59.205,59.18,59.2,1600
2500,50.0,59.26,59.26,59.19,59.2128,1100
2501,51.0,59.27,59.33,59.27,59.27,3483
2502,53.0,59.25,59.25,59.25,59.25,100
2503,54.0,59.16,59.25,59.16,59.25,1400
2504,55.0,59.17,59.17,59.16,59.16,200
2505,56.0,59.17,59.18,59.17,59.175,600
2506,57.0,59.15,59.18,59.15,59.18,1747
2507,58.0,59.13,59.13,59.12,59.12,700
2508,59.0,59.12,59.13,59.12,59.13,840
2509,60.0,59.04,59.13,59.04,59.13,1800
2510,61.0,59.09,59.107,59.03,59.03,2975
2511,62.0,59.075,59.08,59.075,59.08,300
2512,63.0,59.1,59.1,59.1,59.1,100
2513,64.0,59.09,59.09,59.09,59.09,100
2514,65.0,59.11,59.11,59.11,59.11,300
2515,66.0,59.11,59.11,59.11,59.11,500
2516,67.0,59.11,59.12,59.11,59.11,800
2517,68.0,59.16,59.16,59.12,59.12,600
2518,69.0,59.21,59.23,59.2,59.2,1600
2519,70.0,59.175,59.22,59.16,59.22,1900
2520,71.0,59.16,59.17,59.15,59.16,1200
2521,72.0,59.23,59.24,59.17,59.17,2700
2522,73.0,59.23,59.24,59.22,59.22,1300
2523,74.0,59.28,59.28,59.25,59.25,600
2524,75.0,59.26,59.27,59.26,59.27,1100
2525,76.0,59.33,59.34,59.27,59.27,1600
2526,77.0,59.29,59.34,59.28,59.34,1500
2527,79.0,59.29,59.29,59.29,59.29,100
2528,80.0,59.31,59.31,59.31,59.31,100
2529,81.0,59.36,59.36,59.2856,59.2856,1250
2530,83.0,59.35,59.35,59.35,59.35,100
2531,84.0,59.285,59.33,59.28,59.31,2500
2532,85.0,59.3,59.3,59.28,59.28,400
2533,86.0,59.34,59.34,59.32,59.33,1500
2534,87.0,59.31100000000001,59.32,59.3,59.31,805
2535,88.0,59.24,59.29,59.22,59.29,800
2536,90.0,59.2,59.22,59.16,59.21,1600
2537,91.0,59.19,59.22,59.185,59.185,1610
2538,92.0,59.17,59.1999,59.17,59.19,927
2539,93.0,59.2,59.2,59.19,59.19,200
2540,94.0,59.21,59.26,59.2,59.2,3885
2541,95.0,59.2,59.205,59.2,59.2,600
2542,96.0,59.18,59.19,59.18,59.19,700
2543,97.0,59.24,59.26,59.21,59.21,2988
2544,98.0,59.25,59.25,59.25,59.25,100
2545,99.0,59.245,59.26,59.22,59.24,900
2546,100.0,59.26,59.26,59.26,59.26,100
2547,101.0,59.24,59.26,59.24,59.26,200
2548,102.0,59.27,59.27,59.26,59.26,800
