dataset, model, datetime, SEQ_LEN, epochs, batch_size, performance
nasdaq100,simpleLSTM,SAVED_MODELS/2023-10-27-20-09-30,20,2,512,36.013248443603516
nasdaq100,simpleLSTM,SAVED_MODELS/2023-10-27-20-15-59,20,5,16,4.703580379486084
nasdaq100,simpleLSTM,SAVED_MODELS/2023-10-30-09-43-26,20,5,16,5.511476993560791
nasdaq100,LSTNet,SAVED_MODELS/2023-10-30-12-28-33,20,5,16,15.54045581817627
nasdaq100,LSTNet,SAVED_MODELS/2023-10-30-14-43-48,20,5,16,20,52.34450149536133
nasdaq100,simpleLSTM,SAVED_MODELS/2023-10-30-15-29-11,20,5,20,16,6.775846004486084
nasdaq100,simpleLSTM,SAVED_MODELS/2023-10-30-18-34-16,20,5,32,1.951785683631897
nasdaq100,SimpleTCN,SAVED_MODELS/2023-10-30-22-22-11,20,5,32,64.47239685058594
nasdaq100,SimpleTCN,SAVED_MODELS/2023-10-30-22-33-38,20,5,32,65.60430145263672
nasdaq100,SimpleTCN,SAVED_MODELS/2023-10-30-22-44-24,20,5,32,68.36119079589844
nasdaq100,SimpleTCN,SAVED_MODELS/2023-10-30-23-22-01,20,5,32,110.46922302246094
nasdaq100,SimpleTCN,SAVED_MODELS/2023-10-30-23-34-22,20,5,32,110.46922302246094
nasdaq100,simpleMLP,SAVED_MODELS/2023-11-05-12-03-33,20,5,32,72.22622680664062
nasdaq100,simpleMLP,SAVED_MODELS/2023-11-05-12-14-48,20,5,32,66.79491424560547
nasdaq100,simpleMLP,SAVED_MODELS/2023-11-05-12-16-41,20,5,32,73.40343475341797
nasdaq100,simpleMLP,SAVED_MODELS/2023-11-05-12-38-14,20,5,32,90.81835174560547
nasdaq100,simpleLSTM,SAVED_MODELS/2023-11-05-21-06-18,20,5,32,1.8359135389328003
nasdaq100,simpleLSTM,SAVED_MODELS/2023-11-06-10-12-30,50,5,32,3.6017961502075195
